,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,a,,,,,,,,,True
1,phrase_line,a,0,0,ω,False,True,True,dd,,False
2,phrase_line,"b,c",pkk,"1,1",-,False,False,True,,,False
3,phrase_line,a,e,-2,πα,False,False,False,dd,,False
4,phrase_line,G,a,-1,ντε,False,False,False,,,False
5,phrase_line,a,p,1,πό,True,False,False,,,False
6,phrase_line,E,aa3,-3,πτα,False,True,True,,,False
7,phrase_line,F,oo,1,-,False,False,True,,,False
8,phrase_line,G,o,1,των,False,False,True,,,False
9,phrase_line,a,o,1,α,False,False,False,,,False
10,phrase_line,c,k,2,νά,True,True,False,v,v,False
11,phrase_line,b,a,-1,-,True,True,False,v,,False
12,phrase_line,c,p,1,-,True,False,False,,,False
13,phrase_line,G,a3,-3,κτων,False,True,True,,,False
14,phrase_line,a,kk,1,-,False,False,True,,,False
15,phrase_line,c,k,2,το,False,True,True,v,v,False
16,phrase_line,b,a,-1,-,False,False,True,v,,False
17,phrase_line,a,aa,-1,κλέ,True,False,False,,,False
18,phrase_line,a,0,0,ος,False,True,True,dd,,False
19,phrase_line,"b,c",ookk,"1,1",-,False,True,True,,,False
20,phrase_line,b,a,-1,-,False,True,True,,,False
21,phrase_line,c,o,1,-,False,False,True,dd,,True
22,phrase_line,a,e,-2,τις,False,True,True,v,v,False
23,phrase_line,b,kk,1,-,False,False,True,v,,False
24,phrase_line,G,a2,-2,σου,False,False,True,,,False
25,phrase_line,c,o3,3,το,False,False,True,,,False
26,phrase_line,c,0,0,φι,False,False,False,,,False
27,phrase_line,e,o2,2,λάν,True,False,False,,,False
28,phrase_line,e,0,0,θρω,False,False,False,,,False
29,phrase_line,e,0,0,πον,False,False,True,,,True
30,phrase_line,e,0,0,γη,False,False,False,,,False
31,phrase_line,e,0,0,γε,False,False,False,,,False
32,phrase_line,e,p0,0,νών,True,False,True,,,False
33,phrase_line,d,a,-1,ου,False,False,True,,,False
34,phrase_line,e,o,1,θαυ,False,True,False,"kl,v","kl,v",False
35,phrase_line,d,a,-1,-,False,False,False,"kl,v",,False
36,phrase_line,c,aa,-1,μά,True,False,False,,,False
37,phrase_line,b,a,-1,σει,False,True,True,xkl,xkl,False
38,phrase_line,c,oo,1,-,False,False,True,"kl,xkl",,True
39,phrase_line,a,a2,-2,εν,False,False,True,,,False
40,phrase_line,d,p3,3,γη,False,False,True,,,False
41,phrase_line,b,a2,-2,γαρ,False,False,True,,,False
42,phrase_line,c,o,1,ώ,True,True,False,"kl,v","kl,v",False
43,phrase_line,b,a,-1,-,True,False,False,"kl,v",,False
44,phrase_line,a,aa,-1,φθης,False,False,True,,,True
45,phrase_line,G,a,-1,μη,False,False,True,kl,,False
46,phrase_line,E,a2,-2,λι,False,True,False,,,False
47,phrase_line,F,kk,1,-,False,False,False,,,False
48,phrase_line,G,o,1,πών,True,True,True,dd,,False
49,phrase_line,a,oo,1,-,True,False,True,,,False
50,phrase_line,c,oo2,2,τα,False,False,True,,,False
51,phrase_line,b,a,-1,πα,False,False,False,,,False
52,phrase_line,a,aa,-1,τρώ,True,False,False,,,False
53,phrase_line,a,0,0,α,False,False,True,,,True
54,phrase_line,a,0,0,σή,True,False,False,,,False
55,phrase_line,a,0,0,με,False,False,False,,,False
56,phrase_line,a,0,0,ρον,False,False,True,,,False
57,phrase_line,c,o2,2,πά,True,True,False,kr,,False
58,phrase_line,b,a,-1,-,True,True,False,di,di,False
59,phrase_line,a,a,-1,-,True,True,False,"di,kl",,False
60,phrase_line,G,aa,-1,-,True,False,False,,,False
61,phrase_line,G,0,0,σαν,False,True,True,dd,,False
62,phrase_line,a,o,1,-,False,True,True,dd,,False
63,phrase_line,c,oo2,2,-,False,True,True,,,False
64,phrase_line,b,a,-1,-,False,True,True,,,False
65,phrase_line,a,aa,-1,-,False,False,True,,,True
66,phrase_line,G,a,-1,εγ,False,False,False,kl,,False
67,phrase_line,E,a2,-2,και,False,True,False,,,False
68,phrase_line,F,kk,1,-,False,False,False,,,False
69,phrase_line,G,o,1,νί,True,True,False,dd,,False
70,phrase_line,a,oo,1,-,True,False,False,,,False
71,phrase_line,c,oo2,2,ζων,False,False,True,,,False
72,phrase_line,b,a,-1,την,False,False,True,,,False
73,phrase_line,a,aa,-1,φύ,True,False,False,,,False
74,phrase_line,a,0,0,σιν,False,True,True,xkl,,False
75,phrase_line,G,a,-1,-,False,False,True,"kl,xkl",,True
76,phrase_line,E,a2,-2,και,False,False,True,,,False
77,phrase_line,F,o,1,ει,False,False,False,,,False
78,phrase_line,a,o2,2,ρή,True,False,False,kr,,False
79,phrase_line,G,a,-1,νην,False,False,True,kl,,False
80,phrase_line,E,a2,-2,ως,False,True,True,,,False
81,phrase_line,F,kk,1,-,False,False,True,,,False
82,phrase_line,G,o,1,μό,True,True,False,dd,,False
83,phrase_line,a,p,1,-,True,False,False,,,False
84,phrase_line,G,a,-1,νος,False,False,True,,,True
85,phrase_line,c,o3,3,ει,False,False,False,,,False
86,phrase_line,c,0,0,ρη,False,False,False,,,False
87,phrase_line,c,oo0,0,νάρ,True,False,False,kl,,False
88,phrase_line,G,a3,-3,χης,False,True,True,,,False
89,phrase_line,a,kk,1,-,False,False,True,,,False
90,phrase_line,c,k,2,βρα,False,True,False,v,v,False
91,phrase_line,b,a,-1,-,False,False,False,v,,False
92,phrase_line,a,aa,-1,βεύ,True,False,False,,,False
93,phrase_line,a,0,0,ων,False,False,True,,,True
