,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,D,,,,,,,,,True
1,phrase_line,D,0,0,εις,False,False,True,,,False
2,phrase_line,D,0,0,βυ,False,False,False,,,False
3,phrase_line,E,o,1,θόν,True,True,True,dd,,False
4,phrase_line,"F,G",kkoo,"1,1",-,True,False,True,,,False
5,phrase_line,a,p,1,α,False,False,False,psr,,False
6,phrase_line,F,e,-2,πω,False,True,False,"kl,v","kl,v",False
7,phrase_line,E,a,-1,-,False,False,False,"kl,v",,False
8,phrase_line,D,aa,-1,λεί,True,False,False,,,False
9,phrase_line,D,0,0,ας,False,True,True,,,False
10,phrase_line,E,oo,1,-,False,False,True,"para_,vv","para_,vv",True
11,phrase_line,C,a2,-2,η,False,False,True,"para_,vv",,False
12,phrase_line,D,o,1,τα,False,False,False,,,False
13,phrase_line,"E,F",kkoo,"1,1",λαί,True,False,False,apr,,False
14,phrase_line,D,a2,-2,πω,False,False,False,,,False
15,phrase_line,"E,F",okk,"1,1",ρος,False,False,True,g,,False
16,phrase_line,G,o,1,φύ,True,True,False,dd,,False
17,phrase_line,a,oo,1,-,True,False,False,,,False
18,phrase_line,a,0,0,σις,False,False,True,dd,,True
19,martyria,a,,,,,,,,,True
20,phrase_line,a,0,0,χρι,False,False,False,"g,is",,False
21,phrase_line,d,p3,3,στέ,True,False,True,anr,,False
22,phrase_line,b,a2,-2,μου,False,False,True,,,False
23,phrase_line,c,oo,1,λό,True,True,False,"para_,v","para_,v",False
24,phrase_line,b,a,-1,-,True,False,False,"para_,v",para_,False
25,phrase_line,a,aa,-1,γε,False,False,True,"kl,para_",,True
26,phrase_line,a,0,0,κα,False,False,False,,,False
27,phrase_line,a,0,0,τα,False,False,False,,,False
28,phrase_line,a,p0,0,ντή,True,False,False,anr,,False
29,phrase_line,G,a,-1,σα,False,False,False,,,False
30,phrase_line,a,o,1,σα,False,True,True,"kl,para_,v","para_,v",False
31,phrase_line,G,a,-1,-,False,False,True,"para_,v",para_,False
32,phrase_line,F,aa,-1,πά,True,False,False,para_,,False
33,phrase_line,F,0,0,λαι,False,False,True,dd,,True
34,martyria,F,,,,,,,,,True
35,phrase_line,a,o2,2,έ,True,False,False,g,,False
36,phrase_line,a,0,0,κει,False,True,False,"anr,kl,v","anr,kl,v",False
37,phrase_line,G,a,-1,-,False,False,False,"anr,kl,v",,False
38,phrase_line,a,o,1,το,False,False,True,,,False
39,phrase_line,c,o2,2,φευ,False,True,True,"kr,ou",ou,False
40,phrase_line,b,a,-1,-,False,True,True,ou,ou,False
41,phrase_line,a,a,-1,-,False,True,True,"kl,ou","kl,ou",False
42,phrase_line,G,a,-1,-,False,False,True,"kl,ou",,False
43,phrase_line,G,0,0,μοι,False,True,True,dd,,False
44,phrase_line,c,p3,3,-,False,True,True,anr,,False
45,phrase_line,"b,a",s,"-1,-1",-,False,True,True,,,False
46,phrase_line,b,ppp,1,-,False,True,True,zr,zr,False
47,phrase_line,a,a,-1,-,False,True,True,z,z,False
48,phrase_line,G,a,-1,-,False,True,True,z,z,False
49,phrase_line,a,o,1,-,False,False,True,"anr,ap",anr,True
50,phrase_line,a,oo0,0,σκο,False,False,False,anr,,False
51,phrase_line,E,a3,-3,τει,False,True,False,,,False
52,phrase_line,F,kk,1,-,False,False,False,g,,False
53,phrase_line,G,o,1,νοίς,True,True,True,an,an,False
54,phrase_line,a,oo,1,-,True,True,True,an,,False
55,phrase_line,F,e,-2,-,True,True,True,g,,False
56,phrase_line,G,kk,1,-,True,False,True,,,False
57,phrase_line,a,p,1,εν,False,False,True,psr,,False
58,phrase_line,F,e,-2,κευθ,False,True,False,"kl,v","kl,v",False
59,phrase_line,E,a,-1,-,False,False,False,"kl,v",,False
60,phrase_line,D,aa,-1,μώ,True,False,False,,,False
61,phrase_line,D,0,0,σιν,False,False,True,dd,,True
62,martyria,D,,,,,,,,,True
63,phrase_line,a,o4,4,ε,False,False,False,g,,False
64,phrase_line,a,0,0,πεί,True,False,True,,,False
65,phrase_line,a,0,0,δε,False,False,True,,,False
66,phrase_line,"b,c",okk,"1,1",τη,False,False,True,,,False
67,phrase_line,d,o,1,ση,False,True,True,"kl,ll,v","kl,ll,v",False
68,phrase_line,b,e,-2,-,False,True,True,"kl,ll,v",ll,False
69,phrase_line,c,p,1,-,False,False,True,ll,,False
70,phrase_line,a,a2,-2,θε,False,False,False,,,False
71,phrase_line,a,0,0,ϊ,False,False,False,anr,anr,False
72,phrase_line,a,p0,0,κή,True,False,True,anr,,False
73,phrase_line,G,a,-1,δυ,False,False,False,,,False
74,phrase_line,a,o,1,να,False,True,False,"kl,para_,v","kl,para_,v",False
75,phrase_line,G,a,-1,-,False,False,False,"kl,para_,v",para_,False
76,phrase_line,F,aa,-1,στεί,True,False,False,para_,,False
77,phrase_line,F,0,0,α,False,False,True,,,True
78,phrase_line,a,o2,2,προς,False,False,True,"g,is",,False
79,phrase_line,b,o,1,ου,False,False,False,,,False
80,phrase_line,c,o,1,ρα,False,False,False,anr,,False
81,phrase_line,d,o,1,νών,True,False,True,"anr,kr",,False
82,phrase_line,G,a4,-4,με,False,False,False,,,False
83,phrase_line,a,p,1,τέ,True,False,False,klr,,False
84,phrase_line,E,a3,-3,βη,False,True,True,xkl,xkl,False
85,phrase_line,F,kk,1,-,False,True,True,xkl,xkl,False
86,phrase_line,F,0,0,-,False,False,True,"kl,xkl",,True
87,phrase_line,C,a3,-3,τα,False,False,True,,,False
88,phrase_line,D,o,1,τερ,False,False,False,,,False
89,phrase_line,"E,F",kkoo,"1,1",πνό,True,False,False,z,,False
90,phrase_line,D,a2,-2,τα,False,False,False,,,False
91,phrase_line,"E,F",okk,"1,1",τα,False,False,True,g,,False
92,phrase_line,G,oo,1,κάλ,True,True,False,vv,vv,False
93,phrase_line,"F,E",s,"-1,-1",-,True,True,False,vv,,False
94,phrase_line,"F,G",kkoo,"1,1",-,True,True,False,z,z,False
95,phrase_line,"F,E",s,"-1,-1",-,True,True,False,z,,False
96,phrase_line,"F,G",pkk,"1,1",-,True,False,False,"g,ua",ua,False
97,phrase_line,F,pa,-1,λη,False,True,True,ua,ua,False
98,phrase_line,E,a,-1,-,False,True,True,ua,ua,False
