,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,a,,,,,,,,,True
1,phrase_line,a,0,0,ο,False,False,True,,,False
2,phrase_line,d,o3,3,παί,True,True,False,dd,,False
3,phrase_line,e,oo,1,-,True,False,False,,,False
4,phrase_line,e,0,0,δας,False,False,True,ap,,True
5,phrase_line,e,0,0,εκ,False,False,True,,,False
6,phrase_line,e,0,0,κα,False,False,False,,,False
7,phrase_line,e,0,0,μί,True,True,False,dd,,False
8,phrase_line,"f,g",kkoo,"1,1",-,True,True,False,,,False
9,phrase_line,a',oo,1,-,True,False,False,,,False
10,phrase_line,a',p0,0,νου,False,False,True,,,False
11,phrase_line,g,a,-1,ρυ,False,False,False,,,False
12,phrase_line,a',p,1,σά,True,False,False,,,False
13,phrase_line,g,a,-1,με,False,False,False,,,False
14,phrase_line,a',oo,1,νος,False,True,True,,,False
15,phrase_line,"g,f",s,"-1,-1",-,False,True,True,,,False
16,phrase_line,"e,d",s,"-1,-1",-,False,False,True,dd,,True
17,martyria,d,,,,,,,,,True
18,phrase_line,c,a,-1,γε,False,False,False,,,False
19,phrase_line,d,p,1,νό,True,False,False,,,False
20,phrase_line,c,a,-1,με,False,False,False,,,False
21,phrase_line,d,oo,1,νος,False,False,True,,,False
22,phrase_line,c,a,-1,άν,True,False,False,,,False
23,phrase_line,b,a,-1,θρω,False,False,False,,,False
24,phrase_line,a,aa,-1,πος,False,False,True,,,True
25,martyria,a,,,,,,,,,True
26,phrase_line,a,p0,0,πά,True,False,False,,,False
27,phrase_line,G,a,-1,σχει,False,False,True,,,False
28,phrase_line,b,o2,2,ως,False,False,True,,,False
29,phrase_line,c,o,1,θνη,False,False,False,,,False
30,phrase_line,d,o,1,τός,True,False,True,ap,,True
31,phrase_line,d,0,0,και,False,True,True,v,v,False
32,phrase_line,"c,b",s,"-1,-1",-,False,False,True,v,,False
33,phrase_line,c,o,1,δι,False,False,False,,,False
34,phrase_line,d,o,1,ά,True,False,True,,,False
35,phrase_line,e,o,1,πά,True,False,False,,,False
36,phrase_line,g,p2,2,θους,False,True,True,,,False
37,phrase_line,f,a,-1,-,False,False,True,,,False
38,phrase_line,f,0,0,το,False,True,True,v,v,False
39,phrase_line,e,a,-1,-,False,False,True,v,,False
40,phrase_line,e,0,0,θνη,False,True,False,v,v,False
41,phrase_line,d,a,-1,-,False,False,False,v,,False
42,phrase_line,d,0,0,τόν,True,False,True,ap,,True
43,phrase_line,c,a,-1,α,False,False,False,,,False
44,phrase_line,d,o,1,φθαρ,False,False,False,,,False
45,phrase_line,e,p,1,σί,True,False,False,,,False
46,phrase_line,d,a,-1,ας,False,False,True,,,False
47,phrase_line,c,a,-1,εν,False,False,False,,,False
48,phrase_line,d,p,1,δύ,True,False,False,,,False
49,phrase_line,c,a,-1,ει,False,False,True,,,False
50,phrase_line,d,oo,1,ευ,False,False,False,,,False
51,phrase_line,c,a,-1,πρέ,True,False,False,,,False
52,phrase_line,b,a,-1,πει,False,False,False,,,False
53,phrase_line,a,aa,-1,αν,False,False,True,,,True
54,phrase_line,a,0,0,ο,False,False,True,,,False
55,phrase_line,a,0,0,μό,True,True,False,dd,,False
56,phrase_line,"b,c",kkoo,"1,1",-,True,True,False,,,False
57,phrase_line,d,oo,1,-,True,False,False,,,False
58,phrase_line,d,0,0,νος,False,False,True,ap,,True
59,phrase_line,d,0,0,ευ,False,False,False,,,False
60,phrase_line,d,p0,0,λο,False,False,False,,,False
61,phrase_line,c,a,-1,γη,False,True,False,v,v,False
62,phrase_line,b,a,-1,-,False,False,False,v,,False
63,phrase_line,"c,d",okk,"1,1",τός,True,False,True,,,False
64,phrase_line,e,p,1,των,False,False,True,,,False
65,phrase_line,d,a,-1,πα,False,False,False,,,False
66,phrase_line,b,a2,-2,τέ,True,True,False,,,False
67,phrase_line,"c,d",kkoo,"1,1",-,True,True,False,,,False
68,phrase_line,e,oo,1,-,True,False,False,,,False
69,phrase_line,d,a,-1,ρων,False,False,True,ap,,True
70,phrase_line,c,a,-1,θε,False,False,False,,,False
71,phrase_line,c,0,0,ός,True,False,True,,,False
72,phrase_line,d,p,1,και,False,False,True,,,False
73,phrase_line,a,a3,-3,υ,False,False,False,,,False
74,phrase_line,b,o,1,πε,False,False,False,,,False
75,phrase_line,c,oo,1,ρέν,True,False,False,,,False
76,phrase_line,b,a,-1,δο,False,False,False,,,False
77,phrase_line,a,aa,-1,ξος,False,False,True,,,True
