,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,a,,,,,,,,,True
1,phrase_line,a,0,0,φω,False,False,False,,,False
2,phrase_line,d,o3,3,τί,True,True,False,dd,,False
3,phrase_line,e,oo,1,-,True,False,False,,,False
4,phrase_line,e,0,0,ζου,False,False,True,ap,,True
5,phrase_line,e,0,0,φω,False,False,False,,,False
6,phrase_line,f,o,1,τί,True,True,False,,,False
7,phrase_line,g,oo,1,-,True,True,False,,,False
8,phrase_line,f,a,-1,-,True,True,False,,,False
9,phrase_line,e,a,-1,-,True,False,False,,,False
10,phrase_line,d,aa,-1,ζου,False,False,True,,,True
11,phrase_line,d,0,0,η,False,True,True,v,v,False
12,phrase_line,"c,b",s,"-1,-1",-,False,False,True,v,,False
13,phrase_line,c,o,1,νέ,True,False,False,,,False
14,phrase_line,d,o,1,α,False,False,True,,,False
15,phrase_line,e,o,1,ι,False,False,False,,,False
16,phrase_line,g,p2,2,ε,False,True,False,,,False
17,phrase_line,f,a,-1,-,False,False,False,,,False
18,phrase_line,f,0,0,ρου,False,True,False,v,v,False
19,phrase_line,e,a,-1,-,False,False,False,v,,False
20,phrase_line,e,0,0,σα,False,True,False,v,v,False
21,phrase_line,d,a,-1,-,False,False,False,v,,False
22,phrase_line,d,0,0,λήμ,True,False,True,ap,,True
23,phrase_line,d,p0,0,η,False,False,True,,,False
24,phrase_line,c,a,-1,γαρ,False,True,True,v,v,False
25,phrase_line,b,a,-1,-,False,False,True,v,,False
26,phrase_line,"c,d",okk,"1,1",δό,True,False,False,,,False
27,phrase_line,e,p,1,ξα,False,False,True,,,False
28,phrase_line,d,a,-1,κυ,False,False,False,,,False
29,phrase_line,b,a2,-2,ρί,True,True,False,,,False
30,phrase_line,"c,d",kkoo,"1,1",-,True,True,False,,,False
31,phrase_line,e,oo,1,-,True,False,False,,,False
32,phrase_line,d,a,-1,ου,False,False,True,ap,,True
33,martyria,d,,,,,,,,,True
34,phrase_line,d,p0,0,ε,False,False,False,,,False
35,phrase_line,c,a,-1,πί,True,True,True,v,v,False
36,phrase_line,b,a,-1,-,True,False,True,v,,False
37,phrase_line,c,o,1,σε,False,False,True,,,False
38,phrase_line,d,oo,1,α,False,False,False,,,False
39,phrase_line,c,a,-1,νέ,True,False,False,,,False
40,phrase_line,b,a,-1,τει,False,False,False,,,False
41,phrase_line,a,aa,-1,λε,False,False,True,,,True
42,martyria,a,,,,,,,,,True
43,phrase_line,a',o7,7,χό,True,False,False,"an,dd,kr",,False
44,phrase_line,g,a,-1,ρευ,False,False,False,,,False
45,phrase_line,f,a,-1,ε,False,True,True,,,False
46,phrase_line,e,a,-1,-,False,False,True,,,False
47,phrase_line,d,pa,-1,νυν,False,True,True,,,False
48,phrase_line,c,a,-1,-,False,True,True,v,v,False
49,phrase_line,b,a,-1,-,False,False,True,v,,True
50,phrase_line,c,o,1,και,False,False,True,,,False
51,phrase_line,d,o,1,α,False,False,False,,,False
52,phrase_line,e,o,1,γάλ,True,True,False,dd,,False
53,phrase_line,g,p2,2,-,True,True,False,,,False
54,phrase_line,f,a,-1,-,True,False,False,,,False
55,phrase_line,f,0,0,λου,False,True,True,v,v,False
56,phrase_line,e,a,-1,-,False,False,True,v,,False
57,phrase_line,e,0,0,σι,False,True,False,v,v,False
58,phrase_line,d,a,-1,-,False,False,False,v,,False
59,phrase_line,d,0,0,ών,True,False,True,ap,,True
60,martyria,d,,,,,,,,,True
61,phrase_line,a',o4,4,συ,False,True,True,,,False
62,phrase_line,g,a,-1,-,False,False,True,,,False
63,phrase_line,f,a,-1,δε,False,False,True,,,False
64,phrase_line,e,a,-1,α,False,False,False,,,False
65,phrase_line,d,pa,-1,γνή,True,True,True,,,False
66,phrase_line,"c,b",s,"-1,-1",-,True,False,True,,,True
67,phrase_line,c,o,1,τέρ,True,False,False,,,False
68,phrase_line,d,o,1,που,False,False,True,,,False
69,phrase_line,e,p,1,θε,False,False,False,,,False
70,phrase_line,d,a,-1,ο,False,False,False,,,False
71,phrase_line,b,a2,-2,τό,True,True,False,,,False
72,phrase_line,"c,d",kkoo,"1,1",-,True,True,False,,,False
73,phrase_line,e,oo,1,-,True,False,False,,,False
74,phrase_line,d,a,-1,κε,False,False,True,ap,,True
75,phrase_line,c,a,-1,εν,False,False,True,,,False
76,phrase_line,c,0,0,τη,False,False,True,,,False
77,phrase_line,c,0,0,ε,False,False,False,,,False
78,phrase_line,d,p,1,γέρ,True,False,False,,,False
79,phrase_line,a,a3,-3,σει,False,False,True,,,False
80,phrase_line,b,o,1,του,False,False,True,,,False
81,phrase_line,c,oo,1,τό,True,False,False,,,False
82,phrase_line,b,a,-1,κου,False,False,True,,,False
83,phrase_line,a,aa,-1,σου,False,False,True,,,True
