,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,a,,,,,,,,,True
1,phrase_line,a,0,0,ε,False,False,False,,,False
2,phrase_line,a,0,0,πί,True,False,True,g,,False
3,phrase_line,a,0,0,της,False,False,True,,,False
4,phrase_line,e,oo4,4,θεί,True,False,False,,,False
5,phrase_line,e,0,0,ας,False,False,True,g,,False
6,phrase_line,e,0,0,φυ,False,False,False,,,False
7,phrase_line,e,0,0,λα,False,False,False,,,False
8,phrase_line,e,p0,0,κής,True,True,True,l,l,False
9,phrase_line,d,a,-1,-,True,False,True,l,l,False
10,phrase_line,d,0,0,ο,False,True,True,"l,v","l,v",False
11,phrase_line,c,a,-1,-,False,False,True,"l,v",,False
12,phrase_line,c,0,0,θε,False,False,False,g,,False
13,phrase_line,d,o,1,η,False,False,False,,,False
14,phrase_line,e,p,1,γό,True,False,False,klr,,False
15,phrase_line,d,a,-1,ρος,False,False,True,,,False
16,phrase_line,d,0,0,αβ,False,True,False,v,v,False
17,phrase_line,c,a,-1,-,False,False,False,v,,False
18,phrase_line,c,0,0,βα,False,True,False,"g,v",v,False
19,phrase_line,b,a,-1,-,False,False,False,v,,False
20,phrase_line,d,o2,2,κούμ,True,False,True,ap,,True
21,phrase_line,g,p3,3,στή,True,False,False,anr,,False
22,phrase_line,d,a3,-3,τω,False,False,True,,,True
23,phrase_line,a,a3,-3,με,False,False,False,,,False
24,phrase_line,a,0,0,θη,False,True,False,"l,v","l,v",False
25,phrase_line,G,a,-1,-,False,True,False,"l,v",l,False
26,phrase_line,a,oo,1,-,False,False,False,"g,l",,False
27,phrase_line,c,o2,2,μών,True,False,True,g,,False
28,phrase_line,c,p0,0,και,False,False,True,anr,,False
29,phrase_line,b,a,-1,δει,False,False,False,,,False
30,phrase_line,c,oo,1,κνύ,True,False,False,"kl,ll,vv","ll,vv",False
31,phrase_line,a,a2,-2,τω,False,False,True,"ll,vv",,True
32,phrase_line,b,o,1,φα,False,False,False,g,,False
33,phrase_line,c,o,1,ε,False,False,False,,,False
34,phrase_line,d,p,1,σφό,True,False,False,klr,,False
35,phrase_line,c,a,-1,ρον,False,False,True,,,False
36,phrase_line,e,p2,2,άγ,True,False,False,klr,,False
37,phrase_line,d,a,-1,γε,False,False,False,"g,is",,False
38,phrase_line,d,p0,0,λον,False,False,True,anr,anr,True
39,phrase_line,c,a,-1,δι,False,True,False,"anr,klr,v","anr,klr,v",False
40,phrase_line,b,a,-1,-,False,False,False,"anr,klr,v",,False
41,phrase_line,c,o,1,α,False,False,False,,,False
42,phrase_line,d,o,1,πρυ,False,False,False,"g,is",,False
43,phrase_line,e,o,1,σί,True,False,False,,,False
44,phrase_line,e,0,0,ως,False,False,True,,,False
45,phrase_line,"f,g",okk,"1,1",λέ,True,False,False,"g,psr",,False
46,phrase_line,f,a,-1,γο,False,False,False,kl,,False
47,phrase_line,d,a2,-2,ντα,False,False,True,,,True
48,phrase_line,g,oo3,3,σή,True,False,False,psr,,False
49,phrase_line,f,a,-1,με,False,False,False,kl,kl,False
50,phrase_line,d,a2,-2,ρον,False,False,True,kl,,True
51,phrase_line,a,a3,-3,σω,False,False,False,,,False
52,phrase_line,a,0,0,τη,False,True,False,"kl,l,v","kl,l,v",False
53,phrase_line,G,a,-1,-,False,True,False,"kl,l,v",l,False
54,phrase_line,a,oo,1,-,False,False,False,"g,l",,False
55,phrase_line,c,o2,2,ρί,True,False,False,g,,False
56,phrase_line,c,p0,0,α,False,False,True,klr,,False
57,phrase_line,b,a,-1,τω,False,False,True,,,False
58,phrase_line,c,oo,1,κό,True,False,False,"kl,ll,vv","ll,vv",False
59,phrase_line,a,a2,-2,σμω,False,False,True,"ll,vv",,True
60,martyria,a,,,,,,,,,True
61,phrase_line,c,o2,2,ό,True,False,False,g,,False
62,phrase_line,c,0,0,τι,False,False,True,,,False
63,phrase_line,c,0,0,α,False,False,False,,,False
64,phrase_line,e,p2,2,νέ,True,False,False,anr,,False
65,phrase_line,d,a,-1,στη,False,False,True,,,False
66,phrase_line,c,a,-1,χρι,False,False,False,"g,is",,False
67,phrase_line,c,p0,0,στός,True,False,True,l,l,False
68,phrase_line,a,a2,-2,ως,False,False,True,l,,False
69,phrase_line,b,o,1,πα,False,False,False,,,False
70,phrase_line,c,o,1,ντο,False,False,False,g,,False
71,phrase_line,c,0,0,δύ,True,True,False,v,v,False
72,phrase_line,b,a,-1,-,True,False,False,v,,False
73,phrase_line,b,p0,0,να,False,True,False,l,l,False
74,phrase_line,a,a,-1,-,False,False,False,"g,l",l,False
75,phrase_line,a,0,0,μος,False,False,True,"ap,l",,True
