,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,a,,,,,,,,,True
1,phrase_line,a,0,0,ορ,False,False,False,,,False
2,phrase_line,e,o4,4,θρί,True,False,False,is,,False
3,phrase_line,e,0,0,σω,False,False,False,,,False
4,phrase_line,e,0,0,μεν,False,False,True,,,False
5,phrase_line,f,p,1,όρ,True,False,False,,,False
6,phrase_line,e,a,-1,θρου,False,False,True,is,,False
7,phrase_line,f,o,1,βα,False,False,False,,,False
8,phrase_line,g,p,1,θέ,True,False,False,,,False
9,phrase_line,f,a,-1,ος,False,False,True,,,False
10,phrase_line,"g,a'",okk,"1,1",και,False,False,True,,,False
11,phrase_line,a',p0,0,α,False,False,False,,,False
12,phrase_line,g,a,-1,ντί,True,True,True,v,v,False
13,phrase_line,f,a,-1,-,True,False,True,v,,False
14,phrase_line,f,0,0,μυ,False,True,False,v,v,False
15,phrase_line,e,a,-1,-,False,True,False,v,,False
16,phrase_line,e,p0,0,-,False,True,False,,,False
17,phrase_line,d,a,-1,-,False,False,False,,,False
18,phrase_line,d,0,0,ρου,False,False,True,ap,,True
19,martyria,d,,,,,,,,,True
20,phrase_line,d,0,0,τον,False,False,True,,,False
21,phrase_line,g,oo3,3,ύ,True,False,False,,,False
22,phrase_line,f,a,-1,μνον,False,False,True,"is,kl",,False
23,phrase_line,d,a2,-2,προ,False,False,False,,,False
24,phrase_line,d,oo0,0,σοί,True,False,False,,,False
25,phrase_line,c,a,-1,σο,False,False,False,,,False
26,phrase_line,a,a2,-2,μεν,False,False,True,,,False
27,phrase_line,b,o,1,τω,False,False,True,,,False
28,phrase_line,c,o,1,δε,False,False,False,,,False
29,phrase_line,d,p,1,σπό,True,False,False,,,False
30,phrase_line,a,a3,-3,τη,False,False,True,,,True
31,phrase_line,b,o,1,και,False,False,True,g,,False
32,phrase_line,c,o,1,χρι,False,False,False,"g,is",,False
33,phrase_line,d,p,1,στόν,True,False,True,klr,,False
34,phrase_line,c,a,-1,ο,False,False,False,,,False
35,phrase_line,e,p2,2,ψό,True,False,False,klr,,False
36,phrase_line,d,a,-1,με,False,False,False,,,False
37,phrase_line,d,p0,0,θα,False,False,True,anr,anr,True
38,phrase_line,c,a,-1,δι,False,True,False,"anr,v","anr,v",False
39,phrase_line,b,a,-1,-,False,False,False,"anr,v",,False
40,phrase_line,c,o,1,και,False,False,False,,,False
41,phrase_line,d,o,1,ο,False,False,False,g,,False
42,phrase_line,e,o,1,σύ,True,False,False,,,False
43,phrase_line,e,0,0,νης,False,False,True,,,False
44,phrase_line,"f,g",ookk,"1,1",ή,True,False,False,,,False
45,phrase_line,f,a,-1,λι,False,False,False,kl,,False
46,phrase_line,d,a2,-2,ον,False,False,True,,,True
47,phrase_line,e,oo,1,πά,True,False,False,,,False
48,phrase_line,d,a,-1,σι,False,False,True,"klr,psr",,False
49,phrase_line,c,a,-1,ζω,False,False,False,,,False
50,phrase_line,c,oo0,0,ήν,True,False,True,"klr,psr",,False
51,phrase_line,b,a,-1,α,False,False,False,,,False
52,phrase_line,a,a,-1,να,False,False,False,,,False
53,phrase_line,"b,c",ookk,"1,1",τέλ,True,False,False,psr,,False
54,phrase_line,b,a,-1,λο,False,False,False,,,False
55,phrase_line,a,aa,-1,ντα,False,False,True,ap,,True
