,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,b,,,,,,,,,True
1,phrase_line,b,0,0,α,False,False,False,,,False
2,phrase_line,e,p3,3,ντί,True,False,False,,,False
3,phrase_line,d,a,-1,θε,False,False,False,,,False
4,phrase_line,e,o,1,ον,False,False,True,,,False
5,phrase_line,f,p,1,πρό,True,False,False,,,False
6,phrase_line,e,a,-1,σταγ,False,True,False,,,False
7,phrase_line,"d,c",s,"-1,-1",-,False,False,False,,,False
8,phrase_line,d,o,1,μα,False,False,True,,,False
9,phrase_line,e,o,1,πα,False,False,False,,,False
10,phrase_line,f,p,1,ρα,False,False,False,,,False
11,phrase_line,d,a2,-2,νο,False,False,False,,,False
12,phrase_line,d,0,0,μού,True,True,False,v,v,False
13,phrase_line,c,a,-1,-,True,True,False,v,,False
14,phrase_line,c,p0,0,-,True,True,False,,,False
15,phrase_line,b,a,-1,-,True,False,False,,,False
16,phrase_line,b,0,0,ντος,False,False,True,ap,,True
17,phrase_line,b,0,0,τυ,False,False,False,,,False
18,phrase_line,d,o2,2,ράν,True,False,False,,,False
19,phrase_line,d,p0,0,νου,False,False,True,,,False
20,phrase_line,c,a,-1,με,False,False,False,,,False
21,phrase_line,d,oo,1,τάρ,True,False,False,,,False
22,phrase_line,c,a,-1,σι,False,False,False,,,False
23,phrase_line,b,aa,-1,ον,False,False,True,,,True
24,phrase_line,b,0,0,την,False,False,True,,,False
25,phrase_line,d,p2,2,φλό,True,False,False,,,False
26,phrase_line,b,a2,-2,γα,False,False,True,,,False
27,phrase_line,b,0,0,α,False,False,False,,,False
28,phrase_line,b,p0,0,νερ,False,False,False,,,False
29,phrase_line,G,a2,-2,ρί,True,False,False,,,False
30,phrase_line,a,o,1,πι,False,False,False,,,False
31,phrase_line,b,o,1,σε,False,False,True,ap,,True
32,phrase_line,b,0,0,χρι,False,False,False,,,False
33,phrase_line,b,0,0,στός,True,True,True,,,False
34,phrase_line,"c,d",kkoo,"1,1",-,True,False,True,,,False
35,phrase_line,d,p0,0,δε,False,False,True,,,False
36,phrase_line,c,a,-1,ε,False,False,False,,,False
37,phrase_line,d,oo,1,φή,True,False,False,,,False
38,phrase_line,c,a,-1,πλω,False,False,False,,,False
39,phrase_line,b,aa,-1,σε,False,False,True,,,True
40,phrase_line,b,0,0,θε,False,False,False,,,False
41,phrase_line,b,0,0,ο,False,False,False,,,False
42,phrase_line,b,0,0,σε,False,False,False,,,False
43,phrase_line,b,0,0,βέ,True,True,False,,,False
44,phrase_line,c,oo,1,-,True,True,False,,,False
45,phrase_line,b,a,-1,-,True,True,False,,,False
46,phrase_line,a,a,-1,-,True,False,False,,,False
47,phrase_line,G,aa,-1,σι,False,False,True,,,False
48,phrase_line,a,o,1,παι,False,False,False,,,False
49,phrase_line,b,o,1,σί,True,False,True,ap,,True
50,phrase_line,b,0,0,δρό,True,False,False,,,False
51,phrase_line,d,p2,2,σον,False,False,True,,,False
52,phrase_line,b,a2,-2,την,False,False,True,,,False
53,phrase_line,b,p0,0,του,False,False,True,,,False
54,phrase_line,G,a2,-2,πνεύ,True,False,False,,,False
55,phrase_line,a,o,1,μα,False,False,False,,,False
56,phrase_line,b,o,1,τος,False,False,True,ap,,True
57,phrase_line,e,o3,3,ο,False,False,True,,,False
58,phrase_line,g,oo2,2,ων,False,False,True,,,False
59,phrase_line,f,a,-1,ευ,False,False,False,,,False
60,phrase_line,e,a,-1,λο,False,False,False,,,False
61,phrase_line,d,a,-1,γη,False,False,False,,,False
62,phrase_line,e,p,1,μέ,True,False,False,,,False
63,phrase_line,d,a,-1,νος,False,False,True,,,True
64,phrase_line,e,o,1,και,False,True,True,v,v,False
65,phrase_line,"d,c",s,"-1,-1",-,False,False,True,v,,False
66,phrase_line,d,o,1,υ,False,False,False,,,False
67,phrase_line,e,p,1,πε,False,True,False,,,False
68,phrase_line,d,a,-1,-,False,False,False,,,False
69,phrase_line,d,0,0,ρέν,True,True,False,v,v,False
70,phrase_line,c,a,-1,-,True,False,False,v,,False
71,phrase_line,c,0,0,δο,False,True,False,v,v,False
72,phrase_line,b,a,-1,-,False,False,False,v,,False
73,phrase_line,b,0,0,ξος,False,False,True,ap,,True
