,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,G,,,,,,,,,True
1,phrase_line,a,p,1,στεί,True,False,False,,,False
2,phrase_line,G,a,-1,βει,False,False,True,,,False
3,phrase_line,a,o,1,θα,False,False,False,,,False
4,phrase_line,b,o,1,λάσ,True,False,False,,,False
5,phrase_line,b,0,0,σης,False,False,True,ap,,True
6,phrase_line,G,a2,-2,κυ,False,False,False,,,False
7,phrase_line,a,o,1,μα,False,False,False,,,False
8,phrase_line,b,p,1,τού,True,False,False,,,False
9,phrase_line,a,a,-1,με,False,False,False,,,False
10,phrase_line,b,p,1,νον,False,False,True,,,False
11,phrase_line,G,a2,-2,σά,True,True,False,,,False
12,phrase_line,a,oo,1,-,True,True,False,,,False
13,phrase_line,G,a,-1,-,True,True,False,,,False
14,phrase_line,a,oo,1,-,True,False,False,,,False
15,phrase_line,b,o,1,λον,False,False,True,ap,,True
16,phrase_line,d,o2,2,ή,True,False,False,,,False
17,phrase_line,d,p0,0,πει,False,False,False,,,False
18,phrase_line,b,a2,-2,ρον,False,False,True,,,False
19,phrase_line,c,p,1,αύ,True,False,False,,,False
20,phrase_line,b,a,-1,θις,False,False,True,ap,,True
21,phrase_line,G,a2,-2,ισ,False,False,False,,,False
22,phrase_line,a,o,1,ρα,False,False,False,,,False
23,phrase_line,b,p,1,ήλ,True,False,True,,,False
24,phrase_line,a,a,-1,δε,False,False,False,,,False
25,phrase_line,b,o,1,δειγ,False,False,False,,,False
26,phrase_line,b,0,0,μέ,True,True,False,v,v,False
27,phrase_line,"a,G",s,"-1,-1",-,True,True,False,v,,False
28,phrase_line,a,p,1,-,True,False,False,,,False
29,phrase_line,G,a,-1,νος,False,False,True,ap,,True
30,phrase_line,c,o3,3,μέ,True,False,False,,,False
31,phrase_line,c,p0,0,λας,False,False,True,,,False
32,phrase_line,b,a,-1,δε,False,False,True,,,False
33,phrase_line,c,p,1,πό,True,False,False,,,False
34,phrase_line,b,a,-1,ντος,False,False,True,ap,,True
35,phrase_line,a,a,-1,τρι,False,False,False,,,False
36,phrase_line,G,a,-1,στά,True,False,False,,,False
37,phrase_line,b,p2,2,τας,False,False,True,,,False
38,phrase_line,a,a,-1,αι,False,False,False,,,False
39,phrase_line,b,p,1,γυ,False,False,False,,,False
40,phrase_line,G,a2,-2,πτί,True,True,False,,,False
41,phrase_line,a,oo,1,-,True,True,False,,,False
42,phrase_line,G,a,-1,-,True,True,False,,,False
43,phrase_line,a,oo,1,-,True,False,False,,,False
44,phrase_line,b,o,1,ους,False,False,True,ap,,True
45,phrase_line,d,o2,2,έ,True,False,False,,,False
46,phrase_line,d,p0,0,κρυ,False,False,False,,,False
47,phrase_line,b,a2,-2,ψεν,False,False,True,,,False
48,phrase_line,c,p,1,άρ,True,False,False,,,False
49,phrase_line,b,a,-1,δην,False,False,True,ap,,True
50,phrase_line,G,a2,-2,υ,False,False,False,,,False
51,phrase_line,a,o,1,δα,False,False,False,,,False
52,phrase_line,b,p,1,τό,True,False,False,,,False
53,phrase_line,a,a,-1,στρω,False,False,False,,,False
54,phrase_line,b,o,1,τος,False,False,True,,,False
55,phrase_line,b,0,0,τά,True,True,False,v,v,False
56,phrase_line,"a,G",s,"-1,-1",-,True,True,False,,,False
57,phrase_line,a,p,1,-,True,False,False,,,False
58,phrase_line,G,a,-1,φος,False,False,True,ap,,True
59,phrase_line,c,p3,3,ρώ,True,False,False,,,False
60,phrase_line,b,a,-1,μη,False,False,True,,,False
61,phrase_line,d,oo2,2,κρα,False,False,False,,,False
62,phrase_line,c,a,-1,ται,False,False,False,,,False
63,phrase_line,b,aa,-1,ά,True,False,True,,,True
64,phrase_line,G,a2,-2,δε,False,False,False,,,False
65,phrase_line,G,0,0,ξι,False,False,False,,,False
66,phrase_line,b,p2,2,άς,True,False,True,,,False
67,phrase_line,a,a,-1,του,False,True,True,v,v,False
68,phrase_line,G,a,-1,-,False,True,True,v,,False
69,phrase_line,a,p,1,-,False,False,True,,,False
70,phrase_line,F,a2,-2,δε,False,False,False,,,False
71,phrase_line,a,p2,2,σπό,True,False,False,,,False
72,phrase_line,G,a,-1,του,False,False,True,ap,,True
