,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,b,,,,,,,,,True
1,phrase_line,b,oo0,0,ό,True,False,False,,,False
2,phrase_line,a,a,-1,σοι,False,False,True,,,False
3,phrase_line,G,a,-1,πα,False,False,False,,,False
4,phrase_line,"a,b",okk,"1,1",λαι,False,False,False,,,False
5,phrase_line,b,0,0,ών,True,False,True,,,True
6,phrase_line,b,0,0,ε,False,False,False,,,False
7,phrase_line,b,0,0,κλε,False,False,False,,,False
8,phrase_line,b,p0,0,λύ,True,False,False,,,False
9,phrase_line,a,a,-1,με,False,False,False,,,False
10,phrase_line,b,o,1,θα,False,True,True,"kl,v","kl,v",False
11,phrase_line,a,a,-1,-,False,False,True,"kl,v",,False
12,phrase_line,G,aa,-1,βρό,True,True,False,,,False
13,phrase_line,a,oo,1,-,True,False,False,,,False
14,phrase_line,a,0,0,χων,False,True,True,dd,,False
15,phrase_line,"b,c",ookk,"1,1",-,False,False,True,,,True
16,phrase_line,a,a2,-2,βο,False,True,False,,,False
17,phrase_line,b,kk,1,-,False,False,False,,,False
18,phrase_line,a,a,-1,ρών,True,False,True,kl,,False
19,phrase_line,G,a,-1,λε,False,True,False,,,False
20,phrase_line,a,kk,1,-,False,False,False,,,False
21,phrase_line,G,a,-1,ό,True,False,False,,,False
22,phrase_line,G,0,0,ντων,False,False,True,,,True
23,phrase_line,b,o2,2,συ,False,False,False,,,False
24,phrase_line,b,0,0,ντε,False,False,False,,,False
25,phrase_line,b,p0,0,θλα,False,False,False,,,False
26,phrase_line,a,a,-1,σμέ,True,False,False,,,False
27,phrase_line,b,o,1,νων,False,True,True,"kl,v","kl,v",False
28,phrase_line,a,a,-1,-,False,False,True,"kl,v",,False
29,phrase_line,G,aa,-1,μύ,True,True,False,,,False
30,phrase_line,a,oo,1,-,True,False,False,,,False
31,phrase_line,a,0,0,λας,False,True,True,dd,,False
32,phrase_line,"b,c",kkoo,"1,1",-,False,False,True,,,True
33,phrase_line,a,a2,-2,α,False,False,False,,,False
34,phrase_line,a,p0,0,γαλ,False,False,False,,,False
35,phrase_line,F,a2,-2,λι,False,True,False,,,False
36,phrase_line,G,kk,1,-,False,False,False,,,False
37,phrase_line,G,oo0,0,ώ,True,False,False,kl,,False
38,phrase_line,F,a,-1,μεν,False,True,True,di,di,False
39,phrase_line,E,a,-1,-,False,False,True,di,,True
40,phrase_line,G,o2,2,και,False,False,True,,,False
41,phrase_line,G,0,0,πλα,False,False,False,,,False
42,phrase_line,b,p2,2,τύ,True,False,False,,,False
43,phrase_line,a,a,-1,νω,False,False,False,,,False
44,phrase_line,b,o,1,μεν,False,True,True,"kl,v","kl,v",False
45,phrase_line,a,a,-1,-,False,False,True,"kl,v",,False
46,phrase_line,G,aa,-1,στό,True,True,False,,,False
47,phrase_line,"a,b",ookk,"1,1",-,True,False,False,,,False
48,phrase_line,a,a,-1,μα,False,False,True,dd,,True
49,phrase_line,"b,c",pkk,"1,1",λό,True,False,False,,,False
50,phrase_line,G,a3,-3,γω,False,False,True,,,False
51,phrase_line,G,oo0,0,πλέ,True,False,False,,,False
52,phrase_line,F,a,-1,κο,False,False,False,,,False
53,phrase_line,E,a,-1,ντες,False,False,True,kl,,True
54,phrase_line,D,a,-1,εκ,False,False,True,,,False
55,phrase_line,G,o3,3,λό,True,False,False,,,False
56,phrase_line,G,0,0,γων,False,False,True,,,False
57,phrase_line,G,0,0,με,False,False,False,,,False
58,phrase_line,G,0,0,λω,False,False,False,,,False
59,phrase_line,a,o,1,δί,True,False,False,kr,,False
60,phrase_line,G,a,-1,αν,False,True,True,dd,,False
61,phrase_line,b,o2,2,-,False,False,True,dd,,True
62,phrase_line,b,oo0,0,ώ,True,False,True,,,False
63,phrase_line,a,a,-1,των,False,False,True,,,False
64,phrase_line,G,a,-1,προς,False,False,True,,,False
65,phrase_line,b,p2,2,η,False,False,False,,,False
66,phrase_line,a,a,-1,μάς,True,False,True,,,True
67,phrase_line,G,a,-1,ή,True,False,False,kl,,False
68,phrase_line,E,a2,-2,δε,False,True,False,,,False
69,phrase_line,F,kk,1,-,False,False,False,,,False
70,phrase_line,G,o,1,ται,False,False,True,,,False
71,phrase_line,a,p,1,δω,False,False,False,,,False
72,phrase_line,G,a,-1,ρη,False,True,False,"di,kl","di,kl",False
73,phrase_line,F,a,-1,-,False,False,False,"di,kl",,False
74,phrase_line,E,aa,-1,μά,True,False,False,,,False
75,phrase_line,E,0,0,των,False,False,True,,,True
