,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,b,,,,,,,,,True
1,phrase_line,b,0,0,η,False,False,True,,,False
2,phrase_line,b,0,0,τον,False,False,True,,,False
3,phrase_line,d,p2,2,α,False,False,False,klr,,False
4,phrase_line,b,a2,-2,χώ,True,False,False,,,False
5,phrase_line,b,p0,0,ρη,False,False,False,l,l,False
6,phrase_line,G,a2,-2,τον,False,False,True,l,,False
7,phrase_line,a,o,1,θε,False,False,False,g,,False
8,phrase_line,b,o,1,όν,True,False,True,ap,,True
9,phrase_line,b,p0,0,εν,False,False,True,anr,,False
10,phrase_line,a,a,-1,γα,False,False,False,,,False
11,phrase_line,d,p3,3,στρί,True,False,True,klr,,False
12,phrase_line,c,a,-1,χω,False,False,False,,,False
13,phrase_line,d,oo,1,ρή,True,False,False,psr,,False
14,phrase_line,c,a,-1,σα,False,False,False,,,False
15,phrase_line,b,aa,-1,σα,False,False,True,ap,,True
16,phrase_line,e,o3,3,και,False,False,True,g,,False
17,phrase_line,e,0,0,χα,False,True,False,v,v,False
18,phrase_line,c,e,-2,-,False,False,False,v,,False
19,phrase_line,d,o,1,ράν,True,True,True,dd,,False
20,phrase_line,f,p2,2,-,True,True,True,klr,,False
21,phrase_line,"e,d",s,"-1,-1",-,True,True,True,"trr,xkl","trr,xkl",False
22,phrase_line,e,oo,1,-,True,True,True,"trr,xkl","trr,xkl",False
23,phrase_line,d,a,-1,-,True,True,True,"trr,xkl","trr,xkl",False
24,phrase_line,c,a,-1,-,True,True,True,"trr,xkl","trr,xkl",False
25,phrase_line,b,a,-1,-,True,False,True,"trr,xkl",,False
26,phrase_line,d,o2,2,τω,False,False,True,g,,False
27,phrase_line,d,p0,0,κό,True,False,False,,,False
28,phrase_line,c,a,-1,σμω,False,True,True,para_,para_,False
29,phrase_line,b,a,-1,-,False,False,True,"kl,para_",,False
30,phrase_line,a,a,-1,κυ,False,False,False,,,False
31,phrase_line,c,k,2,ή,True,True,False,"klr,v","klr,v",False
32,phrase_line,a,e,-2,-,True,True,False,"klr,v",,False
33,phrase_line,b,o,1,-,True,False,False,dd,,False
34,phrase_line,a,a,-1,σα,False,True,False,anr,anr,False
35,phrase_line,G,a,-1,-,False,False,False,anr,,False
36,phrase_line,G,0,0,σα,False,False,True,ap,,True
37,phrase_line,b,o2,2,σε,False,True,True,"g,trr,xkl","trr,xkl",False
38,phrase_line,c,oo,1,-,False,True,True,"trr,xkl","trr,xkl",False
39,phrase_line,b,a,-1,-,False,True,True,"trr,xkl","trr,xkl",False
40,phrase_line,a,a,-1,-,False,False,True,"trr,xkl",,False
41,phrase_line,G,a,-1,υ,False,False,False,,,False
42,phrase_line,c,p3,3,μνού,True,False,False,"g,is,l",l,False
43,phrase_line,b,a,-1,μεν,False,False,True,"ap,l",,True
44,phrase_line,G,a2,-2,πα,False,False,False,,,False
45,phrase_line,a,o,1,να,False,False,False,,,False
46,phrase_line,b,o,1,γί,True,False,False,,,False
47,phrase_line,b,0,0,α,False,False,True,g,,False
48,phrase_line,b,0,0,παρ,False,False,False,,,False
49,phrase_line,"c,d",kkoo,"1,1",θέ,True,False,False,"g,z",,False
50,phrase_line,b,a2,-2,νε,False,False,True,ap,,True
