,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,c,,,,,,,,,True
1,phrase_line,d,o,1,έ,True,False,False,,,False
2,phrase_line,d,p0,0,θου,False,False,True,,,False
3,phrase_line,b,a2,-2,προς,False,False,True,,,False
4,phrase_line,c,o,1,η,False,False,False,,,False
5,phrase_line,d,o,1,μάς,True,True,True,dd,,False
6,phrase_line,e,oo,1,-,True,False,True,,,True
7,phrase_line,e,0,0,κρα,False,False,False,,,False
8,phrase_line,e,0,0,ται,False,False,False,,,False
9,phrase_line,f,p,1,άν,True,False,True,,,False
10,phrase_line,e,a,-1,α,False,False,False,,,False
11,phrase_line,e,p0,0,γά,True,False,False,,,False
12,phrase_line,c,a2,-2,πη,False,False,False,,,False
13,phrase_line,e,p2,2,σιν,False,False,True,,,False
14,phrase_line,d,a,-1,κύ,True,False,False,dd,,False
15,phrase_line,c,a,-1,ρι,False,False,False,,,False
16,phrase_line,a,a2,-2,ε,False,False,True,ap,,True
17,martyria,a,,,,,,,,,True
18,phrase_line,d,o3,3,τον,False,False,True,,,False
19,phrase_line,d,0,0,μο,False,False,False,,,False
20,phrase_line,d,0,0,νο,False,False,False,,,False
21,phrase_line,f,oo2,2,γε,False,False,False,,,False
22,phrase_line,e,a,-1,νή,True,False,True,,,False
23,phrase_line,d,a,-1,γαρ,False,False,True,,,False
24,phrase_line,b,a2,-2,σου,False,False,True,,,False
25,phrase_line,c,o,1,υι,False,False,False,,,False
26,phrase_line,d,o,1,όν,True,False,True,ap,,True
27,phrase_line,e,o,1,υ,False,False,False,,,False
28,phrase_line,e,0,0,πέρ,True,False,True,,,False
29,phrase_line,e,0,0,η,False,False,False,,,False
30,phrase_line,f,p,1,μών,True,False,True,,,False
31,phrase_line,e,a,-1,εις,False,False,True,,,False
32,phrase_line,e,p0,0,θά,True,False,False,,,False
33,phrase_line,c,a2,-2,να,False,False,False,,,False
34,phrase_line,e,p2,2,τον,False,False,True,,,False
35,phrase_line,d,pa,-1,δέ,True,False,False,,,False
36,phrase_line,c,a,-1,δω,False,False,False,,,False
37,phrase_line,a,a2,-2,κας,False,False,True,,,True
38,martyria,a,,,,,,,,,True
39,phrase_line,a,0,0,δι,False,False,False,,,False
40,phrase_line,c,p2,2,ό,True,False,True,,,False
41,phrase_line,b,a,-1,σοι,False,False,True,,,False
42,phrase_line,c,o,1,κραυ,False,False,False,,,False
43,phrase_line,d,o,1,γά,True,False,False,,,False
44,phrase_line,e,o,1,ζο,False,False,False,,,False
45,phrase_line,e,0,0,μεν,False,False,True,ap,,True
46,phrase_line,e,0,0,ευ,False,False,False,,,False
47,phrase_line,e,0,0,χα,False,True,False,,,False
48,phrase_line,f,kk,1,-,False,False,False,,,False
49,phrase_line,d,a2,-2,ρι,False,False,False,,,False
50,phrase_line,f,p2,2,στού,True,False,False,,,False
51,phrase_line,e,a,-1,ντες,False,False,True,ap,,True
52,martyria,e,,,,,,,,,True
53,phrase_line,g,oo2,2,δό,True,False,False,,,False
54,phrase_line,f,a,-1,ξα,False,False,True,,,False
55,phrase_line,e,a,-1,τη,False,False,True,,,False
56,phrase_line,e,0,0,δυ,False,False,False,,,False
57,phrase_line,e,0,0,νά,True,True,False,v,v,False
58,phrase_line,"d,c",s,"-1,-1",-,True,False,False,v,,False
59,phrase_line,d,o,1,μει,False,False,True,,,False
60,phrase_line,d,0,0,σου,False,False,True,,,False
61,phrase_line,e,oo,1,κύ,True,True,False,,,False
62,phrase_line,"d,c",s,"-1,-1",-,True,False,False,,,False
63,phrase_line,b,a,-1,ρι,False,False,False,,,False
64,phrase_line,c,o,1,ε,False,False,True,ap,,True
