,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,c,,,,,,,,,True
1,phrase_line,G,a3,-3,α,False,False,False,,,False
2,phrase_line,c,o3,3,στέ,True,False,False,,,False
3,phrase_line,b,a,-1,κτω,False,False,True,,,False
4,phrase_line,c,o,1,πυ,False,False,False,,,False
5,phrase_line,d,p,1,ρί,True,False,True,,,False
6,phrase_line,b,a2,-2,ε,False,False,False,,,False
7,phrase_line,c,o,1,νω,False,False,False,,,False
8,phrase_line,d,o,1,θέ,True,True,False,dd,,False
9,phrase_line,e,oo,1,-,True,False,False,,,False
10,phrase_line,e,0,0,ντες,False,False,True,ap,,True
11,phrase_line,e,0,0,οι,False,False,True,,,False
12,phrase_line,e,0,0,θε,False,False,False,,,False
13,phrase_line,e,0,0,ο,False,False,False,,,False
14,phrase_line,e,0,0,σε,False,False,False,,,False
15,phrase_line,g,p2,2,βεί,True,False,False,,,False
16,phrase_line,e,a2,-2,ας,False,False,True,,,False
17,phrase_line,e,p0,0,προ,False,False,False,,,False
18,phrase_line,d,a,-1,ε,False,False,False,,,False
19,phrase_line,c,a,-1,στώ,True,False,False,,,False
20,phrase_line,d,o,1,τες,False,False,True,,,False
21,phrase_line,e,p,1,νε,False,False,False,,,False
22,phrase_line,d,a,-1,α,False,False,False,,,False
23,phrase_line,c,a,-1,νί,True,True,False,,,False
24,phrase_line,d,oo,1,-,True,True,False,,,False
25,phrase_line,c,a,-1,-,True,True,False,,,False
26,phrase_line,b,a,-1,-,True,False,False,,,False
27,phrase_line,a,aa,-1,αι,False,False,True,,,True
28,martyria,a,,,,,,,,,True
29,phrase_line,b,o,1,τη,False,False,True,,,False
30,phrase_line,c,o,1,φλο,False,False,False,,,False
31,phrase_line,d,o,1,γί,True,False,True,,,False
32,phrase_line,d,0,0,δε,False,False,True,,,False
33,phrase_line,d,0,0,μη,False,False,True,,,False
34,phrase_line,d,p0,0,λω,False,False,False,,,False
35,phrase_line,b,a2,-2,βη,False,False,False,,,False
36,phrase_line,c,oo,1,θέ,True,False,False,,,False
37,phrase_line,a,a2,-2,ντες,False,False,True,,,True
38,phrase_line,d,o3,3,θεί,True,False,False,,,False
39,phrase_line,d,p0,0,ον,False,False,True,,,False
40,phrase_line,b,a2,-2,ύ,True,False,False,,,False
41,phrase_line,c,o,1,μνον,False,False,True,,,False
42,phrase_line,d,o,1,έ,True,False,False,,,False
43,phrase_line,e,o,1,μελ,False,False,False,,,False
44,phrase_line,e,0,0,πον,False,False,True,ap,,True
45,phrase_line,f,p,1,ευ,False,False,False,,,False
46,phrase_line,d,a2,-2,λο,False,False,False,,,False
47,phrase_line,f,p2,2,γεί,True,False,False,,,False
48,phrase_line,e,a,-1,τε,False,False,True,ap,,True
49,phrase_line,e,0,0,πά,True,False,False,,,False
50,phrase_line,e,0,0,ντα,False,False,True,,,False
51,phrase_line,f,o,1,τα,False,False,True,,,False
52,phrase_line,g,p,1,έρ,True,False,False,,,False
53,phrase_line,e,a2,-2,γα,False,False,True,,,True
54,phrase_line,e,0,0,κυ,False,False,False,,,False
55,phrase_line,e,0,0,ρί,True,True,False,v,v,False
56,phrase_line,"d,c",s,"-1,-1",-,True,False,False,v,,False
57,phrase_line,d,o,1,ου,False,False,True,,,False
58,phrase_line,d,0,0,τον,False,False,True,,,False
59,phrase_line,e,p,1,κύ,True,False,False,,,False
60,phrase_line,c,e,-2,ρι,False,True,False,v,v,False
61,phrase_line,b,a,-1,-,False,False,False,v,,False
62,phrase_line,c,o,1,ον,False,False,True,ap,,True
