,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,c,,,,,,,,,True
1,phrase_line,c,0,0,έ,True,False,False,dd,,False
2,phrase_line,c,0,0,θου,False,True,True,om,om,False
3,phrase_line,d,oo,1,-,False,True,True,om,om,False
4,phrase_line,c,a,-1,-,False,True,True,om,om,False
5,phrase_line,b,a,-1,-,False,False,True,om,om,False
6,phrase_line,a,a,-1,προς,False,False,True,,,False
7,phrase_line,c,k,2,η,False,True,False,v,v,False
8,phrase_line,b,a,-1,-,False,False,False,v,,False
9,phrase_line,c,o,1,μάς,True,True,True,dd,,False
10,phrase_line,d,p,1,-,True,False,True,,,False
11,phrase_line,b,a2,-2,κρα,False,False,False,,,False
12,phrase_line,c,o,1,ται,False,False,False,,,False
13,phrase_line,d,o,1,άν,True,False,True,ap,,True
14,phrase_line,d,0,0,α,False,False,False,,,False
15,phrase_line,"e,f",ookk,"1,1",γά,True,False,False,,,False
16,phrase_line,e,a,-1,πη,False,False,False,,,False
17,phrase_line,d,a,-1,σιν,False,False,True,,,False
18,phrase_line,d,p0,0,κύ,True,False,False,,,False
19,phrase_line,c,a,-1,ρι,False,True,False,v,v,False
20,phrase_line,b,a,-1,-,False,False,False,v,,False
21,phrase_line,c,o,1,ε,False,True,True,dd,,False
22,phrase_line,d,p,1,-,False,False,True,,,True
23,phrase_line,c,a,-1,τον,False,True,True,"di,kl","di,kl",False
24,phrase_line,b,a,-1,-,False,False,True,"di,kl",,False
25,phrase_line,a,a,-1,μο,False,False,False,,,False
26,phrase_line,b,o,1,νο,False,False,False,,,False
27,phrase_line,c,o,1,γε,False,False,False,,,False
28,phrase_line,e,oo2,2,νή,True,False,True,,,False
29,phrase_line,d,a,-1,γαρ,False,False,True,,,False
30,phrase_line,c,a,-1,σου,False,False,True,,,False
31,phrase_line,d,p,1,υι,False,False,False,,,False
32,phrase_line,c,a,-1,όν,True,True,True,"di,kl","di,kl",False
33,phrase_line,b,a,-1,-,True,False,True,"di,kl",,False
34,phrase_line,a,a,-1,υ,False,False,False,,,False
35,phrase_line,b,o,1,πέρ,True,False,True,,,False
36,phrase_line,c,o,1,η,False,False,False,,,False
37,phrase_line,d,o,1,μών,True,False,True,ap,,True
38,phrase_line,d,0,0,εις,False,False,True,,,False
39,phrase_line,"e,f",ookk,"1,1",θά,True,False,False,,,False
40,phrase_line,e,a,-1,να,False,False,False,,,False
41,phrase_line,d,a,-1,τον,False,False,True,,,False
42,phrase_line,d,p0,0,δέ,True,False,False,,,False
43,phrase_line,c,a,-1,δω,False,True,False,"di,kl","di,kl",False
44,phrase_line,b,a,-1,-,False,False,False,"di,kl",,False
45,phrase_line,c,o,1,κας,False,True,True,dd,,False
46,phrase_line,d,oo,1,-,False,False,True,,,True
47,phrase_line,d,0,0,δι,False,False,False,,,False
48,phrase_line,d,0,0,ό,True,False,True,,,False
49,phrase_line,d,p0,0,σοι,False,False,True,,,False
50,phrase_line,b,a2,-2,κραυ,False,False,False,,,False
51,phrase_line,c,oo,1,γά,True,False,False,,,False
52,phrase_line,b,a,-1,ζο,False,False,False,,,False
53,phrase_line,a,a,-1,μεν,False,False,True,kl,,True
54,phrase_line,G,a,-1,ευ,False,False,False,,,False
55,phrase_line,b,o2,2,χα,False,False,False,,,False
56,phrase_line,c,o,1,ρι,False,False,False,,,False
57,phrase_line,d,o,1,στού,True,True,False,kr,,False
58,phrase_line,"c,b",s,"-1,-1",-,True,False,False,,,False
59,phrase_line,c,o,1,ντες,False,False,True,dd,,True
60,phrase_line,d,p,1,δό,True,False,False,,,False
61,phrase_line,c,a,-1,ξα,False,False,True,,,False
62,phrase_line,d,p,1,τη,False,False,True,,,False
63,phrase_line,c,a,-1,δυ,False,True,False,"di,kl","di,kl",False
64,phrase_line,b,a,-1,-,False,False,False,"di,kl",,False
65,phrase_line,a,aa,-1,νά,True,True,False,,,False
66,phrase_line,"b,c",kkoo,"1,1",-,True,False,False,,,False
67,phrase_line,c,0,0,μει,False,False,True,dd,,False
68,phrase_line,c,0,0,σου,False,False,True,,,True
