,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,c,,,,,,,,,True
1,phrase_line,e,o2,2,ο,False,False,True,,,False
2,phrase_line,e,0,0,εκ,False,False,True,l,l,False
3,phrase_line,e,p0,0,μη,False,False,True,l,l,False
4,phrase_line,c,a2,-2,ό,True,True,False,l,,False
5,phrase_line,d,oo,1,-,True,True,False,an,an,False
6,phrase_line,c,a,-1,-,True,True,False,an,,False
7,phrase_line,d,oo,1,-,True,False,False,g,,False
8,phrase_line,e,o,1,ντων,False,False,True,ap,,True
9,phrase_line,e,0,0,τα,False,False,True,,,False
10,phrase_line,g,p2,2,πά,True,False,False,klr,,False
11,phrase_line,e,a2,-2,ντα,False,False,True,,,False
12,phrase_line,f,o,1,πα,False,False,False,,,False
13,phrase_line,f,p0,0,ρα,False,False,False,l,l,False
14,phrase_line,d,a2,-2,γα,False,False,False,l,,False
15,phrase_line,e,o,1,γών,True,False,True,ap,,True
16,martyria,e,,,,,,,,,True
17,phrase_line,e,0,0,τω,False,False,True,,,False
18,phrase_line,g,oo2,2,λό,True,False,False,psr,,False
19,phrase_line,f,a,-1,γω,False,False,True,,,False
20,phrase_line,e,a,-1,κτι,False,False,False,"g,is",,False
21,phrase_line,f,p,1,ζό,True,False,False,,,False
22,phrase_line,e,a,-1,με,False,False,False,l,l,False
23,phrase_line,e,0,0,να,False,False,True,"ap,l",,True
24,phrase_line,e,0,0,τε,False,False,False,,,False
25,phrase_line,e,0,0,λει,False,False,False,l,l,False
26,phrase_line,e,p0,0,ού,True,False,False,l,,False
27,phrase_line,c,a2,-2,με,False,False,False,,,False
28,phrase_line,d,o,1,να,False,False,True,,,False
29,phrase_line,e,p,1,πνεύ,True,False,False,l,l,False
30,phrase_line,d,a,-1,μα,False,False,False,l,l,False
31,phrase_line,d,0,0,τι,False,False,True,"ap,l",,True
32,phrase_line,d,0,0,πα,False,False,False,,,False
33,phrase_line,d,p0,0,ντο,False,False,False,l,l,False
34,phrase_line,b,a2,-2,κρά,True,False,False,l,,False
35,phrase_line,c,o,1,τορ,False,False,True,,,False
36,phrase_line,d,o,1,ύ,True,True,False,dd,,False
37,phrase_line,e,oo,1,-,True,False,False,g,,False
38,phrase_line,e,0,0,ψι,False,False,False,,,False
39,phrase_line,e,0,0,στε,False,False,True,ap,,True
40,phrase_line,e,0,0,εν,False,False,True,,,False
41,phrase_line,e,0,0,τη,False,False,True,,,False
42,phrase_line,f,o,1,α,False,False,False,,,False
43,phrase_line,g,oo,1,γά,True,False,False,psr,,False
44,phrase_line,f,a,-1,πη,False,False,True,anr,anr,False
45,phrase_line,e,a,-1,τη,False,False,True,"anr,kl",,False
46,phrase_line,d,a,-1,ση,False,False,True,,,False
47,phrase_line,c,a,-1,στε,False,False,False,,,False
48,phrase_line,e,p2,2,ρέ,True,False,False,klr,,False
49,phrase_line,c,a2,-2,ω,False,False,False,l,l,False
50,phrase_line,d,p,1,σόν,True,False,True,l,l,False
51,phrase_line,c,a,-1,με,False,False,True,"ap,l",,True
