,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,d,,,,,,,,,True
1,phrase_line,d,0,0,ουκ,False,False,True,,,False
2,phrase_line,d,0,0,έ,True,False,False,,,False
3,phrase_line,d,0,0,λά,True,False,False,,,False
4,phrase_line,c,a,-1,τρευ,False,False,False,,,False
5,phrase_line,a,a2,-2,σαν,False,False,True,ap,,True
6,phrase_line,b,o,1,τη,False,False,True,,,False
7,phrase_line,c,p,1,κτί,True,False,False,,,False
8,phrase_line,b,a,-1,σει,False,False,True,,,False
9,phrase_line,b,0,0,οι,False,False,True,,,False
10,phrase_line,d,o2,2,θε,False,False,False,,,False
11,phrase_line,e,oo,1,ό,True,False,False,,,False
12,phrase_line,d,a,-1,φρο,False,False,False,,,False
13,phrase_line,b,a2,-2,νες,False,False,True,,,True
14,phrase_line,d,o2,2,πα,False,False,False,,,False
15,phrase_line,d,p0,0,ρά,True,False,True,,,False
16,phrase_line,a,a3,-3,τον,False,False,True,,,False
17,phrase_line,"b,c",okk,"1,1",κτί,True,False,False,,,False
18,phrase_line,c,p0,0,σα,False,True,False,,,False
19,phrase_line,"b,a",s,"-1,-1",-,False,False,False,,,False
20,phrase_line,b,o,1,ντα,False,False,True,dd,,True
21,martyria,b,,,,,,,,,True
22,phrase_line,d,o2,2,αλ,False,False,False,,,False
23,phrase_line,d,p0,0,λά,True,False,True,,,False
24,phrase_line,a,a3,-3,πυ,False,False,False,,,False
25,phrase_line,"b,c",okk,"1,1",ρός,True,False,True,,,False
26,phrase_line,c,p0,0,α,False,False,False,,,False
27,phrase_line,a,a2,-2,πει,False,False,False,,,False
28,phrase_line,b,o,1,λήν,True,False,True,ap,,True
29,phrase_line,b,0,0,αν,False,False,False,,,False
30,phrase_line,f,o4,4,δρεί,True,False,False,,,False
31,phrase_line,f,p0,0,ως,False,False,True,,,False
32,phrase_line,e,a,-1,πα,False,False,False,,,False
33,phrase_line,e,p0,0,τή,True,False,False,,,False
34,phrase_line,d,a,-1,σα,False,False,False,,,False
35,phrase_line,d,p0,0,ντες,False,False,True,,,True
36,phrase_line,b,a2,-2,χαί,True,False,False,,,False
37,phrase_line,b,0,0,ρο,False,False,False,,,False
38,phrase_line,d,o2,2,ντες,False,False,True,,,False
39,phrase_line,e,oo,1,έ,True,False,False,,,False
40,phrase_line,d,a,-1,ψαλ,False,False,False,,,False
41,phrase_line,b,a2,-2,λον,False,False,True,ap,,True
42,martyria,b,,,,,,,,,True
43,phrase_line,d,o2,2,υ,False,False,False,,,False
44,phrase_line,d,0,0,πε,False,False,False,,,False
45,phrase_line,d,p0,0,ρύ,True,False,False,,,False
46,phrase_line,c,a,-1,μνη,False,False,False,,,False
47,phrase_line,a,a2,-2,τε,False,False,True,ap,,True
48,phrase_line,a,0,0,ο,False,False,True,,,False
49,phrase_line,c,oo2,2,των,False,False,True,,,False
50,phrase_line,b,a,-1,πα,False,False,False,,,False
51,phrase_line,a,a,-1,τέ,True,False,False,,,False
52,phrase_line,G,a,-1,ρων,False,False,True,,,False
53,phrase_line,b,o2,2,κύ,True,False,False,,,False
54,phrase_line,c,o,1,ρι,False,False,False,,,False
55,phrase_line,d,o,1,ος,False,False,True,ap,,True
56,phrase_line,d,0,0,και,False,False,True,,,False
57,phrase_line,d,0,0,θε,False,False,False,,,False
58,phrase_line,e,p,1,ός,True,False,True,,,False
59,phrase_line,d,a,-1,ευ,False,False,False,,,False
60,phrase_line,b,a2,-2,λο,False,False,False,,,False
61,phrase_line,c,p,1,γη,False,False,False,,,False
62,phrase_line,a,a2,-2,τός,True,True,True,,,False
63,phrase_line,c,p2,2,-,True,False,True,,,False
64,phrase_line,b,a,-1,ει,False,False,True,ap,,True
