,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,d,,,,,,,,,True
1,phrase_line,d,0,0,χαί,True,False,False,,,False
2,phrase_line,d,0,0,ροις,False,False,True,,,False
3,phrase_line,g,oo3,3,ά,True,False,False,,,False
4,phrase_line,f,a,-1,νασ,False,False,False,,,False
5,phrase_line,d,a2,-2,σα,False,False,True,,,True
6,phrase_line,d,p0,0,μη,False,False,False,,,False
7,phrase_line,b,a2,-2,τρο,False,False,False,,,False
8,phrase_line,d,o2,2,πάρ,True,False,False,,,False
9,phrase_line,d,0,0,θε,False,True,False,v,,False
10,phrase_line,"c,b",s,"-1,-1",-,False,True,False,v,,False
11,phrase_line,c,p,1,-,False,False,False,,,False
12,phrase_line,a,a2,-2,νον,False,False,True,,,False
13,phrase_line,c,p2,2,κλέ,True,False,False,,,False
14,phrase_line,b,a,-1,ος,False,False,True,ap,,True
15,martyria,b,,,,,,,,,True
16,phrase_line,f,o4,4,ά,True,False,False,,,False
17,phrase_line,f,0,0,παν,False,False,True,,,False
18,phrase_line,f,p0,0,γάρ,True,False,True,,,False
19,phrase_line,e,a,-1,ευ,False,False,False,,,False
20,phrase_line,g,oo2,2,δί,True,False,False,,,False
21,phrase_line,f,a,-1,νη,False,False,False,,,False
22,phrase_line,d,a2,-2,τον,False,False,True,,,True
23,phrase_line,f,o2,2,εύ,True,True,False,dd,,False
24,phrase_line,a',p2,2,-,True,False,False,,,False
25,phrase_line,g,a,-1,λα,False,False,False,,,False
26,phrase_line,e,a2,-2,λον,False,True,True,,,False
27,phrase_line,f,oo,1,-,False,False,True,,,False
28,phrase_line,f,0,0,στό,True,True,False,v,v,False
29,phrase_line,e,a,-1,-,True,True,False,v,,False
30,phrase_line,e,p0,0,-,True,True,False,,,False
31,phrase_line,d,a,-1,-,True,False,False,,,False
32,phrase_line,d,0,0,μα,False,False,True,ap,,True
33,phrase_line,G,a4,-4,ρη,False,False,False,,,False
34,phrase_line,b,o2,2,τρεύ,True,True,False,dd,,False
35,phrase_line,"c,d",kkoo,"1,1",-,True,False,False,,,False
36,phrase_line,d,p0,0,ον,False,False,True,,,False
37,phrase_line,c,a,-1,ου,False,True,True,v,v,False
38,phrase_line,b,a,-1,-,False,False,True,v,,False
39,phrase_line,d,oo2,2,σθέ,True,False,False,,,False
40,phrase_line,c,a,-1,νει,False,False,True,,,False
41,phrase_line,b,a,-1,σε,False,False,True,,,True
42,phrase_line,d,o2,2,μέλ,True,False,False,,,False
43,phrase_line,d,0,0,πειν,False,True,True,v,v,False
44,phrase_line,"c,b",s,"-1,-1",-,False,True,True,v,,False
45,phrase_line,c,p,1,-,False,False,True,,,False
46,phrase_line,a,a2,-2,α,False,False,False,,,False
47,phrase_line,c,p2,2,ξί,True,False,False,,,False
48,phrase_line,b,a,-1,ως,False,False,True,ap,,True
49,martyria,b,,,,,,,,,True
50,phrase_line,b,p0,0,ι,False,False,False,,,False
51,phrase_line,G,a2,-2,λιγ,False,False,False,,,False
52,phrase_line,a,o,1,γι,False,False,False,,,False
53,phrase_line,b,o,1,ά,True,False,True,,,False
54,phrase_line,c,o,1,δέ,True,False,True,,,False
55,phrase_line,d,o,1,νούς,True,False,True,dd,,True
56,phrase_line,e,p,1,ά,True,False,False,,,False
57,phrase_line,d,a,-1,πας,False,False,True,,,False
58,phrase_line,e,o,1,σου,False,False,True,,,False
59,phrase_line,f,o,1,τον,False,False,True,,,False
60,phrase_line,g,p,1,τό,True,True,False,,,False
61,phrase_line,f,a,-1,-,True,False,False,,,False
62,phrase_line,f,0,0,κον,False,True,True,v,v,False
63,phrase_line,e,a,-1,-,False,False,True,v,,True
64,phrase_line,e,0,0,νο,False,True,False,v,v,False
65,phrase_line,d,a,-1,-,False,False,False,v,,False
66,phrase_line,d,0,0,είν,True,False,True,ap,,True
67,phrase_line,d,0,0,ό,True,False,False,,,False
68,phrase_line,d,0,0,θεν,False,True,True,v,v,False
69,phrase_line,b,e,-2,-,False,False,True,v,,False
70,phrase_line,c,o,1,σε,False,False,True,,,False
71,phrase_line,d,oo,1,συμ,False,True,False,,,False
72,phrase_line,"c,b",s,"-1,-1",-,False,False,False,,,False
73,phrase_line,c,oo,1,φώ,True,True,False,,,False
74,phrase_line,"b,a",s,"-1,-1",-,True,True,False,,,False
75,phrase_line,G,a,-1,-,True,False,False,,,False
76,phrase_line,a,o,1,νως,False,False,True,,,False
77,phrase_line,b,o,1,δο,False,False,False,,,False
78,phrase_line,d,oo2,2,ξά,True,False,False,,,False
79,phrase_line,c,a,-1,ζο,False,False,False,,,False
80,phrase_line,b,aa,-1,μεν,False,False,True,ap,,True
