,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,b,,,,,,,,,True
1,phrase_line,d,o2,2,ά,True,False,False,anr,,False
2,phrase_line,d,p0,0,ναξ,False,False,True,,,False
3,phrase_line,c,a,-1,α,False,False,False,,,False
4,phrase_line,d,oo,1,νά,True,False,False,"kl,para_,vv","para_,vv",False
5,phrase_line,b,a2,-2,κτων,False,False,True,"para_,vv",,True
6,phrase_line,c,oo,1,οί,True,False,False,klr,klr,False
7,phrase_line,b,a,-1,ος,False,False,True,klr,,False
8,phrase_line,a,a,-1,εξ,False,False,True,,,False
9,phrase_line,c,k,2,οί,True,True,False,"klr,l,v","klr,l,v",False
10,phrase_line,b,a,-1,-,True,True,False,"klr,l,v",l,False
11,phrase_line,c,p,1,-,True,False,False,l,,False
12,phrase_line,a,a2,-2,ου,False,False,True,,,False
13,phrase_line,b,o,1,μό,True,False,False,g,,False
14,phrase_line,b,0,0,νος,False,False,True,ap,,True
15,martyria,b,,,,,,,,,True
16,phrase_line,d,o2,2,λό,True,False,False,g,,False
17,phrase_line,d,0,0,γος,False,False,True,,,False
18,phrase_line,d,0,0,προ,False,False,False,"g,is",,False
19,phrase_line,d,0,0,ελ,False,False,False,,,False
20,phrase_line,d,oo0,0,θών,True,False,True,psr,,False
21,phrase_line,c,a,-1,πα,False,False,False,kl,,False
22,phrase_line,a,a2,-2,τρός,True,False,True,,,False
23,phrase_line,c,oo2,2,εξ,False,False,True,psr,,False
24,phrase_line,b,a,-1,α,False,False,False,,,False
25,phrase_line,a,a,-1,ναι,False,False,False,kl,,False
26,phrase_line,F,a2,-2,τί,True,True,False,,,False
27,phrase_line,"G,a",kkoo,"1,1",-,True,False,False,"g,l",l,False
28,phrase_line,a,0,0,ου,False,False,True,"ap,l",,True
29,martyria,a,,,,,,,,,True
30,phrase_line,G,a,-1,ι,False,False,False,,,False
31,phrase_line,a,o,1,σο,False,False,False,,,False
32,phrase_line,b,o,1,σθε,False,False,False,anr,anr,False
33,phrase_line,c,p,1,νές,True,False,True,anr,,False
34,phrase_line,b,a,-1,σου,False,False,True,,,False
35,phrase_line,d,oo2,2,πνεύ,True,False,False,psr,,False
36,phrase_line,c,a,-1,μα,False,False,True,kl,,False
37,phrase_line,a,a2,-2,τοις,False,False,True,,,False
38,phrase_line,b,o,1,α,False,True,False,,,False
39,phrase_line,c,p,1,-,False,False,False,l,l,False
40,phrase_line,a,a2,-2,πο,False,False,False,l,,False
41,phrase_line,b,o,1,στό,True,False,False,g,,False
42,phrase_line,b,0,0,λοις,False,False,True,ap,,True
43,phrase_line,d,o2,2,νη,False,False,False,,,False
44,phrase_line,d,0,0,μερ,False,False,False,,,False
45,phrase_line,e,p,1,τές,True,False,True,anr,,False
46,phrase_line,d,a,-1,ε,False,False,False,,,False
47,phrase_line,d,oo0,0,ξέ,True,False,False,psr,,False
48,phrase_line,c,a,-1,πεμ,False,False,False,klr,klr,False
49,phrase_line,a,a2,-2,ψας,False,False,True,klr,,True
50,phrase_line,c,oo2,2,ως,False,False,True,psr,,False
51,phrase_line,b,a,-1,ευ,False,False,False,,,False
52,phrase_line,a,a,-1,ερ,False,False,False,kl,,False
53,phrase_line,F,a2,-2,γέ,True,True,False,,,False
54,phrase_line,"G,a",kkoo,"1,1",-,True,False,False,"g,l",l,False
55,phrase_line,a,0,0,της,False,False,True,"ap,l",,True
56,phrase_line,d,o3,3,ά,True,False,False,,,False
57,phrase_line,d,p0,0,δου,False,False,False,anr,,False
58,phrase_line,c,a,-1,σι,False,False,True,,,False
59,phrase_line,d,o,1,δό,True,True,False,"klr,l,v","klr,l,v",False
60,phrase_line,b,e,-2,-,True,False,False,"klr,l,v",l,False
61,phrase_line,c,o,1,ξα,False,True,True,l,,False
62,phrase_line,d,p,1,-,False,False,True,trr,,False
63,phrase_line,b,e,-2,τώ,True,False,True,v,,False
64,phrase_line,a,a,-1,κρά,True,True,False,kl,,False
65,phrase_line,G,a,-1,-,True,False,False,,,False
66,phrase_line,a,o,1,τει,False,False,True,,,False
67,phrase_line,b,o,1,σου,False,False,True,,,False
68,phrase_line,d,oo2,2,κύ,True,False,False,psr,,False
69,phrase_line,c,a,-1,ρι,False,False,False,klr,,False
70,phrase_line,b,aa,-1,ε,False,False,True,ap,,True
