,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,D,,,,,,,,,True
1,phrase_line,a,o4,4,τω,False,False,True,,,False
2,phrase_line,b,o,1,σω,False,False,False,,,False
3,phrase_line,"c,d",ookk,"1,1",τή,True,False,False,,,False
4,phrase_line,c,a,-1,ρι,False,False,True,,,False
5,phrase_line,b,a,-1,θε,False,False,False,,,False
6,phrase_line,c,o,1,ώ,True,False,True,ap,,True
7,phrase_line,c,0,0,τω,False,False,True,,,False
8,phrase_line,c,p0,0,εν,False,False,True,,,False
9,phrase_line,a,a2,-2,θα,False,False,False,,,False
10,phrase_line,c,oo2,2,λάσ,True,True,False,,,False
11,phrase_line,d,kk,1,-,True,False,False,,,False
12,phrase_line,c,a,-1,ση,False,False,True,,,False
13,phrase_line,b,a,-1,λα,False,False,False,,,False
14,phrase_line,a,aa,-1,όν,True,False,True,,,True
15,phrase_line,G,a,-1,πο,False,False,False,,,False
16,phrase_line,a,o,1,σίν,True,False,True,,,False
17,phrase_line,b,o,1,α,False,False,False,,,False
18,phrase_line,c,p,1,βρό,True,False,False,,,False
19,phrase_line,a,a2,-2,χοις,False,False,True,,,False
20,phrase_line,b,o,1,ο,False,False,False,,,False
21,phrase_line,"c,d",ookk,"1,1",δη,False,False,False,,,False
22,phrase_line,c,a,-1,γή,True,True,False,v,v,False
23,phrase_line,b,a,-1,-,True,False,False,v,,False
24,phrase_line,a,a,-1,σα,False,True,False,v,v,False
25,phrase_line,G,a,-1,-,False,False,False,v,,False
26,phrase_line,a,o,1,ντι,False,False,True,ap,,True
27,phrase_line,G,a,-1,και,False,False,True,,,False
28,phrase_line,a,o,1,φα,False,False,False,,,False
29,phrase_line,b,o,1,ρα,False,False,False,,,False
30,phrase_line,c,o,1,ώ,True,False,True,,,False
31,phrase_line,d,oo,1,παν,False,False,False,,,False
32,phrase_line,c,a,-1,στρα,False,False,False,,,False
33,phrase_line,b,a,-1,τι,False,False,False,,,False
34,phrase_line,c,p,1,ά,True,False,True,,,False
35,phrase_line,a,a2,-2,κα,False,False,False,,,False
36,phrase_line,b,o,1,τα,False,False,False,,,False
37,phrase_line,"c,d",ookk,"1,1",πο,False,False,False,,,False
38,phrase_line,c,a,-1,ντί,True,True,False,v,v,False
39,phrase_line,b,a,-1,-,True,False,False,v,,False
40,phrase_line,a,a,-1,σα,False,True,False,v,v,False
41,phrase_line,G,a,-1,-,False,False,False,v,,False
42,phrase_line,a,o,1,ντι,False,False,True,ap,,True
43,martyria,a,,,,,,,,,True
44,phrase_line,G,a,-1,αυ,False,False,False,,,False
45,phrase_line,a,o,1,τώ,True,True,True,dd,,False
46,phrase_line,"b,c",kkoo,"1,1",-,True,True,True,,,False
47,phrase_line,d,oo,1,-,True,False,True,,,False
48,phrase_line,d,p0,0,μό,True,False,False,,,False
49,phrase_line,c,a,-1,νω,False,True,True,v,v,False
50,phrase_line,b,a,-1,-,False,False,True,v,,False
51,phrase_line,c,oo,1,ά,True,False,False,,,False
52,phrase_line,b,a,-1,σω,False,False,False,,,False
53,phrase_line,a,aa,-1,μεν,False,False,True,ap,,True
54,phrase_line,a,p0,0,ό,True,False,False,,,False
55,phrase_line,F,a2,-2,τι,False,False,True,,,False
56,phrase_line,G,o,1,δε,False,False,False,,,False
57,phrase_line,a,o,1,δό,True,True,False,dd,,False
58,phrase_line,"b,c",kkoo,"1,1",-,True,True,False,,,False
59,phrase_line,d,oo,1,-,True,False,False,,,False
60,phrase_line,c,pa,-1,ξα,False,True,False,,,False
61,phrase_line,"b,a",s,"-1,-1",-,False,True,False,,,False
62,phrase_line,G,a,-1,-,False,False,False,,,False
63,phrase_line,a,o,1,σται,False,False,True,ap,,True
