,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,D,,,,,,,,,True
1,phrase_line,a,o4,4,δυ,False,False,False,,,False
2,phrase_line,a,p0,0,νά,True,False,False,,,False
3,phrase_line,G,a,-1,μει,False,False,True,,,False
4,phrase_line,a,o,1,του,False,False,True,,,False
5,phrase_line,b,o,1,σταυ,False,False,False,,,False
6,phrase_line,"c,d",ookk,"1,1",ρού,True,False,True,,,False
7,phrase_line,c,a,-1,σου,False,False,True,,,False
8,phrase_line,b,a,-1,χρι,False,False,False,,,False
9,phrase_line,c,o,1,στέ,True,False,True,,,True
10,phrase_line,c,0,0,στε,False,False,False,,,False
11,phrase_line,e,p2,2,ρέ,True,False,False,,,False
12,phrase_line,c,a2,-2,ω,False,False,False,,,False
13,phrase_line,c,p0,0,σον,False,False,True,,,False
14,phrase_line,a,a2,-2,μου,False,False,True,,,False
15,phrase_line,b,o,1,την,False,False,True,,,False
16,phrase_line,"c,d",okk,"1,1",δι,False,False,False,,,False
17,phrase_line,c,a,-1,ά,True,True,False,v,v,False
18,phrase_line,b,a,-1,-,True,False,False,v,,False
19,phrase_line,b,0,0,νοι,False,True,False,v,v,False
20,phrase_line,a,a,-1,-,False,False,False,v,,False
21,phrase_line,a,0,0,αν,False,False,True,ap,,True
22,martyria,a,,,,,,,,,True
23,phrase_line,a,0,0,εις,False,False,True,,,False
24,phrase_line,a,p0,0,το,False,False,True,,,False
25,phrase_line,G,a,-1,υ,False,False,False,,,False
26,phrase_line,a,o,1,μνείν,True,True,True,dd,,False
27,phrase_line,"b,c",kkoo,"1,1",-,True,True,True,,,False
28,phrase_line,d,oo,1,-,True,False,True,,,False
29,phrase_line,c,a,-1,και,False,False,True,,,False
30,phrase_line,b,a,-1,δο,False,False,False,,,False
31,phrase_line,c,oo,1,ξά,True,False,False,,,False
32,phrase_line,b,a,-1,ζειν,False,False,True,,,False
33,phrase_line,a,aa,-1,σου,False,False,True,,,True
34,phrase_line,a,0,0,την,False,False,True,,,False
35,phrase_line,a,0,0,σω,False,False,False,,,False
36,phrase_line,b,oo,1,τή,True,False,False,,,False
37,phrase_line,a,a,-1,ρι,False,False,False,,,False
38,phrase_line,F,a2,-2,ον,False,False,True,,,False
39,phrase_line,G,o,1,α,False,False,False,,,False
40,phrase_line,a,o,1,νά,True,True,False,dd,,False
41,phrase_line,"b,c",kkoo,"1,1",-,True,True,False,,,False
42,phrase_line,d,oo,1,-,True,False,False,,,False
43,phrase_line,c,pa,-1,λη,False,True,False,,,False
44,phrase_line,"b,a",s,"-1,-1",-,False,True,False,,,False
45,phrase_line,G,a,-1,-,False,False,False,,,False
46,phrase_line,a,o,1,ψιν,False,False,True,ap,,True
