,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,a,,,,,,,,,True
1,phrase_line,G,a,-1,η,False,False,False,,,False
2,phrase_line,a,o,1,σα,False,False,False,,,False
3,phrase_line,"b,c",okk,"1,1",ϊ,False,False,False,,,False
4,phrase_line,d,o,1,α,False,False,True,,,False
5,phrase_line,e,p,1,χό,True,False,False,,,False
6,phrase_line,c,e,-2,ρευ,False,True,False,v,v,False
7,phrase_line,b,a,-1,-,False,False,False,v,,False
8,phrase_line,a,a,-1,ε,False,False,True,,,True
9,phrase_line,a,0,0,η,False,False,True,,,False
10,phrase_line,"b,c",okk,"1,1",παρ,False,False,False,,,False
11,phrase_line,e,o2,2,θέ,True,False,False,,,False
12,phrase_line,e,0,0,νος,False,False,True,dd,,True
13,phrase_line,e,oo0,0,έ,True,False,False,,,False
14,phrase_line,d,a,-1,σχεν,False,False,True,,,False
15,phrase_line,c,a,-1,εν,False,False,True,,,False
16,phrase_line,d,o,1,γα,False,True,False,"kl,v","kl,v",False
17,phrase_line,b,e,-2,-,False,False,False,"kl,v",,False
18,phrase_line,c,o,1,στρί,True,False,True,ap,,True
19,phrase_line,b,a,-1,και,False,True,True,,,False
20,phrase_line,c,kk,1,-,False,False,True,,,False
21,phrase_line,e,oo2,2,έ,True,True,False,,,False
22,phrase_line,f,kk,1,-,True,False,False,,,False
23,phrase_line,e,a,-1,τε,False,False,False,,,False
24,phrase_line,d,a,-1,κεν,False,False,True,kl,,False
25,phrase_line,b,a2,-2,υι,False,True,False,,,False
26,phrase_line,c,kk,1,-,False,False,False,,,False
27,phrase_line,d,o,1,όν,True,False,True,dd,,True
28,phrase_line,e,oo,1,τον,False,False,True,,,False
29,phrase_line,c,a2,-2,εμ,False,False,False,,,False
30,phrase_line,b,a,-1,μα,False,False,False,,,False
31,phrase_line,a,a,-1,νου,False,False,False,,,False
32,phrase_line,a,0,0,ήλ,True,False,True,,,True
33,phrase_line,"b,c",okk,"1,1",θε,False,False,False,,,False
34,phrase_line,e,o2,2,όν,True,True,True,dd,,False
35,phrase_line,"f,g",pkk,"1,1",-,True,False,True,,,False
36,phrase_line,e,pe,-2,τε,False,False,True,,,False
37,phrase_line,d,a,-1,και,False,True,True,v,v,False
38,phrase_line,c,a,-1,-,False,False,True,v,,False
39,phrase_line,"d,e",pkk,"1,1",άν,True,False,False,,,False
40,phrase_line,c,e,-2,θρω,False,True,False,v,v,False
41,phrase_line,b,a,-1,-,False,False,False,v,,False
42,phrase_line,a,a,-1,πον,False,False,True,,,True
43,phrase_line,a,0,0,α,False,False,False,,,False
44,phrase_line,b,o,1,να,False,False,False,,,False
45,phrase_line,c,o,1,το,False,False,False,,,False
46,phrase_line,d,o,1,λή,True,True,True,dd,,False
47,phrase_line,e,oo,1,-,True,False,True,,,True
48,phrase_line,e,oo0,0,ό,True,False,False,,,False
49,phrase_line,d,a,-1,νο,False,False,False,,,False
50,phrase_line,c,a,-1,μα,False,False,True,,,False
51,phrase_line,d,o,1,αυ,False,True,False,v,v,False
52,phrase_line,b,e,-2,-,False,False,False,v,,False
53,phrase_line,c,o,1,τώ,True,False,True,dd,,True
54,phrase_line,e,o2,2,ον,False,False,True,kr,,False
55,phrase_line,d,a,-1,με,False,False,False,kl,,False
56,phrase_line,b,a2,-2,γα,False,False,False,,,False
57,phrase_line,c,oo,1,λύ,True,False,False,,,False
58,phrase_line,b,a,-1,νο,False,False,False,,,False
59,phrase_line,a,aa,-1,ντες,False,True,True,,,False
60,phrase_line,b,oo,1,-,False,False,True,kl,,True
61,phrase_line,G,a2,-2,την,False,False,True,,,False
62,phrase_line,a,o,1,παρ,False,False,False,,,False
63,phrase_line,c,p2,2,θέ,True,False,False,,,False
64,phrase_line,b,a,-1,νον,False,False,True,,,False
65,phrase_line,c,o,1,μα,False,False,False,,,False
66,phrase_line,d,o,1,κα,False,True,False,kl,,False
67,phrase_line,a,a3,-3,-,False,False,False,,,False
68,phrase_line,b,o,1,ρί,True,True,False,dd,,False
69,phrase_line,c,oo,1,-,True,False,False,kl,,False
70,phrase_line,a,e,-2,ζο,False,False,False,dd,,False
71,phrase_line,a,0,0,μεν,False,False,True,,,True
