,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,a,,,,,,,,,True
1,phrase_line,a,0,0,μαι,False,False,False,,,False
2,phrase_line,b,o,1,νο,False,False,False,,,False
3,phrase_line,c,p,1,μέ,True,False,False,anr,,False
4,phrase_line,b,a,-1,νην,False,False,True,,,False
5,phrase_line,c,oo,1,κλύ,True,False,False,psr,,False
6,phrase_line,b,a,-1,δω,False,False,False,klr,,False
7,phrase_line,a,aa,-1,νι,False,False,True,,,True
8,phrase_line,b,p,1,ψυ,False,False,False,,,False
9,phrase_line,G,a2,-2,χο,False,False,False,,,False
10,phrase_line,a,o,1,φθό,True,False,False,"g,is",,False
11,phrase_line,a,0,0,ρω,False,False,True,ap,,True
12,phrase_line,b,oo,1,δέ,True,False,False,psr,,False
13,phrase_line,a,a,-1,σπο,False,False,False,klr,klr,False
14,phrase_line,F,a2,-2,τα,False,False,True,klr,,False
15,phrase_line,G,o,1,χρι,False,False,False,"g,is",,False
16,phrase_line,a,o,1,στέ,True,False,True,ap,,True
17,phrase_line,a,0,0,των,False,False,True,,,False
18,phrase_line,a,0,0,πα,False,False,False,,,False
19,phrase_line,c,o2,2,θών,True,False,True,g,,False
20,phrase_line,c,0,0,την,False,False,True,,,False
21,phrase_line,d,p,1,θά,True,False,False,klr,,False
22,phrase_line,c,a,-1,λασ,False,False,False,,,False
23,phrase_line,c,p0,0,σαν,False,False,True,"anr,g,is",,False
24,phrase_line,b,a,-1,κα,False,False,False,,,False
25,phrase_line,c,oo,1,τεύ,True,False,False,psr,,False
26,phrase_line,b,a,-1,να,False,False,False,klr,,False
27,phrase_line,a,aa,-1,σον,False,False,True,,,True
28,phrase_line,a,p0,0,και,False,False,True,klr,,False
29,phrase_line,F,a2,-2,εκ,False,False,True,,,False
30,phrase_line,G,o,1,φθο,False,False,False,,,False
31,phrase_line,a,o,1,ράς,True,False,True,ap,,True
32,phrase_line,G,a,-1,α,False,False,False,,,False
33,phrase_line,a,p,1,νά,True,False,False,l,l,False
34,phrase_line,G,a,-1,γα,False,False,False,"g,l",l,False
35,phrase_line,a,p,1,γέ,True,False,True,l,,False
36,phrase_line,F,a2,-2,με,False,False,True,,,False
37,phrase_line,G,o,1,ως,False,False,True,,,False
38,phrase_line,"a,b",okk,"1,1",εύ,True,False,False,l,l,False
39,phrase_line,b,p0,0,σπλαγ,False,False,False,"g,is,l",l,False
40,phrase_line,a,a,-1,χνος,False,False,True,ap,,True
