,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,G,,,,,,,,,True
1,phrase_line,b,o2,2,εκ,False,False,True,,,False
2,phrase_line,b,0,0,φλο,False,False,False,,,False
3,phrase_line,d,oo2,2,γός,True,False,True,,,False
4,phrase_line,c,a,-1,τοις,False,False,True,,,False
5,phrase_line,b,a,-1,ο,False,False,False,,,False
6,phrase_line,b,0,0,σί,True,False,False,,,False
7,phrase_line,b,p0,0,οις,False,False,True,,,False
8,phrase_line,G,a2,-2,δρό,True,False,False,,,False
9,phrase_line,a,o,1,σον,False,False,True,,,False
10,phrase_line,b,o,1,υ,False,False,False,,,False
11,phrase_line,c,oo,1,πέ,True,False,False,,,False
12,phrase_line,b,a,-1,δει,False,False,False,,,False
13,phrase_line,G,a2,-2,ξας,False,False,True,ap,,True
14,martyria,G,,,,,,,,,True
15,phrase_line,b,o2,2,και,False,False,True,,,False
16,phrase_line,b,0,0,θυ,False,False,False,,,False
17,phrase_line,d,oo2,2,σί,True,False,False,,,False
18,phrase_line,c,a,-1,αν,False,False,True,,,False
19,phrase_line,b,a,-1,δι,False,False,False,,,False
20,phrase_line,b,0,0,και,False,False,False,,,False
21,phrase_line,b,p0,0,ου,False,False,True,,,False
22,phrase_line,G,a2,-2,ύ,True,False,False,,,False
23,phrase_line,a,o,1,δα,False,False,False,,,False
24,phrase_line,b,o,1,τι,False,False,True,,,False
25,phrase_line,c,oo,1,έ,True,False,False,,,False
26,phrase_line,b,a,-1,φλε,False,False,False,,,False
27,phrase_line,G,a2,-2,ξας,False,False,True,,,True
28,martyria,G,,,,,,,,,True
29,phrase_line,d,o4,4,ά,True,False,False,,,False
30,phrase_line,c,a,-1,πα,False,False,False,,,False
31,phrase_line,b,a,-1,ντα,False,False,True,,,False
32,phrase_line,G,a2,-2,γαρ,False,False,True,,,False
33,phrase_line,a,o,1,δρας,False,False,True,ap,,True
34,phrase_line,a,0,0,χρι,False,False,False,,,False
35,phrase_line,b,o,1,στέ,True,False,True,,,False
36,phrase_line,b,0,0,μό,True,False,False,,,False
37,phrase_line,c,oo,1,νω,False,False,True,,,False
38,phrase_line,b,a,-1,τω,False,False,True,,,False
39,phrase_line,G,a2,-2,βού,True,False,False,,,False
40,phrase_line,a,o,1,λε,False,False,False,,,False
41,phrase_line,b,o,1,σθαι,False,False,True,ap,,True
42,phrase_line,a,a,-1,σέ,True,False,True,,,False
43,phrase_line,a,0,0,υ,False,False,False,,,False
44,phrase_line,a,0,0,πε,False,False,False,,,False
45,phrase_line,b,o,1,ρυ,False,False,False,,,False
46,phrase_line,c,p,1,ψού,True,False,False,,,False
47,phrase_line,b,a,-1,μεν,False,False,True,ap,,True
48,phrase_line,G,a2,-2,εις,False,False,True,,,False
49,phrase_line,G,0,0,πά,True,False,False,,,False
50,phrase_line,G,0,0,ντας,False,False,True,,,False
51,phrase_line,a,o,1,τους,False,True,True,v,v,False
52,phrase_line,G,a,-1,-,False,True,True,v,,False
53,phrase_line,a,p,1,-,False,False,True,,,False
54,phrase_line,F,a2,-2,αι,False,False,False,,,False
55,phrase_line,a,p2,2,ώ,True,False,False,,,False
56,phrase_line,G,a,-1,νας,False,False,True,ap,,True
