,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,G,,,,,,,,,True
1,phrase_line,c,p3,3,ά,True,False,False,,,False
2,phrase_line,b,a,-1,βυσ,False,False,False,,,False
3,phrase_line,b,0,0,σος,False,False,True,ap,,True
4,phrase_line,b,0,0,ε,False,False,False,,,False
5,phrase_line,d,p2,2,σχά,True,False,False,,,False
6,phrase_line,c,a,-1,τη,False,False,True,,,False
7,phrase_line,b,a,-1,α,False,False,False,,,False
8,phrase_line,b,p0,0,μαρ,False,False,False,,,False
9,phrase_line,a,a,-1,τη,False,False,False,,,False
10,phrase_line,c,p2,2,μά,True,False,False,,,False
11,phrase_line,b,a,-1,των,False,False,True,,,True
12,phrase_line,b,0,0,ε,False,True,False,v,v,False
13,phrase_line,G,e,-2,-,False,False,False,v,,False
14,phrase_line,b,o2,2,κύ,True,True,False,,,False
15,phrase_line,c,oo,1,-,True,True,False,,,False
16,phrase_line,b,a,-1,-,True,True,False,,,False
17,phrase_line,a,a,-1,-,True,False,False,,,False
18,phrase_line,G,aa,-1,κλω,False,False,False,,,False
19,phrase_line,a,p,1,σέ,True,False,True,,,False
20,phrase_line,G,a,-1,με,False,False,True,ap,,True
21,martyria,G,,,,,,,,,True
22,phrase_line,G,0,0,και,False,False,True,,,False
23,phrase_line,G,0,0,τον,False,False,True,,,False
24,phrase_line,c,oo3,3,κλύ,True,False,False,,,False
25,phrase_line,b,a,-1,δω,False,False,False,,,False
26,phrase_line,a,a,-1,να,False,False,True,,,False
27,phrase_line,a,0,0,μη,False,False,False,,,False
28,phrase_line,a,p0,0,κέ,True,False,False,,,False
29,phrase_line,F,a2,-2,τι,False,False,True,,,False
30,phrase_line,a,oo2,2,φέ,True,True,False,,,False
31,phrase_line,G,a,-1,-,True,True,False,,,False
32,phrase_line,F,a,-1,-,True,False,False,,,False
33,phrase_line,E,aa,-1,ρων,False,False,True,,,True
34,phrase_line,D,a,-1,ως,False,False,True,,,False
35,phrase_line,G,o3,3,ι,False,False,False,,,False
36,phrase_line,a,o,1,ω,False,False,False,,,False
37,phrase_line,b,o,1,νάς,True,False,True,ap,,True
38,phrase_line,c,p,1,τω,False,False,True,,,False
39,phrase_line,b,a,-1,δε,False,False,False,,,False
40,phrase_line,a,a,-1,σπό,True,False,False,,,False
41,phrase_line,b,o,1,τη,False,True,True,,,False
42,phrase_line,c,oo,1,-,False,True,True,,,False
43,phrase_line,b,a,-1,-,False,True,True,,,False
44,phrase_line,a,a,-1,-,False,False,True,,,True
45,phrase_line,G,aa,-1,βο,False,False,False,,,False
46,phrase_line,c,p3,3,ώ,True,False,True,,,False
47,phrase_line,b,a,-1,σοι,False,False,True,ap,,True
48,phrase_line,a,a,-1,εκ,False,False,True,,,False
49,phrase_line,G,a,-1,φθο,False,False,False,,,False
50,phrase_line,a,o,1,ράς,True,True,True,v,v,False
51,phrase_line,G,a,-1,-,True,False,True,v,,False
52,phrase_line,a,o,1,με,False,False,True,,,False
53,phrase_line,b,o,1,α,False,False,False,,,False
54,phrase_line,c,oo,1,νά,True,False,False,,,False
55,phrase_line,b,a,-1,γα,False,False,False,,,False
56,phrase_line,G,a2,-2,γε,False,False,True,ap,,True
