,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,G,,,,,,,,,True
1,phrase_line,G,0,0,τω,False,False,True,,,False
2,phrase_line,G,0,0,θεί,True,False,False,,,False
3,phrase_line,G,0,0,ω,False,False,True,,,False
4,phrase_line,a,o,1,φέγ,True,False,False,,,False
5,phrase_line,a,0,0,γει,False,False,True,"g,is",,False
6,phrase_line,b,p,1,σου,False,False,True,l,l,False
7,phrase_line,G,a2,-2,α,False,False,False,l,,False
8,phrase_line,a,o,1,γα,False,False,False,,,False
9,phrase_line,b,o,1,θέ,True,False,True,ap,,True
10,phrase_line,b,0,0,τας,False,False,True,,,False
11,phrase_line,b,0,0,των,False,False,True,,,False
12,phrase_line,b,0,0,ορ,False,False,False,,,False
13,phrase_line,c,o,1,θρι,False,False,False,,,False
14,phrase_line,d,oo,1,ζό,True,False,False,"g,is,ps",,False
15,phrase_line,c,a,-1,ντων,False,False,True,,,False
16,phrase_line,b,aa,-1,σοι,False,False,True,klr,,False
17,phrase_line,b,0,0,ψυ,False,False,False,,,False
18,phrase_line,b,0,0,χάς,True,False,True,ap,,True
19,phrase_line,b,0,0,πό,True,False,False,,,False
20,phrase_line,b,p0,0,θω,False,False,True,,,False
21,phrase_line,a,a,-1,κα,False,False,False,,,False
22,phrase_line,b,p,1,ταύ,True,False,False,,,False
23,phrase_line,G,a2,-2,γα,False,False,False,,,False
24,phrase_line,a,o,1,σον,False,False,True,g,,False
25,phrase_line,"b,c",okk,"1,1",δέ,True,False,False,g,,False
26,phrase_line,c,p0,0,ο,False,True,False,l,l,False
27,phrase_line,b,a,-1,-,False,False,False,l,l,False
28,phrase_line,b,0,0,μαι,False,False,True,"ap,l",,True
29,phrase_line,c,oo,1,σε,False,False,True,psr,,False
30,phrase_line,b,a,-1,ει,False,False,False,,,False
31,phrase_line,a,a,-1,δέ,True,False,False,kl,,False
32,phrase_line,G,a,-1,ναι,False,False,True,,,False
33,phrase_line,"a,b",okk,"1,1",λό,True,False,False,g,,False
34,phrase_line,b,oo0,0,γε,False,False,True,psr,,False
35,phrase_line,a,a,-1,θε,False,False,False,,,False
36,phrase_line,G,aa,-1,ού,True,False,True,klr,,True
37,phrase_line,a,o,1,τον,False,False,True,,,False
38,phrase_line,b,p,1,ό,True,False,False,l,l,False
39,phrase_line,G,a2,-2,ντως,False,False,True,l,,False
40,phrase_line,a,o,1,θε,False,False,False,,,False
41,phrase_line,b,o,1,όν,True,False,True,ap,,True
42,phrase_line,b,0,0,εκ,False,False,True,,,False
43,phrase_line,c,oo,1,ζό,True,False,False,psr,,False
44,phrase_line,b,a,-1,φου,False,False,True,anr,anr,False
45,phrase_line,a,a,-1,των,False,False,True,"anr,klr",,False
46,phrase_line,G,a,-1,πται,False,False,False,"g,is",,False
47,phrase_line,a,o,1,σμά,True,False,False,,,False
48,phrase_line,a,p0,0,των,False,False,True,anr,anr,False
49,phrase_line,G,a,-1,α,False,False,False,anr,,False
50,phrase_line,a,o,1,να,False,False,False,,,False
51,phrase_line,b,o,1,κα,False,False,False,,,False
52,phrase_line,b,oo0,0,λού,True,False,False,psr,,False
53,phrase_line,a,a,-1,με,False,False,False,klr,,False
54,phrase_line,G,aa,-1,νον,False,False,True,ap,,True
