,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,G,,,,,,,,,True
1,phrase_line,G,0,0,ά,True,True,False,,,False
2,phrase_line,a,kk,1,-,True,False,False,g,,False
3,phrase_line,a,p0,0,βυσ,False,False,False,l,l,False
4,phrase_line,G,a,-1,σος,False,False,True,"ap,l",,True
5,phrase_line,G,0,0,ε,False,False,False,,,False
6,phrase_line,c,oo3,3,σχά,True,False,False,psr,,False
7,phrase_line,b,a,-1,τη,False,False,True,,,False
8,phrase_line,a,a,-1,α,False,False,False,"anr,klr",,False
9,phrase_line,G,a,-1,μαρ,False,False,False,,,False
10,phrase_line,G,0,0,τη,False,False,False,,,False
11,phrase_line,a,p,1,μά,True,False,False,,,False
12,phrase_line,G,a,-1,των,False,False,True,ap,,True
13,phrase_line,G,0,0,ε,False,False,False,,,False
14,phrase_line,a,o,1,κύ,True,True,False,"klr,l,v","klr,l,v",False
15,phrase_line,G,a,-1,-,True,True,False,"klr,l,v",l,False
16,phrase_line,a,p,1,-,True,False,False,l,,False
17,phrase_line,F,a2,-2,κλω,False,False,False,,,False
18,phrase_line,a,p2,2,σέ,True,False,True,"g,l",l,False
19,phrase_line,G,a,-1,με,False,False,True,"ap,l",,True
20,martyria,G,,,,,,,,,True
21,phrase_line,G,0,0,και,False,False,True,,,False
22,phrase_line,G,0,0,τον,False,False,True,,,False
23,phrase_line,c,oo3,3,κλύ,True,False,False,"g,is,psr",,False
24,phrase_line,b,a,-1,δω,False,False,False,,,False
25,phrase_line,a,a,-1,να,False,False,True,"anr,klr",,False
26,phrase_line,G,a,-1,μη,False,False,False,,,False
27,phrase_line,a,p,1,κέ,True,False,False,klr,,False
28,phrase_line,F,a2,-2,τι,False,False,True,xklr,xklr,False
29,phrase_line,a,oo2,2,φέ,True,True,False,"g,tr,xklr",xklr,False
30,phrase_line,G,a,-1,-,True,True,False,xklr,xklr,False
31,phrase_line,F,a,-1,-,True,False,False,,,False
32,phrase_line,E,aa,-1,ρων,False,False,True,,,True
33,phrase_line,D,a,-1,ως,False,False,True,,,False
34,phrase_line,G,o3,3,ι,False,False,False,,,False
35,phrase_line,G,0,0,ω,False,False,False,,,False
36,phrase_line,"a,b",okk,"1,1",νάς,True,False,True,g,,False
37,phrase_line,b,p0,0,τω,False,False,True,,,False
38,phrase_line,G,a2,-2,δε,False,False,False,,,False
39,phrase_line,c,p3,3,σπό,True,False,False,l,l,False
40,phrase_line,b,a,-1,τη,False,False,True,"ap,l",,True
41,phrase_line,b,0,0,βο,False,False,False,,,False
42,phrase_line,c,oo,1,ώ,True,False,True,psr,,False
43,phrase_line,b,a,-1,σοι,False,False,True,,,False
44,phrase_line,a,a,-1,εκ,False,False,True,kl,,False
45,phrase_line,F,a2,-2,φθο,False,True,False,,,False
46,phrase_line,G,kk,1,-,False,False,False,g,,False
47,phrase_line,a,o,1,ράς,True,True,True,"klr,v","klr,v",False
48,phrase_line,G,a,-1,-,True,False,True,"klr,v",,False
49,phrase_line,a,o,1,με,False,False,True,,,False
50,phrase_line,b,o,1,α,False,False,False,,,False
51,phrase_line,b,oo0,0,νά,True,False,False,psr,,False
52,phrase_line,a,a,-1,γα,False,False,False,klr,,False
53,phrase_line,G,aa,-1,γε,False,False,True,ap,,True
