,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,F,,,,,,,,,True
1,phrase_line,F,0,0,κα,False,False,False,,,False
2,phrase_line,F,0,0,τα,False,False,False,,,False
3,phrase_line,G,o,1,νο,False,False,False,,,False
4,phrase_line,a,o,1,ών,True,False,True,,,False
5,phrase_line,a,0,0,ο,False,False,True,,,False
6,phrase_line,a,0,0,προ,False,False,False,,,False
7,phrase_line,b,p,1,φή,True,False,False,,,False
8,phrase_line,G,a2,-2,της,False,False,True,ap,,True
9,phrase_line,G,0,0,την,False,False,True,,,False
10,phrase_line,G,p0,0,ε,False,False,False,,,False
11,phrase_line,F,a,-1,πε,False,False,False,,,False
12,phrase_line,G,o,1,σχά,True,False,False,,,False
13,phrase_line,b,p2,2,των,False,True,True,,,False
14,phrase_line,a,a,-1,-,False,False,True,,,False
15,phrase_line,a,0,0,σου,False,True,True,v,v,False
16,phrase_line,G,a,-1,-,False,False,True,v,,False
17,phrase_line,G,0,0,χρι,False,True,False,v,v,False
18,phrase_line,F,a,-1,-,False,False,False,v,,False
19,phrase_line,F,0,0,στέ,True,False,True,ap,,True
20,phrase_line,G,o,1,έ,True,True,False,v,v,False
21,phrase_line,"F,E",s,"-1,-1",-,True,True,False,v,,False
22,phrase_line,F,p,1,-,True,False,False,,,False
23,phrase_line,D,a2,-2,λευ,False,False,False,,,False
24,phrase_line,F,oo2,2,σιν,False,False,True,,,False
25,phrase_line,E,a,-1,α,False,False,False,,,False
26,phrase_line,C,a2,-2,νε,False,False,False,,,False
27,phrase_line,D,o,1,βό,True,True,False,dd,,False
28,phrase_line,"E,F",kkoo,"1,1",-,True,True,False,,,False
29,phrase_line,E,a,-1,-,True,False,False,,,False
30,phrase_line,F,o,1,α,False,False,True,dd,,True
31,phrase_line,F,0,0,την,False,False,True,,,False
32,phrase_line,a,o2,2,σήν,True,False,True,,,False
33,phrase_line,a,0,0,ει,False,False,True,,,False
34,phrase_line,a,0,0,σα,False,False,False,,,False
35,phrase_line,b,oo,1,κή,True,False,False,,,False
36,phrase_line,a,a,-1,κο,False,False,False,,,False
37,phrase_line,G,aa,-1,α,False,False,True,,,True
38,phrase_line,G,0,0,κύ,True,True,False,v,v,False
39,phrase_line,"F,E",s,"-1,-1",-,True,True,False,v,,False
40,phrase_line,F,p,1,-,True,False,False,,,False
41,phrase_line,D,a2,-2,ρι,False,False,False,,,False
42,phrase_line,F,oo2,2,ε,False,False,True,,,False
43,phrase_line,E,a,-1,δυ,False,False,False,,,False
44,phrase_line,C,a2,-2,να,False,False,False,,,False
45,phrase_line,D,o,1,στεί,True,True,False,dd,,False
46,phrase_line,"E,F",kkoo,"1,1",-,True,True,False,,,False
47,phrase_line,E,a,-1,-,True,False,False,,,False
48,phrase_line,F,o,1,αν,False,False,True,ap,,True
49,martyria,F,,,,,,,,,True
50,phrase_line,E,a,-1,ό,True,False,False,,,False
51,phrase_line,F,o,1,τι,False,False,True,,,False
52,phrase_line,G,o,1,πά,True,False,False,,,False
53,phrase_line,G,0,0,ντας,False,False,True,,,False
54,phrase_line,G,0,0,του,False,False,True,,,False
55,phrase_line,a,p,1,σώ,True,False,False,,,False
56,phrase_line,G,a,-1,σαι,False,False,True,ap,,True
57,phrase_line,E,a2,-2,τους,False,True,True,,,False
58,phrase_line,"F,G",kkoo,"1,1",-,False,False,True,,,False
59,phrase_line,a,p,1,χρι,False,False,False,,,False
60,phrase_line,G,a,-1,στους,False,True,True,,,False
61,phrase_line,F,a,-1,-,False,False,True,,,False
62,phrase_line,E,aa,-1,σου,False,False,True,,,False
63,phrase_line,D,a,-1,ε,False,False,False,,,False
64,phrase_line,a,p4,4,λή,True,False,False,,,False
65,phrase_line,F,e,-2,λυ,False,True,False,v,v,False
66,phrase_line,E,a,-1,-,False,False,False,v,,False
67,phrase_line,F,o,1,θας,False,False,True,ap,,True
