,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,F,,,,,,,,,True
1,phrase_line,F,0,0,βυ,False,False,False,,,False
2,phrase_line,a,p2,2,θώ,True,False,True,,,False
3,phrase_line,G,a,-1,α,False,False,False,,,False
4,phrase_line,G,p0,0,μαρ,False,False,False,,,False
5,phrase_line,F,a,-1,τη,False,True,False,v,v,False
6,phrase_line,E,a,-1,-,False,False,False,v,,False
7,phrase_line,F,o,1,μά,True,True,False,,,False
8,phrase_line,G,oo,1,-,True,True,False,,,False
9,phrase_line,F,a,-1,-,True,True,False,,,False
10,phrase_line,E,a,-1,-,True,False,False,,,False
11,phrase_line,D,a,-1,των,False,False,True,ap,,True
12,phrase_line,D,0,0,πε,False,False,False,,,False
13,phrase_line,E,o,1,ρι,False,False,False,,,False
14,phrase_line,F,o,1,πε,False,False,False,,,False
15,phrase_line,G,p,1,σών,True,False,True,,,False
16,phrase_line,E,a2,-2,α,False,False,False,,,False
17,phrase_line,F,o,1,γα,False,False,False,,,False
18,phrase_line,G,o,1,θέ,True,False,True,ap,,True
19,martyria,G,,,,,,,,,True
20,phrase_line,G,0,0,ως,False,False,True,,,False
21,phrase_line,G,0,0,ι,False,False,False,,,False
22,phrase_line,G,0,0,ω,False,False,False,,,False
23,phrase_line,a,p,1,νάς,True,False,True,,,False
24,phrase_line,G,a,-1,εκ,False,True,True,v,v,False
25,phrase_line,"F,E",s,"-1,-1",-,False,True,True,v,,False
26,phrase_line,F,p,1,-,False,False,True,,,False
27,phrase_line,D,a2,-2,του,False,False,True,,,False
28,phrase_line,F,oo2,2,κή,True,False,False,,,False
29,phrase_line,E,a,-1,τους,False,False,True,,,False
30,phrase_line,C,a2,-2,βο,False,False,False,,,False
31,phrase_line,D,o,1,ώ,True,True,True,dd,,False
32,phrase_line,"E,F",kkoo,"1,1",-,True,False,True,,,False
33,phrase_line,F,0,0,σοι,False,False,True,dd,,True
34,martyria,F,,,,,,,,,True
35,phrase_line,F,0,0,α,False,False,False,,,False
36,phrase_line,a,p2,2,νά,True,False,False,,,False
37,phrase_line,G,a,-1,γα,False,False,False,,,False
38,phrase_line,G,0,0,γε,False,False,True,,,False
39,phrase_line,G,0,0,εκ,False,True,True,v,v,False
40,phrase_line,"F,E",s,"-1,-1",-,False,True,True,v,,False
41,phrase_line,F,p,1,-,False,False,True,,,False
42,phrase_line,D,a2,-2,φθο,False,False,False,,,False
43,phrase_line,F,oo2,2,ράς,True,False,True,,,False
44,phrase_line,E,a,-1,την,False,False,True,,,False
45,phrase_line,C,a2,-2,ζω,False,False,False,,,False
46,phrase_line,D,o,1,ήν,True,True,True,dd,,False
47,phrase_line,"E,F",kkoo,"1,1",-,True,False,True,,,False
48,phrase_line,F,0,0,μου,False,False,True,dd,,True
49,phrase_line,G,o,1,και,False,False,True,,,False
50,phrase_line,G,p0,0,σώ,True,False,False,,,False
51,phrase_line,F,a,-1,σον,False,False,True,,,False
52,phrase_line,E,a,-1,με,False,False,True,,,False
53,phrase_line,D,a,-1,φι,False,False,False,,,False
54,phrase_line,a,p4,4,λάν,True,False,False,,,False
55,phrase_line,F,e,-2,θρω,False,True,False,v,v,False
56,phrase_line,E,a,-1,-,False,False,False,v,,False
57,phrase_line,F,o,1,πε,False,False,True,ap,,True
