,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,F,,,,,,,,,True
1,phrase_line,F,0,0,ο,False,False,True,,,False
2,phrase_line,F,0,0,κα,False,False,False,,,False
3,phrase_line,F,0,0,ταρ,False,False,False,,,False
4,phrase_line,a,p2,2,χάς,True,False,True,klr,,False
5,phrase_line,G,a,-1,τους,False,False,True,,,False
6,phrase_line,G,p0,0,ου,False,False,False,anr,,False
7,phrase_line,F,a,-1,ρα,False,True,False,v,v,False
8,phrase_line,E,a,-1,-,False,False,False,v,,False
9,phrase_line,F,o,1,νούς,True,True,True,"g,trr,xkl","trr,xkl",False
10,phrase_line,G,oo,1,-,True,True,True,"trr,xkl","trr,xkl",False
11,phrase_line,F,a,-1,-,True,True,True,"trr,xkl","trr,xkl",False
12,phrase_line,E,a,-1,-,True,False,True,"trr,xkl",,False
13,phrase_line,D,a,-1,πα,False,False,False,,,False
14,phrase_line,D,0,0,ντο,False,False,False,,,False
15,phrase_line,D,0,0,δυ,False,False,False,,,False
16,phrase_line,F,p2,2,νά,True,False,False,anr,anr,False
17,phrase_line,D,a2,-2,μω,False,False,True,anr,,False
18,phrase_line,C,a,-1,σου,False,False,True,,,False
19,phrase_line,D,o,1,λό,True,True,False,dd,,False
20,phrase_line,"E,F",kkoo,"1,1",-,True,False,False,"g,l",l,False
21,phrase_line,F,0,0,γω,False,False,True,"ap,l",,True
22,martyria,F,,,,,,,,,True
23,phrase_line,F,0,0,στε,False,False,False,,,False
24,phrase_line,F,0,0,ρε,False,False,False,,,False
25,phrase_line,a,o2,2,ώ,True,False,False,,,False
26,phrase_line,a,0,0,σας,False,False,True,g,,False
27,phrase_line,b,oo,1,κύ,True,False,False,psr,,False
28,phrase_line,a,a,-1,ρι,False,False,False,klr,klr,False
29,phrase_line,G,a,-1,ε,False,False,True,klr,,False
30,phrase_line,G,0,0,σω,False,False,False,,,False
31,phrase_line,G,0,0,τήρ,True,False,True,ap,,True
32,phrase_line,D,a3,-3,και,False,False,True,,,False
33,phrase_line,D,0,0,τω,False,False,True,,,False
34,phrase_line,E,o,1,παν,False,False,False,,,False
35,phrase_line,F,o,1,τουρ,False,False,False,,,False
36,phrase_line,G,o,1,γώ,True,False,True,,,False
37,phrase_line,G,0,0,και,False,False,True,,,False
38,phrase_line,a,p,1,θεί,True,False,False,anr,,False
39,phrase_line,G,a,-1,ω,False,False,True,,,False
40,phrase_line,a,oo,1,πνεύ,True,False,False,psr,,False
41,phrase_line,G,a,-1,μα,False,False,False,klr,klr,False
42,phrase_line,F,aa,-1,τι,False,False,True,klr,,True
43,phrase_line,a,o2,2,πά,True,False,False,,,False
44,phrase_line,a,0,0,σαν,False,False,True,,,False
45,phrase_line,a,0,0,την,False,False,True,,,False
46,phrase_line,b,oo,1,δύ,True,False,False,psr,,False
47,phrase_line,a,a,-1,να,False,False,False,,,False
48,phrase_line,G,aa,-1,μιν,False,False,True,,,True
49,phrase_line,G,0,0,αυ,False,False,False,,,False
50,phrase_line,G,0,0,τών,True,True,True,"klr,l,v","klr,l,v",False
51,phrase_line,"F,E",s,"-1,-1",-,True,True,True,"klr,l,v",l,False
52,phrase_line,F,p,1,-,True,False,True,l,,False
53,phrase_line,D,a2,-2,εν,False,False,True,,,False
54,phrase_line,D,0,0,α,False,False,False,,,False
55,phrase_line,D,0,0,σα,False,False,False,,,False
56,phrase_line,E,oo,1,λεύ,True,False,False,psr,,False
57,phrase_line,D,a,-1,τω,False,False,True,klr,klr,False
58,phrase_line,C,a,-1,με,False,False,True,klr,,False
59,phrase_line,D,o,1,πέ,True,True,False,dd,,False
60,phrase_line,"E,F",kkoo,"1,1",-,True,False,False,"g,l",,False
61,phrase_line,F,0,0,τρα,False,False,True,"ap,g,is",,True
62,martyria,F,,,,,,,,,True
63,phrase_line,G,o,1,της,False,False,True,,,False
64,phrase_line,G,p0,0,ο,False,False,False,l,l,False
65,phrase_line,E,a2,-2,μο,False,False,False,l,,False
66,phrase_line,G,o2,2,λο,False,False,False,,,False
67,phrase_line,G,oo0,0,γί,True,False,False,psr,,False
68,phrase_line,F,a,-1,ας,False,False,True,,,False
69,phrase_line,E,a,-1,σου,False,False,True,"anr,klr",,False
70,phrase_line,D,a,-1,στε,False,False,False,,,False
71,phrase_line,F,p2,2,ρέ,True,False,False,l,l,False
72,phrase_line,D,a2,-2,ω,False,True,False,l,,False
73,phrase_line,E,kk,1,-,False,False,False,g,,False
74,phrase_line,F,o,1,σον,False,False,True,ap,,True
