,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,F,,,,,,,,,True
1,phrase_line,F,0,0,α,False,False,False,,,False
2,phrase_line,a,o2,2,σπό,True,False,False,,,False
3,phrase_line,a,0,0,ρου,False,False,True,,,False
4,phrase_line,a,0,0,τό,True,False,False,,,False
5,phrase_line,a,0,0,κου,False,False,True,,,False
6,phrase_line,b,oo,1,σύλ,True,False,False,psr,,False
7,phrase_line,a,a,-1,λη,False,False,False,klr,klr,False
8,phrase_line,G,aa,-1,ψιν,False,False,True,klr,,True
9,phrase_line,F,a,-1,τις,False,False,False,anr,anr,False
10,phrase_line,E,a,-1,ερ,False,False,False,"anr,kl",,False
11,phrase_line,D,a,-1,μη,False,False,False,,,False
12,phrase_line,F,o2,2,νεύ,True,False,False,,,False
13,phrase_line,F,p0,0,σει,False,False,True,,,False
14,phrase_line,D,a2,-2,γη,False,False,False,,,False
15,phrase_line,E,o,1,γε,False,False,False,g,,False
16,phrase_line,F,o,1,νών,True,False,True,ap,,True
17,phrase_line,F,0,0,α,False,False,False,,,False
18,phrase_line,a,o2,2,φθό,True,False,False,"g,is",,False
19,phrase_line,a,0,0,ρου,False,False,True,,,False
20,phrase_line,a,0,0,τό,True,False,False,,,False
21,phrase_line,a,0,0,κου,False,False,True,,,False
22,phrase_line,b,oo,1,γέν,True,False,False,psr,,False
23,phrase_line,a,a,-1,νη,False,False,False,klr,,False
24,phrase_line,G,a,-1,σιν,False,False,True,anr,anr,True
25,phrase_line,F,a,-1,τις,False,False,True,"anr,klr",,False
26,phrase_line,E,a,-1,μη,False,False,True,,,False
27,phrase_line,D,a,-1,θαυ,False,False,False,,,False
28,phrase_line,F,p2,2,μά,True,False,False,klr,,False
29,phrase_line,D,a2,-2,σει,False,False,True,,,False
30,phrase_line,E,o,1,βρο,False,False,False,"g,is",,False
31,phrase_line,F,o,1,τών,True,False,True,ap,,True
32,phrase_line,F,0,0,δι,False,False,False,,,False
33,phrase_line,a,o2,2,ό,True,False,True,,,False
34,phrase_line,a,0,0,σε,False,False,True,,,False
35,phrase_line,a,0,0,αι,False,False,True,klr,,False
36,phrase_line,a,0,0,φυ,False,False,False,,,False
37,phrase_line,a,0,0,λαί,True,False,True,,,False
38,phrase_line,b,oo,1,πά,True,False,False,psr,,False
39,phrase_line,a,a,-1,σαι,False,False,True,klr,,False
40,phrase_line,G,a,-1,της,False,False,True,,,False
41,phrase_line,G,0,0,γης,False,False,True,ap,,True
42,phrase_line,E,a2,-2,θε,False,False,False,,,False
43,phrase_line,G,o2,2,ο,False,False,False,,,False
44,phrase_line,G,oo0,0,τό,True,False,False,psr,,False
45,phrase_line,F,a,-1,κε,False,False,True,,,False
46,phrase_line,E,a,-1,με,False,False,False,"anr,klr",,False
47,phrase_line,D,a,-1,γα,False,False,False,,,False
48,phrase_line,"E,F",kkoo,"1,1",λύ,True,False,False,z,,False
49,phrase_line,D,a2,-2,νο,False,True,False,,,False
50,phrase_line,E,kk,1,-,False,False,False,g,,False
51,phrase_line,F,o,1,μεν,False,False,True,ap,,True
