,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,c,,,,,,,,,True
1,phrase_line,d,o,1,ε,False,False,False,,,False
2,phrase_line,d,0,0,πτα,False,False,False,,,False
3,phrase_line,e,p,1,πλα,False,False,False,,,False
4,phrase_line,d,ooa,-1,σί,True,False,False,,,False
5,phrase_line,c,a,-1,ως,False,False,True,,,False
6,phrase_line,b,a,-1,κά,True,False,False,,,False
7,phrase_line,a,a,-1,μι,False,False,False,,,False
8,phrase_line,G,aa,-1,νον,False,False,True,,,True
9,phrase_line,b,o2,2,των,False,False,True,,,False
10,phrase_line,c,o,1,χαλ,False,False,False,,,False
11,phrase_line,d,p,1,δαί,True,False,False,,,False
12,phrase_line,c,a,-1,ων,False,False,True,,,False
13,phrase_line,"d,e",okk,"1,1",ο,False,False,True,,,False
14,phrase_line,e,p0,0,τύ,True,True,False,,,False
15,phrase_line,d,a,-1,-,True,False,False,,,False
16,phrase_line,d,0,0,ραν,False,True,False,v,v,False
17,phrase_line,c,a,-1,-,False,False,False,v,,False
18,phrase_line,c,0,0,νος,False,False,True,ap,,True
19,phrase_line,c,p0,0,τοις,False,False,True,,,False
20,phrase_line,b,a,-1,θε,False,False,False,,,False
21,phrase_line,c,o,1,ο,False,False,False,,,False
22,phrase_line,d,o,1,σε,False,False,False,,,False
23,phrase_line,"e,f",ookk,"1,1",βέ,True,False,False,,,False
24,phrase_line,e,a,-1,σιν,False,False,True,ap,,True
25,phrase_line,d,a,-1,εμ,False,False,False,,,False
26,phrase_line,f,p2,2,μα,False,False,False,,,False
27,phrase_line,e,a,-1,νώς,True,False,True,,,False
28,phrase_line,c,a2,-2,ε,False,False,False,,,False
29,phrase_line,d,p,1,ξέ,True,False,False,,,False
30,phrase_line,c,a,-1,καυ,False,True,False,v,v,False
31,phrase_line,b,a,-1,-,False,False,False,v,,False
32,phrase_line,c,o,1,σε,False,False,True,ap,,True
33,phrase_line,c,0,0,δυ,False,False,False,,,False
34,phrase_line,g,o4,4,νά,True,False,False,,,False
35,phrase_line,g,p0,0,μει,False,False,True,,,False
36,phrase_line,e,a2,-2,δε,False,False,True,,,False
37,phrase_line,f,oo,1,κρείτ,True,False,False,,,False
38,phrase_line,e,a,-1,το,False,False,False,,,False
39,phrase_line,d,a,-1,νι,False,False,True,ap,,True
40,phrase_line,a,a3,-3,πε,False,False,False,,,False
41,phrase_line,b,o,1,ρι,False,False,False,,,False
42,phrase_line,c,o,1,σω,False,False,False,,,False
43,phrase_line,d,p,1,θέ,True,False,False,,,False
44,phrase_line,c,a,-1,ντας,False,False,True,,,False
45,phrase_line,"d,e",okk,"1,1",τού,True,False,False,,,False
46,phrase_line,e,p0,0,τους,False,True,True,,,False
47,phrase_line,d,a,-1,-,False,False,True,,,False
48,phrase_line,d,0,0,ι,False,True,False,v,v,False
49,phrase_line,c,a,-1,-,False,False,False,v,,False
50,phrase_line,c,0,0,δών,True,False,True,ap,,True
51,martyria,c,,,,,,,,,True
52,phrase_line,c,p0,0,τον,False,False,True,,,False
53,phrase_line,a,a2,-2,δη,False,False,False,,,False
54,phrase_line,b,o,1,μι,False,False,False,,,False
55,phrase_line,c,o,1,ουρ,False,False,False,,,False
56,phrase_line,d,o,1,γόν,True,False,True,ap,,True
57,phrase_line,a,a3,-3,και,False,False,True,,,False
58,phrase_line,b,o,1,λυ,False,False,False,,,False
59,phrase_line,c,o,1,τρω,False,False,False,,,False
60,phrase_line,d,o,1,τήν,True,False,True,ap,,True
61,phrase_line,d,p0,0,α,False,False,False,,,False
62,phrase_line,c,a,-1,νε,False,False,False,,,False
63,phrase_line,c,p0,0,βό,True,True,False,,,False
64,phrase_line,d,kk,1,-,True,False,False,,,False
65,phrase_line,c,a,-1,α,False,False,True,ap,,True
66,phrase_line,c,0,0,οι,False,False,True,,,False
67,phrase_line,c,p0,0,παί,True,False,False,,,False
68,phrase_line,a,a2,-2,δες,False,False,True,,,False
69,phrase_line,b,o,1,ευ,False,False,False,,,False
70,phrase_line,c,o,1,λο,False,False,False,,,False
71,phrase_line,d,p,1,γεί,True,False,False,,,False
72,phrase_line,c,a,-1,τε,False,False,True,ap,,True
73,phrase_line,b,a,-1,ι,False,False,False,,,False
74,phrase_line,c,o,1,ε,False,False,True,,,False
75,phrase_line,d,o,1,ρείς,True,False,False,,,False
76,phrase_line,d,0,0,α,False,False,False,,,False
77,phrase_line,d,0,0,νυ,False,False,False,,,False
78,phrase_line,e,p,1,μνεί,True,False,False,,,False
79,phrase_line,c,a2,-2,τε,False,False,True,ap,,True
80,martyria,c,,,,,,,,,True
81,phrase_line,c,0,0,λα,False,False,False,,,False
82,phrase_line,f,p3,3,ός,True,False,False,,,False
83,phrase_line,d,a2,-2,υ,False,False,False,,,False
84,phrase_line,e,o,1,πε,False,False,False,,,False
85,phrase_line,f,o,1,ρυ,False,False,False,,,False
86,phrase_line,"g,a'",ookk,"1,1",ψού,True,False,False,,,False
87,phrase_line,g,a,-1,τε,False,False,True,ap,,True
88,phrase_line,f,a,-1,εις,False,False,True,,,False
89,phrase_line,e,a,-1,πά,True,False,False,,,False
90,phrase_line,d,a,-1,ντας,False,False,True,,,False
91,phrase_line,e,p,1,τους,False,False,True,,,False
92,phrase_line,c,a2,-2,αι,False,False,False,,,False
93,phrase_line,d,p,1,ώ,True,False,False,,,False
94,phrase_line,c,a,-1,νας,False,False,True,ap,,True
