,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,G,,,,,,,,,True
1,phrase_line,c,o3,3,ευ,False,False,False,kr,,False
2,phrase_line,b,a,-1,λο,False,False,False,,,False
3,phrase_line,c,o,1,γεί,True,True,False,v,v,False
4,phrase_line,b,a,-1,-,True,True,False,v,,False
5,phrase_line,c,p,1,-,True,False,False,,,False
6,phrase_line,a,a2,-2,τε,False,False,True,,,False
7,phrase_line,c,oo2,2,παί,True,True,False,,,False
8,phrase_line,b,a,-1,-,True,True,False,,,False
9,phrase_line,a,a,-1,-,True,False,False,,,False
10,phrase_line,G,aa,-1,δες,False,False,True,,,True
11,phrase_line,b,o2,2,τής,True,False,True,,,False
12,phrase_line,c,o,1,τρι,False,False,False,,,False
13,phrase_line,d,o,1,ά,True,True,False,dd,,False
14,phrase_line,f,p2,2,-,True,False,False,,,False
15,phrase_line,e,a,-1,δος,False,False,True,,,False
16,phrase_line,d,a,-1,ι,False,True,False,v,v,False
17,phrase_line,c,a,-1,-,False,False,False,v,,False
18,phrase_line,d,oo,1,σά,True,False,False,,,False
19,phrase_line,c,a,-1,ριθ,False,False,False,,,False
20,phrase_line,b,aa,-1,μοι,False,False,True,,,True
21,phrase_line,G,a2,-2,δη,False,False,False,,,False
22,phrase_line,b,o2,2,μι,False,False,False,,,False
23,phrase_line,c,o,1,ουρ,False,False,False,,,False
24,phrase_line,d,p,1,γόν,True,False,True,,,True
25,phrase_line,b,a2,-2,πα,False,False,False,,,False
26,phrase_line,b,0,0,τέ,True,True,False,,,False
27,phrase_line,c,oo,1,-,True,True,False,,,False
28,phrase_line,b,a,-1,-,True,True,False,,,False
29,phrase_line,a,a,-1,-,True,False,False,,,False
30,phrase_line,G,aa,-1,ρα,False,True,True,,,False
31,phrase_line,"a,b",kkoo,"1,1",-,False,False,True,,,False
32,phrase_line,c,o,1,θε,False,False,False,,,False
33,phrase_line,d,p,1,όν,True,False,True,,,False
34,phrase_line,c,a,-1,υ,False,True,False,v,v,False
35,phrase_line,b,a,-1,-,False,False,False,v,,False
36,phrase_line,b,0,0,μνεί,True,True,False,v,v,False
37,phrase_line,a,a,-1,-,True,True,False,v,,False
38,phrase_line,a,p0,0,-,True,True,False,,,False
39,phrase_line,G,a,-1,-,True,False,False,,,False
40,phrase_line,G,0,0,τε,False,False,True,ap,,True
41,phrase_line,G,0,0,τον,False,False,True,,,False
42,phrase_line,G,0,0,συ,False,False,False,,,False
43,phrase_line,b,o2,2,γκα,False,False,False,,,False
44,phrase_line,c,o,1,τα,False,False,False,,,False
45,phrase_line,d,o,1,βά,True,True,False,ap,,False
46,phrase_line,f,p2,2,-,True,False,False,,,False
47,phrase_line,e,a,-1,ντα,False,False,True,ap,,False
48,phrase_line,f,o,1,λό,True,True,False,,,False
49,phrase_line,g,oo,1,-,True,True,False,,,False
50,phrase_line,f,a,-1,-,True,True,False,,,False
51,phrase_line,e,a,-1,-,True,False,False,,,False
52,phrase_line,d,aa,-1,γον,False,False,True,,,True
53,phrase_line,b,a2,-2,και,False,False,True,,,False
54,phrase_line,c,o,1,το,False,False,True,,,False
55,phrase_line,d,o,1,πύρ,True,False,True,,,False
56,phrase_line,d,0,0,εις,False,False,True,,,False
57,phrase_line,e,o,1,δρό,True,False,False,,,False
58,phrase_line,e,p0,0,σον,False,False,True,,,False
59,phrase_line,d,a,-1,με,False,False,False,,,False
60,phrase_line,e,o,1,τα,False,False,False,,,False
61,phrase_line,f,o,1,ποι,False,False,False,,,False
62,phrase_line,g,p,1,ή,True,True,False,,,False
63,phrase_line,f,a,-1,-,True,False,False,,,False
64,phrase_line,f,0,0,σα,False,True,False,v,,False
65,phrase_line,e,a,-1,-,False,True,False,v,,False
66,phrase_line,e,p0,0,-,False,True,False,,,False
67,phrase_line,d,a,-1,-,False,False,False,,,False
68,phrase_line,d,0,0,ντα,False,False,True,ap,,True
69,phrase_line,a,pa3,-3,και,False,False,True,,,False
70,phrase_line,G,a,-1,υ,False,False,False,,,False
71,phrase_line,b,o2,2,πε,False,False,False,,,False
