,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,c,,,,,,,,,True
1,phrase_line,c,0,0,ε,False,False,False,,,False
2,phrase_line,c,0,0,ξέ,True,True,False,om,om,False
3,phrase_line,d,oo,1,-,True,True,False,om,om,False
4,phrase_line,c,a,-1,-,True,True,False,om,om,False
5,phrase_line,b,a,-1,-,True,False,False,om,,False
6,phrase_line,a,a,-1,στη,False,False,True,,,False
7,phrase_line,b,o,1,ε,False,False,False,,,False
8,phrase_line,c,o,1,πι,False,False,True,,,False
9,phrase_line,d,p,1,τού,True,False,False,,,False
10,phrase_line,c,a,-1,τω,False,False,True,,,False
11,phrase_line,d,p,1,ο,False,False,True,,,False
12,phrase_line,c,a,-1,ου,False,False,False,kl,,False
13,phrase_line,b,a,-1,ρα,False,False,False,,,False
14,phrase_line,c,o,1,νός,True,True,True,dd,,False
15,phrase_line,d,p,1,-,True,False,True,,,True
16,phrase_line,b,a2,-2,και,False,False,True,,,False
17,phrase_line,c,o,1,της,False,False,True,,,False
18,phrase_line,d,o,1,γής,True,False,True,,,False
19,phrase_line,d,0,0,κα,False,False,False,,,False
20,phrase_line,d,0,0,τε,False,False,False,,,False
21,phrase_line,"e,f",ookk,"1,1",πλά,True,False,False,,,False
22,phrase_line,e,a,-1,γη,False,False,True,,,False
23,phrase_line,d,a,-1,τα,False,False,True,,,False
24,phrase_line,d,oo0,0,πέ,True,False,False,,,False
25,phrase_line,c,a,-1,ρα,False,False,False,,,False
26,phrase_line,b,a,-1,τα,False,False,True,,,True
27,phrase_line,c,p,1,ό,True,False,False,,,False
28,phrase_line,b,a,-1,τι,False,False,True,kl,,False
29,phrase_line,a,a,-1,θε,False,False,False,,,False
30,phrase_line,b,o,1,ός,True,True,True,dd,,False
31,phrase_line,c,oo,1,-,True,False,True,,,True
32,phrase_line,d,oo,1,ώ,True,False,False,,,False
33,phrase_line,c,a,-1,φθη,False,False,True,,,False
34,phrase_line,b,a,-1,τοις,False,False,True,kl,,False
35,phrase_line,a,a,-1,αν,False,False,False,,,False
36,phrase_line,b,o,1,θρώ,True,True,False,dd,,False
37,phrase_line,d,p2,2,-,True,False,False,,,False
38,phrase_line,b,a2,-2,ποις,False,False,True,,,False
39,phrase_line,a,a,-1,σω,False,False,False,kl,,False
40,phrase_line,G,a,-1,μα,False,False,False,,,False
41,phrase_line,a,o,1,τι,False,False,False,,,False
42,phrase_line,b,o,1,κώς,True,False,True,ap,,True
43,phrase_line,d,o2,2,και,False,False,True,,,False
44,phrase_line,d,0,0,η,False,False,True,,,False
45,phrase_line,"e,f",ookk,"1,1",γα,False,False,False,,,False
46,phrase_line,e,a,-1,στήρ,True,False,True,,,False
47,phrase_line,d,a,-1,σου,False,False,True,,,False
48,phrase_line,d,oo0,0,γέ,True,False,False,,,False
49,phrase_line,c,a,-1,γο,False,False,False,,,False
50,phrase_line,b,aa,-1,νεν,False,False,True,,,True
51,phrase_line,d,oo2,2,ευ,False,False,False,,,False
52,phrase_line,c,a,-1,ρυ,False,False,False,,,False
53,phrase_line,b,a,-1,χω,False,False,False,kl,,False
54,phrase_line,a,a,-1,ρο,False,False,False,,,False
55,phrase_line,b,o,1,τέ,True,True,False,dd,,False
56,phrase_line,d,p2,2,-,True,False,False,,,False
57,phrase_line,b,a2,-2,ρα,False,False,True,,,False
58,phrase_line,a,a,-1,των,False,False,True,kl,,False
59,phrase_line,G,a,-1,ου,False,False,False,,,False
60,phrase_line,a,o,1,ρα,False,False,False,,,False
61,phrase_line,b,o,1,νών,True,False,True,ap,,True
62,phrase_line,d,o2,2,δι,False,False,False,,,False
63,phrase_line,d,oo0,0,ό,True,False,True,,,False
64,phrase_line,c,a,-1,σε,False,False,True,,,False
65,phrase_line,b,a,-1,θε,False,True,False,v,v,False
66,phrase_line,c,kk,1,-,False,True,False,v,v,False
67,phrase_line,b,a,-1,-,False,True,False,v,v,False
68,phrase_line,a,a,-1,-,False,False,False,v,,False
69,phrase_line,"b,c",okk,"1,1",ο,False,False,False,,,False
70,phrase_line,d,p,1,τό,True,False,False,,,False
71,phrase_line,c,a,-1,κε,False,False,True,,,True
72,phrase_line,c,0,0,αγ,False,True,False,,,False
73,phrase_line,d,kk,1,-,False,False,False,,,False
74,phrase_line,e,o,1,γέ,True,False,False,kr,,False
75,phrase_line,c,e,-2,λων,False,True,True,dd,,False
76,phrase_line,"d,e",ookk,"1,1",-,False,False,True,,,False
77,phrase_line,d,a,-1,και,False,False,True,,,False
78,phrase_line,c,a,-1,αν,False,False,False,kl,,False
79,phrase_line,b,aa,-1,θρώ,True,False,False,,,False
80,phrase_line,b,0,0,πων,False,False,True,,,True
81,phrase_line,b,0,0,τα,False,False,False,,,False
82,phrase_line,b,0,0,ξι,False,False,False,,,False
83,phrase_line,b,0,0,αρ,False,False,False,,,False
84,phrase_line,b,0,0,χί,True,True,False,om,om,False
85,phrase_line,c,oo,1,-,True,True,False,om,om,False
86,phrase_line,b,a,-1,-,True,True,False,om,om,False
87,phrase_line,a,a,-1,-,True,False,False,om,,False
88,phrase_line,G,aa,-1,αι,False,True,True,,,False
89,phrase_line,"a,b",kkoo,"1,1",-,False,False,True,,,False
90,phrase_line,b,0,0,με,False,False,False,,,False
91,phrase_line,c,o,1,γα,False,False,False,,,False
92,phrase_line,d,p,1,λύ,True,False,False,,,False
93,phrase_line,a,a3,-3,νου,False,False,False,,,False
94,phrase_line,b,o,1,σιν,False,False,True,ap,,True
