,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,a,,,,,,,,,True
1,phrase_line,"b,c",pkk,"1,1",χαί,True,False,False,,,False
2,phrase_line,G,a3,-3,ροις,False,False,True,,,False
3,phrase_line,a,p,1,πά,True,False,False,,,False
4,phrase_line,G,a,-1,να,False,False,False,,,False
5,phrase_line,G,0,0,γνε,False,False,True,,,True
6,phrase_line,c,o3,3,θε,False,False,False,,,False
7,phrase_line,c,0,0,ο,False,False,False,,,False
8,phrase_line,c,oo0,0,δέγ,True,False,False,kl,,False
9,phrase_line,G,a3,-3,μων,False,True,True,,,False
10,phrase_line,a,kk,1,-,False,False,True,,,False
11,phrase_line,c,k,2,μα,False,True,False,v,v,False
12,phrase_line,b,a,-1,-,False,False,False,v,,False
13,phrase_line,a,aa,-1,ρί,True,False,False,,,False
14,phrase_line,a,0,0,α,False,False,True,dd,,True
15,phrase_line,"b,c",pkk,"1,1",χαί,True,False,False,,,False
16,phrase_line,G,a3,-3,ροις,False,False,True,,,False
17,phrase_line,a,p,1,δέ,True,False,False,,,False
18,phrase_line,G,a,-1,σποι,False,False,False,,,False
19,phrase_line,G,0,0,να,False,False,True,,,True
20,phrase_line,G,0,0,των,False,False,True,,,False
21,phrase_line,G,0,0,πε,False,False,False,,,False
22,phrase_line,a,o,1,πτω,False,False,False,,,False
23,phrase_line,c,oo2,2,κό,True,False,False,,,False
24,phrase_line,b,a,-1,των,False,False,True,,,False
25,phrase_line,a,aa,-1,βά,True,False,False,,,False
26,phrase_line,a,0,0,σις,False,False,True,,,True
27,martyria,a,,,,,,,,,True
28,phrase_line,a,0,0,εν,False,False,True,,,False
29,phrase_line,a,0,0,σοι,False,False,True,,,False
30,phrase_line,a,0,0,γαρ,False,False,True,,,False
31,phrase_line,c,o2,2,ώ,True,True,False,kr,,False
32,phrase_line,b,a,-1,-,True,True,False,,,False
33,phrase_line,a,a,-1,-,True,True,False,kl,,False
34,phrase_line,G,aa,-1,-,True,False,False,,,False
35,phrase_line,G,0,0,φθη,False,True,True,dd,,False
36,phrase_line,a,o,1,-,False,True,True,dd,,False
37,phrase_line,c,oo2,2,-,False,True,True,,,False
38,phrase_line,b,a,-1,-,False,True,True,,,False
39,phrase_line,a,aa,-1,-,False,False,True,,,True
40,phrase_line,a,oo0,0,σή,True,False,False,kl,,False
41,phrase_line,E,a3,-3,με,False,True,False,,,False
42,phrase_line,F,kk,1,-,False,False,False,,,False
43,phrase_line,G,o,1,ρον,False,True,True,dd,,False
44,phrase_line,a,oo,1,-,False,False,True,,,False
45,phrase_line,c,oo2,2,ο,False,False,True,,,False
46,phrase_line,b,a,-1,δε,False,False,False,,,False
47,phrase_line,a,aa,-1,σπό,True,False,False,,,False
48,phrase_line,a,0,0,της,False,False,True,,,True
49,martyria,a,,,,,,,,,True
50,phrase_line,a,0,0,ω,False,False,True,,,False
51,phrase_line,c,o2,2,θαύ,True,True,False,kr,,False
52,phrase_line,b,a,-1,-,True,True,False,,,False
53,phrase_line,a,a,-1,-,True,True,False,kl,,False
54,phrase_line,G,aa,-1,-,True,False,False,,,False
55,phrase_line,G,0,0,μα,False,True,True,dd,,False
56,phrase_line,a,o,1,-,False,True,True,dd,,False
57,phrase_line,c,oo2,2,-,False,True,True,,,False
58,phrase_line,b,a,-1,-,False,True,True,,,False
59,phrase_line,a,aa,-1,-,False,False,True,,,True
60,phrase_line,G,a,-1,και,False,False,False,kl,,False
61,phrase_line,E,a2,-2,νουρ,False,True,False,,,False
62,phrase_line,F,kk,1,-,False,False,False,,,False
63,phrase_line,G,o,1,γών,True,True,True,dd,,False
64,phrase_line,a,oo,1,-,True,False,True,,,False
65,phrase_line,c,oo2,2,τους,False,False,True,,,False
66,phrase_line,b,a,-1,φθα,False,False,False,,,False
67,phrase_line,a,aa,-1,ρέ,True,False,False,,,False
68,phrase_line,a,0,0,ντας,False,True,True,xkl,xkl,False
69,phrase_line,G,a,-1,-,False,False,True,"kl,xkl",,True
70,phrase_line,E,a2,-2,και,False,False,True,,,False
71,phrase_line,F,o,1,προς,False,False,True,,,False
72,phrase_line,a,o2,2,φως,False,False,True,kr,,False
73,phrase_line,G,a,-1,ε,False,False,False,kl,,False
74,phrase_line,E,a2,-2,πα,False,True,False,,,False
75,phrase_line,F,kk,1,-,False,False,False,,,False
76,phrase_line,G,o,1,νά,True,True,False,dd,,False
77,phrase_line,a,p,1,-,True,False,False,,,False
78,phrase_line,G,a,-1,γων,False,False,True,,,True
79,phrase_line,c,o3,3,το,False,False,True,,,False
80,phrase_line,c,0,0,α,False,False,False,,,False
81,phrase_line,c,oo0,0,νέ,True,False,False,kl,,False
82,phrase_line,G,a3,-3,σπε,False,True,False,,,False
83,phrase_line,a,kk,1,-,False,False,False,,,False
84,phrase_line,c,k,2,ρον,False,True,True,v,v,False
85,phrase_line,b,a,-1,-,False,False,True,v,,False
86,phrase_line,a,aa,-1,κό,True,False,False,,,False
87,phrase_line,a,0,0,ρη,False,False,True,,,True
