,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,a,,,,,,,,,True
1,phrase_line,a,0,0,νε,False,False,False,,,False
2,phrase_line,a,p0,0,ουρ,False,False,False,,,False
3,phrase_line,D,a4,-4,γέ,True,True,True,,,False
4,phrase_line,a,o4,4,-,True,True,True,dd,,False
5,phrase_line,c,oo2,2,-,True,True,True,ues,ues,False
6,phrase_line,b,a,-1,-,True,True,True,ues,ues,False
7,phrase_line,a,aa,-1,-,True,False,True,ues,,True
8,phrase_line,a,0,0,του,False,False,True,,,False
9,phrase_line,a,p0,0,σύ,True,False,False,psr,,False
10,phrase_line,G,a,-1,μπα,False,False,False,kl,,False
11,phrase_line,E,a2,-2,ντος,False,True,True,,,False
12,phrase_line,F,kk,1,-,False,False,True,g,,False
13,phrase_line,G,o,1,κό,True,True,False,dd,,False
14,phrase_line,a,oo,1,-,True,False,False,,,False
15,phrase_line,c,oo2,2,σμου,False,False,True,psr,,False
16,phrase_line,b,a,-1,και,False,False,True,,,False
17,phrase_line,a,a,-1,σώ,True,False,False,,,False
18,phrase_line,a,0,0,στα,False,True,True,"kl,xkl",xkl,False
19,phrase_line,G,a,-1,-,False,True,True,xkl,xkl,False
20,phrase_line,a,oo,1,-,False,False,True,xkl,,True
21,phrase_line,E,a3,-3,υ,False,True,False,,,False
22,phrase_line,F,kk,1,-,False,False,False,,,False
23,phrase_line,a,o2,2,μνεί,True,True,True,"kr,v",v,False
24,phrase_line,G,a,-1,-,True,False,True,"anr,v",anr,False
25,phrase_line,a,p,1,σε,False,False,True,anr,,False
26,phrase_line,E,a3,-3,πά,True,True,False,xkl,xkl,False
27,phrase_line,F,kk,1,-,True,False,False,xkl,xkl,False
28,phrase_line,F,0,0,σα,False,False,True,"kl,xkl",xkl,False
29,phrase_line,C,a3,-3,με,False,False,False,xkl,,False
30,phrase_line,D,o,1,ταγ,False,False,False,,,False
31,phrase_line,E,o,1,γέ,True,True,False,"dd,g,is",,False
32,phrase_line,"F,G",kkoo,"1,1",-,True,False,False,,,False
33,phrase_line,a,p,1,λων,False,False,True,psr,,False
34,phrase_line,F,e,-2,η,False,True,True,"kr,v",,False
35,phrase_line,E,a,-1,-,False,False,True,"kr,para_,v",,False
36,phrase_line,D,aa,-1,κτί,True,False,False,,,False
37,phrase_line,D,0,0,σις,False,False,True,dd,,True
38,martyria,D,,,,,,,,,True
39,phrase_line,a,o4,4,σκιρ,False,False,False,is,,False
40,phrase_line,a,0,0,τά,True,False,True,,,False
41,phrase_line,a,0,0,χο,False,False,False,,,False
42,phrase_line,c,o2,2,ρεύ,True,True,False,"kr,ou",ou,False
43,phrase_line,b,a,-1,-,True,True,False,ou,ou,False
44,phrase_line,a,a,-1,-,True,True,False,"kr,ou",ou,False
45,phrase_line,G,aa,-1,-,True,False,False,ou,,False
46,phrase_line,G,0,0,ει,False,True,True,dd,,False
47,phrase_line,a,o,1,-,False,True,True,dd,,False
48,phrase_line,c,oo2,2,-,False,True,True,ues,ues,False
49,phrase_line,b,a,-1,-,False,True,True,ues,ues,False
50,phrase_line,a,aa,-1,-,False,False,True,ues,,True
51,phrase_line,a,0,0,και,False,False,True,,,False
52,phrase_line,a,0,0,α,False,False,False,,,False
53,phrase_line,d,o3,3,γάλ,True,False,False,,,False
54,phrase_line,d,p0,0,λε,False,False,False,anr,,False
55,phrase_line,b,a2,-2,ται,False,False,True,,,False
56,phrase_line,c,o,1,τρό,True,True,False,"is,kl,para_,v","kl,para_,v",False
57,phrase_line,b,a,-1,-,True,False,False,"kl,para_,v",para_,False
58,phrase_line,a,aa,-1,μω,False,True,True,para_,,False
59,phrase_line,"b,c",ookk,"1,1",-,False,True,True,,,False
60,phrase_line,b,a,-1,-,False,True,True,vr,,False
61,phrase_line,c,o,1,-,False,False,True,dd,,True
62,phrase_line,a,e,-2,ευ,False,True,False,"v,vv","v,vv",False
63,phrase_line,b,kk,1,-,False,False,False,"v,vv",vv,False
64,phrase_line,G,a2,-2,λο,False,False,False,vv,,False
65,phrase_line,c,o3,3,γεί,True,False,False,,,False
66,phrase_line,c,0,0,τε,False,True,True,,,False
67,phrase_line,d,kk,1,-,False,False,True,,,False
68,phrase_line,e,p,1,λέ,True,False,False,psr,,False
69,phrase_line,c,e,-2,γου,False,True,False,"kl,v","kl,v",False
70,phrase_line,b,a,-1,-,False,False,False,"kl,v",,False
71,phrase_line,a,aa,-1,σα,False,False,True,,,True
72,phrase_line,a,p0,0,πά,True,False,False,,,False
73,phrase_line,G,a,-1,ντα,False,False,True,,,False
74,phrase_line,a,o,1,τα,False,True,True,"kl,v","kl,v",False
75,phrase_line,G,a,-1,-,False,False,True,"kl,v",,False
76,phrase_line,F,aa,-1,έρ,True,False,False,,,False
77,phrase_line,F,0,0,γα,False,True,True,,,False
78,phrase_line,G,oo,1,-,False,False,True,"kl,para_,vv","para_,vv",True
