,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,a,,,,,,,,,True
1,phrase_line,a,0,0,ε,False,False,False,,,False
2,phrase_line,a,0,0,πί,True,False,True,,,False
3,phrase_line,b,o,1,της,False,False,True,,,False
4,phrase_line,c,p,1,θεί,True,False,False,,,False
5,phrase_line,c,oo0,0,ας,False,True,True,,,False
6,phrase_line,"b,a",s,"-1,-1",-,False,True,True,,,False
7,phrase_line,G,a,-1,-,False,False,True,,,False
8,phrase_line,b,o2,2,φυ,False,False,False,,,False
9,phrase_line,c,o,1,λα,False,False,False,,,False
10,phrase_line,d,o,1,κής,True,False,True,ap,,True
11,phrase_line,d,0,0,ο,False,True,True,v,v,False
12,phrase_line,"c,b",s,"-1,-1",-,False,False,True,v,,False
13,phrase_line,c,o,1,θε,False,False,False,,,False
14,phrase_line,d,o,1,η,False,False,False,,,False
15,phrase_line,e,o,1,γό,True,False,False,,,False
16,phrase_line,g,p2,2,ρος,False,True,True,,,False
17,phrase_line,f,a,-1,-,False,False,True,,,False
18,phrase_line,f,0,0,αβ,False,True,False,v,v,False
19,phrase_line,e,a,-1,-,False,False,False,v,,False
20,phrase_line,e,0,0,βα,False,True,False,v,v,False
21,phrase_line,d,a,-1,-,False,False,False,v,,False
22,phrase_line,d,0,0,κούμ,True,False,True,ap,,True
23,phrase_line,g,p3,3,στή,True,False,False,,,False
24,phrase_line,f,a,-1,τω,False,False,True,,,False
25,phrase_line,d,a2,-2,με,False,False,False,,,False
26,phrase_line,c,pa,-1,θη,False,False,False,,,False
27,phrase_line,a,a2,-2,μών,True,False,True,,,False
28,phrase_line,c,p2,2,και,False,False,True,,,False
29,phrase_line,b,a,-1,δει,False,False,False,,,False
30,phrase_line,c,o,1,κνύ,True,True,False,,,False
31,phrase_line,d,oo,1,-,True,True,False,,,False
32,phrase_line,c,a,-1,-,True,True,False,,,False
33,phrase_line,b,a,-1,-,True,False,False,,,False
34,phrase_line,a,aa,-1,τω,False,False,True,,,True
35,phrase_line,b,o,1,φα,False,False,False,,,False
36,phrase_line,c,o,1,ε,False,False,False,,,False
37,phrase_line,d,p,1,σφό,True,False,False,,,False
38,phrase_line,c,a,-1,ρον,False,False,True,,,False
39,phrase_line,e,p2,2,άγ,True,False,False,,,False
40,phrase_line,c,e,-2,γε,False,False,False,v,,False
41,phrase_line,d,o,1,λον,False,False,True,ap,,True
42,martyria,d,,,,,,,,,True
43,phrase_line,d,0,0,δι,False,True,False,v,v,False
44,phrase_line,"c,b",s,"-1,-1",-,False,False,False,v,,False
45,phrase_line,c,o,1,α,False,False,False,,,False
46,phrase_line,d,o,1,πρυ,False,False,False,,,False
47,phrase_line,e,o,1,σί,True,False,False,,,False
48,phrase_line,g,p2,2,ως,False,True,True,,,False
49,phrase_line,f,a,-1,-,False,False,True,,,False
50,phrase_line,f,0,0,λέ,True,True,False,v,v,False
51,phrase_line,e,a,-1,-,True,False,False,v,,False
52,phrase_line,e,0,0,γο,False,True,False,v,v,False
53,phrase_line,d,a,-1,-,False,False,False,v,,False
54,phrase_line,d,0,0,ντα,False,False,True,ap,,True
55,phrase_line,g,oo3,3,σή,True,False,False,,,False
56,phrase_line,f,a,-1,με,False,False,False,,,False
57,phrase_line,d,a2,-2,ρον,False,False,True,,,True
58,phrase_line,c,pa,-1,σω,False,False,False,,,False
59,phrase_line,a,a2,-2,τη,False,False,False,,,False
60,phrase_line,c,o2,2,ρί,True,False,False,,,False
61,phrase_line,c,p0,0,α,False,False,True,,,False
62,phrase_line,b,a,-1,τω,False,False,True,,,False
63,phrase_line,c,o,1,κό,True,True,False,,,False
64,phrase_line,d,oo,1,-,True,True,False,,,False
65,phrase_line,c,a,-1,-,True,True,False,,,False
66,phrase_line,b,a,-1,-,True,False,False,,,False
67,phrase_line,a,aa,-1,σμω,False,False,True,,,True
68,phrase_line,a,0,0,ό,True,False,False,,,False
69,phrase_line,b,o,1,τι,False,False,True,,,False
70,phrase_line,c,o,1,α,False,False,False,,,False
71,phrase_line,e,p2,2,νέ,True,False,False,,,False
72,phrase_line,d,a,-1,στη,False,False,True,ap,,True
73,phrase_line,c,a,-1,χρι,False,False,False,,,False
74,phrase_line,d,p,1,στός,True,False,True,,,False
75,phrase_line,d,0,0,ως,False,False,True,,,False
76,phrase_line,a,a3,-3,πα,False,False,False,,,False
77,phrase_line,b,o,1,ντο,False,False,False,,,False
78,phrase_line,c,oo,1,δύ,True,False,False,,,False
79,phrase_line,b,a,-1,να,False,False,False,,,False
80,phrase_line,a,aa,-1,μος,False,False,True,ap,,True
