,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,a,,,,,,,,,True
1,phrase_line,a,0,0,ορ,False,False,False,,,False
2,phrase_line,e,o4,4,θρί,True,False,False,,,False
3,phrase_line,e,p0,0,σω,False,False,False,,,False
4,phrase_line,d,a,-1,μεν,False,False,True,,,False
5,phrase_line,e,p,1,όρ,True,False,False,,,False
6,phrase_line,c,pe,-2,θρου,False,False,True,,,False
7,phrase_line,a,pe,-2,βα,False,False,False,,,False
8,phrase_line,F,a2,-2,θέ,True,True,False,,,False
9,phrase_line,G,oo,1,-,True,True,False,,,False
10,phrase_line,F,a,-1,-,True,True,False,,,False
11,phrase_line,E,a,-1,-,True,False,False,,,False
12,phrase_line,E,0,0,ος,False,False,True,ap,,True
13,phrase_line,c,p5,5,και,False,False,True,,,False
14,phrase_line,b,a,-1,α,False,False,False,,,False
15,phrase_line,c,o,1,ντί,True,False,True,,,False
16,phrase_line,d,o,1,μυ,False,True,False,dd,,False
17,phrase_line,e,oo,1,-,False,False,False,,,False
18,phrase_line,e,0,0,ρου,False,False,True,ap,,True
19,phrase_line,e,0,0,τον,False,False,True,,,False
20,phrase_line,f,o,1,ύ,True,True,False,,,False
21,phrase_line,g,oo,1,-,True,True,False,,,False
22,phrase_line,f,a,-1,-,True,True,False,,,False
23,phrase_line,e,a,-1,-,True,False,False,,,False
24,phrase_line,d,aa,-1,μνον,False,False,True,,,True
25,phrase_line,d,0,0,προ,False,False,False,,,False
26,phrase_line,d,0,0,σοί,True,True,False,v,v,False
27,phrase_line,"c,b",s,"-1,-1",-,True,True,False,v,,False
28,phrase_line,c,p,1,-,True,False,False,,,False
29,phrase_line,a,a2,-2,σο,False,False,False,,,False
30,phrase_line,c,o2,2,μεν,False,False,True,,,False
31,phrase_line,c,p0,0,τω,False,False,True,,,False
32,phrase_line,b,a,-1,δε,False,False,False,,,False
33,phrase_line,c,o,1,σπό,True,True,False,,,False
34,phrase_line,d,oo,1,-,True,True,False,,,False
35,phrase_line,c,a,-1,-,True,True,False,,,False
36,phrase_line,b,a,-1,-,True,False,False,,,False
37,phrase_line,a,aa,-1,τη,False,False,True,,,True
38,martyria,a,,,,,,,,,True
39,phrase_line,e,o4,4,και,False,False,True,,,False
40,phrase_line,f,o,1,χρι,False,False,False,,,False
41,phrase_line,g,p,1,στόν,True,False,True,,,False
42,phrase_line,f,a,-1,ο,False,False,False,,,False
43,phrase_line,g,oo,1,ψό,True,False,False,,,False
44,phrase_line,f,a,-1,με,False,False,False,,,False
45,phrase_line,e,aa,-1,θα,False,False,True,,,True
46,phrase_line,d,pa,-1,δι,False,False,False,,,False
47,phrase_line,c,a,-1,και,False,False,False,,,False
48,phrase_line,b,a,-1,ο,False,False,False,,,False
49,phrase_line,a,a,-1,σύ,True,False,False,,,False
50,phrase_line,G,aa,-1,νης,False,False,True,,,False
51,phrase_line,b,o2,2,ή,True,False,False,,,False
52,phrase_line,c,o,1,λι,False,False,False,,,False
53,phrase_line,d,o,1,ον,False,False,True,ap,,True
54,phrase_line,e,oo,1,πά,True,False,False,,,False
55,phrase_line,d,a,-1,σι,False,False,True,,,False
56,phrase_line,c,a,-1,ζω,False,False,False,,,False
57,phrase_line,d,p,1,ήν,True,False,True,,,False
58,phrase_line,a,a3,-3,α,False,False,False,,,False
59,phrase_line,b,o,1,να,False,False,False,,,False
60,phrase_line,c,oo,1,τέλ,True,False,False,,,False
61,phrase_line,b,a,-1,λο,False,False,False,,,False
62,phrase_line,a,aa,-1,ντα,False,False,True,,,True
