,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,a,,,,,,,,,True
1,phrase_line,a,0,0,αύ,True,False,False,dd,,False
2,phrase_line,a,0,0,τη,False,True,True,om,om,False
3,phrase_line,c,oo2,2,-,False,True,True,om,om,False
4,phrase_line,b,a,-1,-,False,True,True,om,om,False
5,phrase_line,a,a,-1,-,False,False,True,om,,True
6,phrase_line,G,a,-1,η,False,False,True,,,False
7,phrase_line,a,o,1,κλη,False,False,False,,,False
8,phrase_line,b,o,1,τή,True,False,True,,,False
9,phrase_line,c,o,1,και,False,False,True,,,False
10,phrase_line,c,0,0,α,False,False,False,,,False
11,phrase_line,d,p,1,γί,True,False,False,,,False
12,phrase_line,c,a,-1,α,False,False,True,,,False
13,phrase_line,b,a,-1,η,False,False,False,kl,,False
14,phrase_line,a,aa,-1,μέ,True,True,False,,,False
15,phrase_line,"b,c",kkoo,"1,1",-,True,False,False,,,False
16,phrase_line,c,0,0,ρα,False,False,True,dd,,True
17,phrase_line,c,0,0,η,False,False,True,,,False
18,phrase_line,d,p,1,μί,True,False,False,,,False
19,phrase_line,c,a,-1,α,False,False,True,,,False
20,phrase_line,b,a,-1,των,False,False,True,kl,,False
21,phrase_line,a,a,-1,σαβ,False,False,False,,,False
22,phrase_line,c,k,2,βά,True,True,False,v,v,False
23,phrase_line,b,a,-1,-,True,False,False,v,,False
24,phrase_line,c,o,1,των,False,False,True,ap,,True
25,phrase_line,c,0,0,η,False,False,True,,,False
26,phrase_line,c,0,0,βα,False,False,False,,,False
27,phrase_line,c,0,0,σι,False,False,False,,,False
28,phrase_line,d,p,1,λίς,True,False,True,,,False
29,phrase_line,c,a,-1,και,False,True,True,"di,kl","di,kl",False
30,phrase_line,b,a,-1,-,False,False,True,"di,kl",,False
31,phrase_line,a,a,-1,κυ,False,False,False,,,False
32,phrase_line,c,k,2,ρί,True,True,False,v,v,False
33,phrase_line,b,a,-1,-,True,False,False,v,,False
34,phrase_line,c,o,1,α,False,False,True,dd,,True
35,phrase_line,c,0,0,ε,False,False,False,,,False
36,phrase_line,d,p,1,ορ,False,False,False,,,False
37,phrase_line,c,a,-1,τών,True,True,True,om,om,False
38,phrase_line,d,oo,1,-,True,True,True,om,om,False
39,phrase_line,c,a,-1,-,True,True,True,om,om,False
40,phrase_line,b,a,-1,-,True,False,True,om,,False
41,phrase_line,a,a,-1,ε,False,False,False,,,False
42,phrase_line,c,k,2,ορ,False,True,False,v,v,False
43,phrase_line,b,a,-1,-,False,False,False,v,,False
44,phrase_line,c,o,1,τή,True,True,True,dd,,False
45,phrase_line,d,p,1,-,True,False,True,,,True
46,phrase_line,b,a2,-2,και,False,False,True,,,False
47,phrase_line,c,o,1,πα,False,False,False,,,False
48,phrase_line,e,oo2,2,νή,True,False,False,,,False
49,phrase_line,d,a,-1,γυ,False,False,False,,,False
50,phrase_line,c,a,-1,ρις,False,False,True,,,False
51,phrase_line,c,0,0,ε,False,False,False,,,False
52,phrase_line,d,p,1,στί,True,False,True,,,False
53,phrase_line,c,a,-1,πα,False,False,False,kl,,False
54,phrase_line,b,a,-1,νη,False,False,False,,,False
55,phrase_line,c,oo,1,γύ,True,False,False,,,False
56,phrase_line,b,a,-1,ρε,False,False,False,,,False
57,phrase_line,a,aa,-1,ων,False,False,True,,,True
58,phrase_line,a,0,0,ε,False,False,False,,,False
59,phrase_line,a,0,0,νή,True,False,True,,,False
60,phrase_line,a,0,0,ευ,False,False,False,,,False
61,phrase_line,c,p2,2,λο,False,False,False,,,False
62,phrase_line,b,a,-1,γού,True,True,False,om,om,False
63,phrase_line,c,oo,1,-,True,True,False,om,om,False
64,phrase_line,b,a,-1,-,True,True,False,om,om,False
65,phrase_line,a,a,-1,-,True,False,False,om,,False
66,phrase_line,G,a,-1,μεν,False,False,True,kl,,False
67,phrase_line,F,a,-1,χρι,False,False,False,,,False
68,phrase_line,G,o,1,στόν,True,False,True,dd,,True
69,phrase_line,a,o,1,εις,False,False,True,,,False
70,phrase_line,b,p,1,τους,False,False,True,,,False
71,phrase_line,G,a2,-2,αι,False,False,False,,,False
72,phrase_line,b,p2,2,ώ,True,False,False,,,False
73,phrase_line,a,a,-1,νας,False,False,True,,,True
