,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,e,,,,,,,,,True
1,phrase_line,e,0,0,τύ,True,False,False,,,False
2,phrase_line,e,0,0,πον,False,True,True,"kl,l,v","kl,l,v",False
3,phrase_line,d,a,-1,-,False,True,True,"kl,l,v",l,False
4,phrase_line,e,oo,1,-,False,False,True,"g,l",,False
5,phrase_line,g,oo2,2,της,False,False,True,psr,,False
6,phrase_line,f,a,-1,α,False,False,False,,,False
7,phrase_line,e,a,-1,γνής,True,False,True,"g,is",,False
8,phrase_line,d,a,-1,λο,False,False,False,,,False
9,phrase_line,e,p,1,χεί,True,False,False,l,l,False
10,phrase_line,d,a,-1,ας,False,False,True,"g,l",,False
11,phrase_line,d,0,0,σου,False,False,True,ap,,True
12,phrase_line,c,a,-1,πυρ,False,False,False,,,False
13,phrase_line,c,0,0,πο,False,False,False,,,False
14,phrase_line,c,0,0,λου,False,False,False,,,False
15,phrase_line,e,o2,2,μέ,True,False,False,g,,False
16,phrase_line,e,0,0,νη,False,False,True,,,False
17,phrase_line,f,o,1,βά,True,False,False,klr,,False
18,phrase_line,e,a,-1,τος,False,False,True,,,False
19,phrase_line,f,oo,1,έ,True,False,False,psr,,False
20,phrase_line,e,a,-1,δει,False,False,False,,,False
21,phrase_line,d,a,-1,ξεν,False,False,True,,,False
22,phrase_line,e,p,1,ά,True,False,False,klr,,False
23,phrase_line,d,a,-1,φλε,False,False,False,"g,is",,False
24,phrase_line,d,0,0,κτος,False,False,True,"ap,g,is",,True
25,martyria,d,,,,,,,,,True
26,phrase_line,c,a,-1,και,False,False,True,,,False
27,phrase_line,d,o,1,νύν,True,False,True,,,False
28,phrase_line,d,p0,0,κα,False,False,False,klr,,False
29,phrase_line,c,a,-1,θη,False,False,False,,,False
30,phrase_line,d,o,1,μών,True,False,True,ap,,True
31,phrase_line,c,a,-1,των,False,False,True,,,False
32,phrase_line,c,0,0,πει,False,False,False,,,False
33,phrase_line,d,o,1,ρα,False,False,False,g,,False
34,phrase_line,e,p,1,σμών,True,False,True,anr,,False
35,phrase_line,d,a,-1,α,False,False,False,,,False
36,phrase_line,c,a,-1,γρι,False,True,False,"klr,v","klr,v",False
37,phrase_line,b,a,-1,-,False,False,False,"klr,v",,False
38,phrase_line,c,oo,1,αί,True,False,False,psr,,False
39,phrase_line,b,a,-1,νου,False,False,False,,,False
40,phrase_line,a,aa,-1,σαν,False,False,True,ap,,True
41,martyria,a,,,,,,,,,True
42,phrase_line,b,o,1,κα,False,False,False,,,False
43,phrase_line,c,o,1,τα,False,False,False,,,False
44,phrase_line,d,o,1,σβέ,True,False,False,"g,is",,False
45,phrase_line,d,0,0,σαι,False,False,True,ap,,True
46,phrase_line,c,a,-1,αι,False,False,False,,,False
47,phrase_line,e,o2,2,τού,True,False,False,,,False
48,phrase_line,e,p0,0,μεν,False,False,True,,,False
49,phrase_line,d,a,-1,την,False,False,True,,,False
50,phrase_line,e,p,1,κά,True,False,False,,,False
51,phrase_line,d,a,-1,μι,False,False,False,,,False
52,phrase_line,d,0,0,νον,False,False,True,ap,,True
53,martyria,d,,,,,,,,,True
54,phrase_line,e,p,1,ί,True,False,False,klr,,False
55,phrase_line,d,a,-1,να,False,True,True,"kl,l,v","kl,l,v",False
56,phrase_line,"c,b",s,"-1,-1",-,False,True,True,"kl,l,v",l,False
57,phrase_line,c,p,1,-,False,False,True,l,,False
58,phrase_line,a,a2,-2,σέ,True,False,True,,,False
59,phrase_line,b,o,1,θε,False,False,False,,,False
60,phrase_line,c,o,1,ο,False,False,False,g,,False
61,phrase_line,d,o,1,τό,True,False,False,,,False
62,phrase_line,d,0,0,κε,False,False,True,ap,,True
63,phrase_line,c,a,-1,α,False,False,False,,,False
64,phrase_line,c,0,0,κα,False,False,False,,,False
65,phrase_line,c,0,0,τα,False,False,False,,,False
66,phrase_line,c,p0,0,παύ,True,False,False,anr,anr,False
67,phrase_line,a,a2,-2,στως,False,False,True,anr,,False
68,phrase_line,b,o,1,με,False,False,False,,,False
69,phrase_line,d,oo2,2,γα,False,False,False,,,False
70,phrase_line,c,a,-1,λύ,True,False,False,,,False
71,phrase_line,b,a,-1,νω,False,False,False,klr,,False
72,phrase_line,a,aa,-1,μεν,False,False,True,ap,,True
