,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,b,,,,,,,,,True
1,phrase_line,b,0,0,εν,False,False,True,,,False
2,phrase_line,c,o,1,βυ,False,False,False,,,False
3,phrase_line,d,o,1,θώ,True,False,True,,,False
4,phrase_line,d,0,0,κα,False,False,False,,,False
5,phrase_line,e,p,1,τέ,True,False,False,,,False
6,phrase_line,d,a,-1,στρω,False,False,False,,,False
7,phrase_line,b,a2,-2,σε,False,False,True,,,False
8,phrase_line,c,o,1,πο,False,False,False,,,False
9,phrase_line,d,o,1,τέ,True,False,True,ap,,True
10,phrase_line,e,p,1,την,False,False,True,,,False
11,phrase_line,d,a,-1,φα,False,False,False,,,False
12,phrase_line,d,p0,0,ρα,False,False,False,,,False
13,phrase_line,c,a,-1,ω,False,False,False,,,False
14,phrase_line,d,oo,1,νί,True,False,False,,,False
15,phrase_line,c,a,-1,τι,False,False,False,,,False
16,phrase_line,b,aa,-1,δα,False,False,True,,,True
17,phrase_line,b,0,0,παν,False,False,False,,,False
18,phrase_line,c,o,1,στρα,False,False,False,,,False
19,phrase_line,d,o,1,τι,False,False,False,,,False
20,phrase_line,e,o,1,άν,True,False,True,nenano,,True
21,phrase_line,e,p0,0,η,False,False,True,,,False
22,phrase_line,d,a,-1,υ,False,False,False,,,False
23,phrase_line,e,o,1,πέ,True,True,False,v,v,False
24,phrase_line,c,e,-2,-,True,False,False,v,,False
25,phrase_line,d,o,1,ρο,False,False,False,,,False
26,phrase_line,e,p,1,πλος,False,True,True,,,False
27,phrase_line,d,a,-1,-,False,False,True,,,False
28,phrase_line,d,0,0,δύ,True,True,False,v,v,False
29,phrase_line,c,a,-1,-,True,False,False,v,,False
30,phrase_line,c,0,0,να,False,True,False,v,v,False
31,phrase_line,b,a,-1,-,False,False,False,v,,False
32,phrase_line,b,0,0,μις,False,False,True,ap,,True
33,phrase_line,b,0,0,σαρ,False,False,False,,,False
34,phrase_line,c,o,1,κω,False,False,False,,,False
35,phrase_line,d,p,1,θείς,True,False,True,,,False
36,phrase_line,c,a,-1,ο,False,False,True,,,False
37,phrase_line,d,oo,1,λό,True,False,False,,,False
38,phrase_line,c,a,-1,γος,False,False,True,,,False
39,phrase_line,b,a,-1,δε,False,False,True,,,True
40,phrase_line,c,o,1,την,False,False,True,,,False
41,phrase_line,d,o,1,παμ,False,False,False,,,False
42,phrase_line,f,p2,2,μό,True,False,False,,,False
43,phrase_line,d,e,-2,χθη,False,False,False,v,,False
44,phrase_line,e,o,1,ρον,False,False,True,ap,,True
45,phrase_line,e,p0,0,α,False,False,False,,,False
46,phrase_line,d,a,-1,μαρ,False,False,False,,,False
47,phrase_line,e,o,1,τί,True,True,False,v,v,False
48,phrase_line,c,e,-2,-,True,False,False,v,,False
49,phrase_line,d,o,1,αν,False,False,True,,,False
50,phrase_line,e,p,1,ε,False,True,False,,,False
51,phrase_line,d,a,-1,-,False,False,False,,,False
52,phrase_line,d,0,0,ξή,True,True,False,v,v,False
53,phrase_line,c,a,-1,-,True,False,False,v,,False
54,phrase_line,c,0,0,λει,False,True,False,v,v,False
55,phrase_line,b,a,-1,-,False,False,False,v,,False
56,phrase_line,b,0,0,ψεν,False,False,True,ap,,True
57,phrase_line,b,p0,0,ο,False,False,True,,,False
58,phrase_line,a,a,-1,δε,False,False,False,,,False
59,phrase_line,b,o,1,δο,False,False,False,,,False
60,phrase_line,c,o,1,ξα,False,False,False,,,False
61,phrase_line,e,p2,2,σμέ,True,False,False,,,False
62,phrase_line,d,a,-1,νος,False,False,True,,,False
63,phrase_line,f,p2,2,κύ,True,False,False,,,False
64,phrase_line,d,e,-2,ρι,False,False,False,v,,False
65,phrase_line,e,o,1,ος,False,False,True,ap,,True
66,phrase_line,e,0,0,εν,False,False,False,,,False
67,phrase_line,e,p0,0,δό,True,False,False,,,False
68,phrase_line,c,a2,-2,ξως,False,False,True,,,False
69,phrase_line,d,o,1,γαρ,False,False,True,,,False
70,phrase_line,e,p,1,δε,False,True,False,,,False
71,phrase_line,d,a,-1,-,False,False,False,,,False
72,phrase_line,d,0,0,δό,True,True,False,v,v,False
73,phrase_line,c,a,-1,-,True,False,False,v,,False
74,phrase_line,c,0,0,ξα,False,True,False,v,v,False
75,phrase_line,b,a,-1,-,False,False,False,v,,False
76,phrase_line,b,0,0,σται,False,False,True,ap,,True
