,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,G,,,,,,,,,True
1,phrase_line,b,oo2,2,ό,True,False,False,,,False
2,phrase_line,a,a,-1,σοι,False,False,True,,,False
3,phrase_line,G,a,-1,πα,False,False,False,,,False
4,phrase_line,a,o,1,λαι,False,False,False,,,False
5,phrase_line,b,p,1,ών,True,False,True,,,True
6,phrase_line,G,a2,-2,ε,False,False,False,,,False
7,phrase_line,a,o,1,κλε,False,False,False,,,False
8,phrase_line,b,p,1,λύ,True,False,False,,,False
9,phrase_line,a,a,-1,με,False,False,False,,,False
10,phrase_line,b,p,1,θα,False,False,True,,,False
11,phrase_line,G,a2,-2,βρό,True,True,False,,,False
12,phrase_line,a,oo,1,-,True,True,False,,,False
13,phrase_line,G,a,-1,-,True,True,False,,,False
14,phrase_line,a,oo,1,-,True,False,False,,,False
15,phrase_line,b,o,1,χων,False,False,True,ap,,True
16,phrase_line,b,0,0,βο,False,False,False,,,False
17,phrase_line,c,o,1,ρών,True,False,True,,,False
18,phrase_line,b,a,-1,λε,False,False,False,,,False
19,phrase_line,c,p,1,ό,True,False,False,,,False
20,phrase_line,b,a,-1,ντων,False,False,True,,,True
21,phrase_line,a,a,-1,συ,False,False,False,,,False
22,phrase_line,G,a,-1,ντε,False,False,False,,,False
23,phrase_line,b,p2,2,θλα,False,False,False,,,False
24,phrase_line,a,a,-1,σμέ,True,False,False,,,False
25,phrase_line,b,o,1,νων,False,False,True,,,False
26,phrase_line,b,0,0,μύ,True,True,False,v,v,False
27,phrase_line,"a,G",s,"-1,-1",-,True,True,False,v,,False
28,phrase_line,a,p,1,-,True,False,False,,,False
29,phrase_line,G,a,-1,λας,False,False,True,,,True
30,phrase_line,d,o4,4,α,False,False,False,,,False
31,phrase_line,d,p0,0,γαλ,False,False,False,,,False
32,phrase_line,b,a2,-2,λι,False,False,False,,,False
33,phrase_line,c,p,1,ώ,True,False,False,,,False
34,phrase_line,b,a,-1,μεν,False,False,True,ap,,True
35,phrase_line,G,a2,-2,και,False,False,True,,,False
36,phrase_line,a,o,1,πλα,False,False,False,,,False
37,phrase_line,b,p,1,τύ,True,False,False,,,False
38,phrase_line,a,a,-1,νω,False,False,False,,,False
39,phrase_line,b,p,1,μεν,False,False,True,,,False
40,phrase_line,G,a2,-2,στό,True,True,False,,,False
41,phrase_line,a,oo,1,-,True,True,False,,,False
42,phrase_line,G,a,-1,-,True,True,False,,,False
43,phrase_line,a,oo,1,-,True,False,False,,,False
44,phrase_line,b,o,1,μα,False,False,True,ap,,True
45,phrase_line,d,p2,2,λό,True,False,False,,,False
46,phrase_line,c,a,-1,γω,False,False,True,,,False
47,phrase_line,d,oo,1,πλέ,True,False,False,,,False
48,phrase_line,c,a,-1,κο,False,False,False,,,False
49,phrase_line,b,a,-1,ντες,False,False,True,ap,,True
50,phrase_line,a,a,-1,εκ,False,False,True,,,False
51,phrase_line,G,a,-1,λό,True,False,False,,,False
52,phrase_line,b,p2,2,γων,False,False,True,,,False
53,phrase_line,a,a,-1,με,False,False,False,,,False
54,phrase_line,b,o,1,λω,False,False,False,,,False
55,phrase_line,b,0,0,δί,True,True,False,v,v,False
56,phrase_line,"a,G",s,"-1,-1",-,True,True,False,v,,False
57,phrase_line,a,p,1,-,True,False,False,,,False
58,phrase_line,G,a,-1,αν,False,False,True,ap,,True
59,phrase_line,c,p3,3,ώ,True,False,True,,,False
60,phrase_line,b,a,-1,των,False,False,True,,,False
61,phrase_line,d,oo2,2,προς,False,False,True,,,False
62,phrase_line,c,a,-1,η,False,False,False,,,False
63,phrase_line,b,aa,-1,μάς,True,False,True,,,True
64,phrase_line,c,oo,1,ή,True,False,False,,,False
65,phrase_line,b,a,-1,δε,False,False,False,,,False
66,phrase_line,G,a2,-2,ται,False,False,True,,,False
67,phrase_line,a,o,1,δω,False,True,False,v,v,False
68,phrase_line,G,a,-1,-,False,True,False,v,,False
69,phrase_line,a,p,1,-,False,False,False,,,False
70,phrase_line,F,a2,-2,ρη,False,False,False,,,False
71,phrase_line,a,p2,2,μά,True,False,False,,,False
72,phrase_line,G,a,-1,των,False,False,True,ap,,True
