,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,G,,,,,,,,,True
1,phrase_line,b,o2,2,ει,False,False,False,,,False
2,phrase_line,c,o,1,κό,True,False,False,kr,,False
3,phrase_line,b,a,-1,νος,False,False,True,,,False
4,phrase_line,b,0,0,χρυ,False,False,False,,,False
5,phrase_line,c,o,1,σής,True,False,True,kr,,True
6,phrase_line,b,a,-1,εν,False,False,True,,,False
7,phrase_line,b,0,0,πε,False,False,False,,,False
8,phrase_line,"c,d",ookk,"1,1",δί,True,False,False,,,False
9,phrase_line,c,a,-1,ω,False,False,True,,,False
10,phrase_line,b,a,-1,δε,False,False,False,,,False
11,phrase_line,b,0,0,ει,False,False,False,,,False
12,phrase_line,b,0,0,ρά,True,False,True,,,False
13,phrase_line,c,p,1,λα,False,False,False,,,False
14,phrase_line,a,a2,-2,τρευ,False,False,False,,,False
15,phrase_line,b,o,1,ο,False,True,False,kl,kl,False
16,phrase_line,a,a,-1,-,False,False,False,kl,,False
17,phrase_line,G,aa,-1,μέ,True,False,False,,,False
18,phrase_line,G,0,0,νης,False,False,True,,,True
19,phrase_line,G,0,0,οι,False,True,True,v,v,False
20,phrase_line,a,kk,1,-,False,False,True,v,,False
21,phrase_line,F,a2,-2,τρεις,False,False,True,,,False
22,phrase_line,b,o3,3,σου,False,False,True,,,False
23,phrase_line,b,0,0,παί,True,True,False,dd,,False
24,phrase_line,c,oo,1,-,True,False,False,,,False
25,phrase_line,c,0,0,δες,False,True,True,dd,,False
26,phrase_line,d,p,1,-,False,False,True,,,False
27,phrase_line,b,a2,-2,κα,False,False,False,,,False
28,phrase_line,b,0,0,τε,False,False,False,,,False
29,phrase_line,d,oo2,2,πά,True,False,False,,,False
30,phrase_line,c,a,-1,τη,False,False,False,,,False
31,phrase_line,b,a,-1,σαν,False,False,True,,,True
32,phrase_line,c,o,1,το,False,False,True,,,False
33,phrase_line,c,0,0,α,False,False,False,,,False
34,phrase_line,c,0,0,θε,False,False,False,,,False
35,phrase_line,c,0,0,ω,False,False,False,kr,,False
36,phrase_line,b,a,-1,τά,True,False,False,,,False
37,phrase_line,b,0,0,του,False,False,True,,,False
38,phrase_line,b,p0,0,πρό,True,False,False,,,False
39,phrase_line,G,a2,-2,σταγ,False,True,False,,,False
40,phrase_line,a,kk,1,-,False,False,False,,,False
41,phrase_line,b,o,1,μα,False,False,True,dd,,True
42,phrase_line,b,oo0,0,μέ,True,False,False,,,False
43,phrase_line,a,a,-1,σον,False,False,True,,,False
44,phrase_line,G,a,-1,δε,False,False,True,kl,,False
45,phrase_line,F,a,-1,πυ,False,False,False,,,False
46,phrase_line,G,o,1,ρός,True,False,True,,,False
47,phrase_line,a,p,1,εμ,False,False,False,,,False
48,phrase_line,F,a2,-2,βλη,False,False,False,,,False
49,phrase_line,G,o,1,θέ,True,False,False,,,False
50,phrase_line,G,0,0,ντες,False,True,True,dd,,False
51,phrase_line,"a,b",kkoo,"1,1",-,False,False,True,,,True
52,phrase_line,b,0,0,δρο,False,False,False,,,False
53,phrase_line,b,0,0,σι,False,False,False,,,False
54,phrase_line,c,o,1,ζό,True,False,False,kr,,False
55,phrase_line,b,a,-1,με,False,False,False,,,False
56,phrase_line,b,0,0,νοι,False,False,True,,,False
57,phrase_line,c,p,1,έ,True,False,False,,,False
58,phrase_line,b,a,-1,ψαλ,False,False,False,,,False
59,phrase_line,b,0,0,λον,False,False,True,,,True
60,phrase_line,b,0,0,ευ,False,False,False,,,False
61,phrase_line,b,0,0,λο,False,False,False,,,False
62,phrase_line,b,0,0,γη,False,False,False,,,False
63,phrase_line,c,p,1,τός,True,False,True,,,False
64,phrase_line,b,a,-1,εί,True,False,True,,,False
65,phrase_line,b,0,0,ο,False,False,True,,,False
66,phrase_line,b,0,0,θε,False,False,False,,,False
67,phrase_line,c,p,1,ός,True,False,True,,,False
68,phrase_line,a,a2,-2,ο,False,False,True,,,False
69,phrase_line,b,o,1,τών,True,False,True,,,False
70,phrase_line,c,p,1,πα,False,False,False,,,False
71,phrase_line,b,a,-1,τέ,True,True,False,om,om,False
72,phrase_line,c,oo,1,-,True,True,False,om,om,False
73,phrase_line,b,a,-1,-,True,True,False,om,om,False
74,phrase_line,a,a,-1,-,True,False,False,om,,False
75,phrase_line,G,a,-1,ρων,False,False,True,kl,,False
76,phrase_line,F,a,-1,η,False,False,False,,,False
77,phrase_line,G,o,1,μών,True,False,True,ap,,True
