,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,b,,,,,,,,,True
1,phrase_line,b,0,0,ι,False,True,False,"kl,v","kl,v",False
2,phrase_line,a,a,-1,-,False,False,False,"kl,v",,False
3,phrase_line,G,aa,-1,σχύν,True,True,True,,,False
4,phrase_line,"a,b",kkoo,"1,1",-,True,False,True,,,False
5,phrase_line,b,0,0,ο,False,False,True,,,False
6,phrase_line,"b,c",p0kk,"0,1",δι,False,False,False,,,False
7,phrase_line,b,a,-1,δούς,True,True,True,"di,kl","di,kl",False
8,phrase_line,a,a,-1,-,True,False,True,"di,kl",,False
9,phrase_line,G,a,-1,τοις,False,False,True,,,False
10,phrase_line,b,o2,2,βα,False,True,False,,,False
11,phrase_line,c,kk,1,-,False,False,False,,,False
12,phrase_line,d,o,1,σι,False,False,False,,,False
13,phrase_line,d,0,0,λεύ,True,True,False,kr,,False
14,phrase_line,"c,b",s,"-1,-1",-,True,True,False,,,False
15,phrase_line,c,oo,1,-,True,False,False,,,False
16,phrase_line,b,a,-1,σιν,False,False,True,kl,,False
17,phrase_line,a,a,-1,η,False,False,False,,,False
18,phrase_line,b,o,1,μών,True,False,True,dd,,True
19,phrase_line,d,oo2,2,κύ,False,False,False,,,False
20,phrase_line,c,a,-1,ρι,False,False,False,,,False
21,phrase_line,b,aa,-1,ος,False,False,True,,,True
22,phrase_line,b,0,0,και,False,False,True,,,False
23,phrase_line,d,oo2,2,κέ,True,False,False,,,False
24,phrase_line,c,a,-1,ρας,False,False,True,,,False
25,phrase_line,b,a,-1,χρι,False,False,False,,,False
26,phrase_line,d,oo2,2,στών,True,False,True,,,False
27,phrase_line,c,a,-1,αυ,False,False,False,,,False
28,phrase_line,b,a,-1,τού,True,False,True,,,False
29,phrase_line,b,0,0,υ,False,False,False,,,False
30,phrase_line,d,oo2,2,ψών,True,False,True,,,False
31,phrase_line,c,a,-1,παρ,False,False,False,,,False
32,phrase_line,b,a,-1,θέ,False,False,False,,,False
33,phrase_line,b,p0,0,νου,False,True,True,,,False
34,phrase_line,c,kk,1,-,False,False,True,,,False
35,phrase_line,b,a,-1,α,False,True,False,"di,kl","di,kl",False
36,phrase_line,a,a,-1,-,False,False,False,"di,kl",,False
37,phrase_line,G,a,-1,πο,False,False,False,,,False
38,phrase_line,a,o,1,τί,False,False,False,,,False
39,phrase_line,b,o,1,κτε,False,False,False,,,False
40,phrase_line,b,0,0,ται,False,False,True,,,True
41,phrase_line,b,0,0,μο,False,False,False,,,False
42,phrase_line,b,0,0,λεί,True,False,True,,,False
43,phrase_line,"b,c",p0kk,"0,1",δε,False,False,True,,,False
44,phrase_line,b,a,-1,προς,False,True,True,"di,kl","di,kl",False
45,phrase_line,a,a,-1,-,False,False,True,"di,kl",,False
46,phrase_line,G,a,-1,το,False,False,True,,,False
47,phrase_line,a,o,1,βάπ,True,False,False,,,False
48,phrase_line,b,o,1,τι,False,False,False,,,False
49,phrase_line,b,0,0,σμα,False,False,True,,,True
50,phrase_line,d,o2,2,δι,False,False,False,,,False
51,phrase_line,e,p,1,ό,True,False,True,,,False
52,phrase_line,c,a2,-2,πι,False,False,False,,,False
53,phrase_line,d,o,1,στοί,True,False,True,,,False
54,phrase_line,e,p,1,βο,False,False,False,,,False
55,phrase_line,d,a,-1,ή,False,False,False,,,False
56,phrase_line,c,a,-1,σω,False,False,False,kl,,False
57,phrase_line,b,a,-1,μεν,False,False,True,,,True
58,phrase_line,d,o2,2,ουκ,False,False,True,,,False
59,phrase_line,e,p,1,έ,True,False,False,,,False
60,phrase_line,d,a,-1,στιν,False,False,True,,,False
61,phrase_line,"e,f",ookk,"1,1",ά,True,False,False,,,False
62,phrase_line,e,a,-1,γι,False,False,False,,,False
63,phrase_line,d,a,-1,ος,False,False,True,,,False
64,phrase_line,d,p0,0,ως,False,False,True,,,False
65,phrase_line,b,a2,-2,ο,False,False,True,,,False
66,phrase_line,c,o,1,θε,False,True,False,"kl,v","kl,v",False
67,phrase_line,b,a,-1,-,False,False,False,"kl,v",,False
68,phrase_line,a,aa,-1,ός,True,True,True,,,False
69,phrase_line,"b,c",kkoo,"1,1",-,True,False,True,,,False
70,phrase_line,b,a,-1,η,False,False,False,dd,,False
71,phrase_line,b,0,0,μών,True,False,True,,,True
