,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,c,,,,,,,,,True
1,phrase_line,b,a,-1,ο,False,False,True,,,False
2,phrase_line,c,o,1,τα,False,False,True,,,False
3,phrase_line,d,o,1,ύ,True,False,False,,,False
4,phrase_line,d,p0,0,δα,False,False,False,,,False
5,phrase_line,b,a2,-2,τα,False,False,True,,,False
6,phrase_line,c,oo,1,πά,True,False,False,,,False
7,phrase_line,a,a2,-2,λαι,False,False,True,,,True
8,phrase_line,c,p2,2,νεύ,True,False,False,,,False
9,phrase_line,b,a,-1,μα,False,False,False,,,False
10,phrase_line,c,o,1,τι,False,False,True,,,False
11,phrase_line,d,o,1,θεί,True,True,False,dd,,False
12,phrase_line,e,oo,1,-,True,False,False,,,False
13,phrase_line,e,0,0,ω,False,False,True,ap,,True
14,martyria,e,,,,,,,,,True
15,phrase_line,e,0,0,εις,False,False,True,,,False
16,phrase_line,g,p2,2,μί,True,False,False,,,False
17,phrase_line,e,a2,-2,αν,False,False,True,,,False
18,phrase_line,e,0,0,συ,False,False,False,,,False
19,phrase_line,e,p0,0,να,False,False,False,,,False
20,phrase_line,d,a,-1,γω,False,False,False,,,False
21,phrase_line,c,a,-1,γήν,True,True,True,,,False
22,phrase_line,"d,e",kkoo,"1,1",-,True,False,True,,,False
23,phrase_line,f,p,1,συ,False,False,False,,,False
24,phrase_line,d,a2,-2,να,False,False,False,,,False
25,phrase_line,c,a,-1,θροί,True,True,False,,,False
26,phrase_line,d,oo,1,-,True,True,False,,,False
27,phrase_line,c,a,-1,-,True,True,False,,,False
28,phrase_line,b,a,-1,-,True,False,False,,,False
29,phrase_line,a,a,-1,σας,False,False,True,,,True
30,martyria,a,,,,,,,,,True
31,phrase_line,b,o,1,και,False,False,True,,,False
32,phrase_line,c,o,1,τε,False,False,False,,,False
33,phrase_line,d,o,1,μών,True,True,True,dd,,False
34,phrase_line,e,oo,1,-,True,False,True,,,False
35,phrase_line,f,p,1,θά,True,False,False,,,False
36,phrase_line,d,e,-2,λασ,False,False,False,v,,False
37,phrase_line,e,o,1,σαν,False,False,True,ap,,True
38,phrase_line,e,p0,0,ισ,False,False,False,,,False
39,phrase_line,c,a2,-2,ρα,False,False,False,,,False
40,phrase_line,e,p2,2,η,False,False,False,,,False
41,phrase_line,d,a,-1,λί,True,False,False,,,False
42,phrase_line,c,a,-1,τη,False,False,True,,,False
43,phrase_line,b,a,-1,λα,False,False,False,,,False
44,phrase_line,a,aa,-1,ώ,True,False,True,,,True
45,martyria,a,,,,,,,,,True
46,phrase_line,d,o3,3,ού,True,False,False,,,False
47,phrase_line,d,p0,0,τος,False,False,True,,,False
48,phrase_line,b,a2,-2,ο,False,False,True,,,False
49,phrase_line,c,o,1,θε,False,False,False,,,False
50,phrase_line,e,o2,2,ός,True,False,True,dd,,False
51,phrase_line,d,a,-1,η,False,False,False,,,False
52,phrase_line,e,o,1,μών,True,False,True,ap,,True
53,phrase_line,e,0,0,δε,False,False,False,,,False
54,phrase_line,e,p0,0,δο,False,False,False,,,False
55,phrase_line,d,a,-1,ξα,False,False,False,,,False
56,phrase_line,c,a,-1,σμέ,True,True,False,,,False
57,phrase_line,d,kk,1,-,True,False,False,,,False
58,phrase_line,e,p,1,νος,False,False,True,,,False
59,phrase_line,d,a,-1,υ,False,False,False,,,False
60,phrase_line,c,a,-1,πάρ,True,False,False,,,False
61,phrase_line,a,a2,-2,χει,False,False,True,ap,,True
62,martyria,a,,,,,,,,,True
63,phrase_line,a,0,0,αυ,False,False,False,,,False
64,phrase_line,d,p3,3,τώ,True,False,True,,,False
65,phrase_line,c,a,-1,μό,True,False,False,,,False
66,phrase_line,d,o,1,νω,False,False,True,,,False
67,phrase_line,f,p2,2,ά,True,False,False,,,False
68,phrase_line,d,e,-2,σω,False,False,False,v,,False
69,phrase_line,e,o,1,μεν,False,False,True,ap,,True
70,phrase_line,c,a2,-2,ό,True,False,False,,,False
71,phrase_line,d,o,1,τι,False,False,True,,,False
72,phrase_line,d,0,0,δε,False,False,False,,,False
73,phrase_line,e,oo,1,δό,True,True,False,,,False
74,phrase_line,"d,c",s,"-1,-1",-,True,False,False,,,False
75,phrase_line,b,a,-1,ξα,False,False,False,,,False
76,phrase_line,c,o,1,σται,False,False,True,ap,,True
