,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,d,,,,,,,,,True
1,phrase_line,d,0,0,ως,False,False,True,,,False
2,phrase_line,f,oo2,2,πά,True,False,False,psr,,False
3,phrase_line,e,a,-1,λαι,False,False,True,,,False
4,phrase_line,d,a,-1,τους,False,False,True,kl,,False
5,phrase_line,b,a2,-2,ευ,False,False,False,,,False
6,phrase_line,c,o,1,σε,False,False,False,g,,False
7,phrase_line,d,o,1,βείς,True,False,True,ap,,True
8,phrase_line,e,o,1,τρεις,False,False,True,"g,is",,False
9,phrase_line,e,p0,0,παί,True,False,False,l,l,False
10,phrase_line,c,a2,-2,δας,False,False,True,l,,False
11,phrase_line,e,o2,2,ε,False,False,False,g,,False
12,phrase_line,f,oo,1,δρό,True,False,False,psr,,False
13,phrase_line,e,a,-1,σι,False,False,False,klr,,False
14,phrase_line,d,aa,-1,σας,False,False,True,,,True
15,phrase_line,d,0,0,εν,False,False,True,,,False
16,phrase_line,d,0,0,τη,False,False,True,,,False
17,phrase_line,d,0,0,φλο,False,False,False,"g,is",,False
18,phrase_line,d,0,0,γί,True,True,True,,,False
19,phrase_line,f,p2,2,-,True,False,True,psr,,False
20,phrase_line,e,a,-1,τη,False,False,True,,,False
21,phrase_line,d,a,-1,χαλ,False,False,False,kl,,False
22,phrase_line,b,a2,-2,δα,False,False,False,,,False
23,phrase_line,c,o,1,ϊ,False,False,False,g,,False
24,phrase_line,d,o,1,κή,True,False,True,ap,,True
25,phrase_line,e,o,1,τω,False,False,True,g,,False
26,phrase_line,e,0,0,φω,False,False,False,,,False
27,phrase_line,e,0,0,τι,False,False,False,klr,,False
28,phrase_line,e,0,0,στι,False,False,False,,,False
29,phrase_line,e,0,0,κώ,True,True,True,"g,trr,xkl","trr,xkl",False
30,phrase_line,f,oo,1,-,True,True,True,"g,trr,xkl","trr,xkl",False
31,phrase_line,e,a,-1,-,True,True,True,"trr,xkl","trr,xkl",False
32,phrase_line,d,a,-1,-,True,False,True,"trr,xkl",,False
33,phrase_line,c,a,-1,της,False,False,True,,,False
34,phrase_line,e,o2,2,θε,False,False,False,g,,False
35,phrase_line,f,p,1,ό,True,False,False,"l,ps",l,False
36,phrase_line,d,a2,-2,τη,False,False,False,l,,False
37,phrase_line,c,a,-1,τος,False,False,True,"anr,kl",anr,False
38,phrase_line,b,a,-1,πυ,False,False,False,"anr,kl",,False
39,phrase_line,a,aa,-1,ρί,True,False,True,ap,,True
40,martyria,a,,,,,,,,,True
41,phrase_line,d,o3,3,και,False,False,True,,,False
42,phrase_line,d,p0,0,η,False,False,False,l,l,False
43,phrase_line,b,a2,-2,μάς,True,False,True,l,,False
44,phrase_line,c,o,1,κα,False,False,False,,,False
45,phrase_line,d,o,1,ταύ,True,True,False,dd,,False
46,phrase_line,e,oo,1,-,True,False,False,g,,False
47,phrase_line,e,0,0,γα,False,False,False,,,False
48,phrase_line,e,0,0,σον,False,False,True,dd,,True
49,phrase_line,e,0,0,ευ,False,False,False,,,False
50,phrase_line,e,0,0,λο,False,False,False,,,False
51,phrase_line,f,o,1,γη,False,False,False,,,False
52,phrase_line,g,p,1,τός,True,False,True,anr,,False
53,phrase_line,f,a,-1,ει,False,False,True,,,False
54,phrase_line,g,oo,1,κρά,True,False,False,psr,,False
55,phrase_line,f,a,-1,ζο,False,False,False,klr,klr,False
56,phrase_line,e,a,-1,ντας,False,False,True,klr,,True
57,phrase_line,e,0,0,ο,False,False,True,,,False
58,phrase_line,e,0,0,θε,False,False,False,,,False
59,phrase_line,e,p0,0,ός,True,False,True,l,l,False
60,phrase_line,c,a2,-2,ο,False,False,True,l,,False
61,phrase_line,d,o,1,των,False,False,True,,,False
62,phrase_line,d,0,0,πα,False,False,False,,,False
63,phrase_line,e,oo,1,τέ,True,False,False,"kl,ps",,False
64,phrase_line,"d,c",s,"-1,-1",ρων,False,False,True,g,,False
65,phrase_line,b,a,-1,η,False,False,False,,,False
66,phrase_line,c,o,1,μών,True,False,True,ap,,True
