,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,d,,,,,,,,,True
1,phrase_line,d,0,0,χέρ,True,False,False,,,False
2,phrase_line,d,p0,0,σον,False,False,True,,,False
3,phrase_line,b,a2,-2,α,False,False,False,,,False
4,phrase_line,c,o,1,βυσ,False,False,False,,,False
5,phrase_line,d,o,1,σο,False,False,False,,,False
6,phrase_line,e,o,1,τό,True,False,False,g,,False
7,phrase_line,e,0,0,κον,False,False,True,ap,,True
8,phrase_line,e,0,0,πέ,True,False,False,,,False
9,phrase_line,e,0,0,δον,False,False,True,,,False
10,phrase_line,g,oo2,2,ή,True,False,False,psr,,False
11,phrase_line,f,a,-1,λι,False,False,False,klr,klr,False
12,phrase_line,e,a,-1,ος,False,True,True,"klr,trr,xkl","trr,xkl",False
13,phrase_line,f,oo,1,-,False,True,True,"g,trr,xkl","trr,xkl",False
14,phrase_line,e,a,-1,-,False,True,True,"trr,xkl","trr,xkl",False
15,phrase_line,d,a,-1,-,False,False,True,"trr,xkl",,False
16,phrase_line,c,a,-1,ε,False,False,False,,,False
17,phrase_line,e,o2,2,πε,False,False,False,,,False
18,phrase_line,f,oo,1,πό,True,False,False,"anr,ps","anr,ps",False
19,phrase_line,d,a2,-2,λευ,False,False,False,anr,,False
20,phrase_line,d,0,0,σέ,True,True,True,v,v,False
21,phrase_line,c,a,-1,-,True,False,True,v,,False
22,phrase_line,c,0,0,πο,False,True,False,v,v,False
23,phrase_line,b,a,-1,-,False,False,False,v,,False
24,phrase_line,d,o2,2,τέ,True,False,True,ap,,True
25,phrase_line,d,0,0,ω,False,False,False,,,False
26,phrase_line,d,0,0,σεί,True,False,True,,,False
27,phrase_line,e,oo,1,τεί,True,False,False,psr,,False
28,phrase_line,d,a,-1,χος,False,False,True,kl,,False
29,phrase_line,b,a2,-2,γαρ,False,False,True,,,False
30,phrase_line,c,o,1,ε,False,False,False,,,False
31,phrase_line,d,o,1,πά,True,True,False,kl,,False
32,phrase_line,e,oo,1,-,True,False,False,g,,False
33,phrase_line,e,0,0,γη,False,False,True,ap,,True
34,phrase_line,e,oo0,0,ε,False,False,False,psr,,False
35,phrase_line,d,a,-1,κα,False,False,False,klr,,False
36,phrase_line,c,a,-1,τέ,True,True,False,l,l,False
37,phrase_line,"d,e",kkoo,"1,1",-,True,False,False,l,,False
38,phrase_line,e,p0,0,ρω,False,False,False,klr,,False
39,phrase_line,d,a,-1,θεν,False,False,True,,,False
40,phrase_line,c,a,-1,ύ,True,True,False,"trr,xkl","trr,xkl",False
41,phrase_line,d,oo,1,-,True,True,False,"g,trr,xkl","trr,xkl",False
42,phrase_line,c,a,-1,-,True,True,False,"trr,xkl","trr,xkl",False
43,phrase_line,b,a,-1,-,True,False,False,"trr,xkl",,False
44,phrase_line,a,aa,-1,δωρ,False,False,True,,,True
45,phrase_line,a,0,0,λα,False,False,False,,,False
46,phrase_line,d,o3,3,ώ,True,False,True,,,False
47,phrase_line,d,0,0,πε,False,False,False,,,False
48,phrase_line,d,0,0,ζο,False,False,False,,,False
49,phrase_line,d,p0,0,πο,False,False,False,l,l,False
50,phrase_line,b,a2,-2,ντο,False,False,False,l,,False
51,phrase_line,c,o,1,πο,False,False,False,,,False
52,phrase_line,d,o,1,ρού,True,True,False,dd,,False
53,phrase_line,e,oo,1,-,True,False,False,g,,False
54,phrase_line,e,0,0,ντι,False,False,True,ap,,True
55,martyria,e,,,,,,,,,True
56,phrase_line,e,0,0,και,False,False,True,,,False
57,phrase_line,e,0,0,θε,False,False,False,,,False
58,phrase_line,f,o,1,α,False,False,False,,,False
59,phrase_line,g,p,1,ρέ,True,False,False,l,l,False
60,phrase_line,e,a2,-2,στως,False,False,True,l,,False
61,phrase_line,f,p,1,μέλ,True,False,False,,,False
62,phrase_line,d,a2,-2,πο,False,False,False,vr,,False
63,phrase_line,e,o,1,ντι,False,False,True,ap,,True
64,phrase_line,g,oo2,2,ά,True,False,False,psr,,False
65,phrase_line,f,a,-1,σω,False,False,False,klr,,False
66,phrase_line,e,a,-1,μεν,False,False,True,,,False
67,phrase_line,e,0,0,τω,False,False,True,,,False
68,phrase_line,e,0,0,κυ,False,False,False,,,False
69,phrase_line,f,p,1,ρί,True,False,False,klr,,False
70,phrase_line,e,a,-1,ω,False,False,True,,,True
71,phrase_line,e,0,0,εν,False,False,False,,,False
72,phrase_line,e,p0,0,δό,True,False,False,l,l,False
73,phrase_line,c,a2,-2,ξως,False,False,True,l,,False
74,phrase_line,d,o,1,γαρ,False,False,True,,,False
75,phrase_line,d,0,0,δε,False,False,False,g,,False
76,phrase_line,e,oo,1,δό,True,True,False,"kl,ps",,False
77,phrase_line,"d,c",s,"-1,-1",-,True,False,False,g,,False
78,phrase_line,b,a,-1,ξα,False,False,False,,,False
79,phrase_line,c,o,1,σται,False,False,True,ap,,True
