,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,d,,,,,,,,,True
1,phrase_line,b,a2,-2,τους,False,False,True,,,False
2,phrase_line,d,o2,2,σους,False,False,True,,,False
3,phrase_line,d,0,0,υ,False,False,False,,,False
4,phrase_line,d,0,0,μνο,False,False,False,,,False
5,phrase_line,e,p,1,λό,True,False,False,,,False
6,phrase_line,d,a,-1,γους,False,False,True,,,False
7,phrase_line,b,a2,-2,θε,False,False,False,,,False
8,phrase_line,c,p,1,ο,False,False,False,,,False
9,phrase_line,a,a2,-2,τό,True,True,False,,,False
10,phrase_line,"b,c",kkoo,"1,1",-,True,False,False,,,False
11,phrase_line,b,a,-1,κε,False,False,True,ap,,True
12,martyria,b,,,,,,,,,True
13,phrase_line,a,a,-1,ως,False,False,True,,,False
14,phrase_line,a,0,0,ζώ,True,True,False,v,v,False
15,phrase_line,G,a,-1,-,True,False,False,v,,False
16,phrase_line,a,o,1,σα,False,False,True,,,False
17,phrase_line,c,oo2,2,και,False,False,True,,,False
18,phrase_line,b,a,-1,ά,True,False,False,,,False
19,phrase_line,a,a,-1,φθο,False,False,False,,,False
20,phrase_line,F,a2,-2,νος,False,False,True,,,False
21,phrase_line,G,o,1,πη,False,False,False,,,False
22,phrase_line,a,o,1,γή,True,False,True,ap,,True
23,phrase_line,G,a,-1,θί,True,False,False,,,False
24,phrase_line,a,o,1,α,False,False,False,,,False
25,phrase_line,b,o,1,σον,False,False,True,,,False
26,phrase_line,c,p,1,συ,False,False,False,,,False
27,phrase_line,b,a,-1,γκρο,False,False,False,,,False
28,phrase_line,d,oo2,2,τή,True,False,False,,,False
29,phrase_line,c,a,-1,σα,False,False,False,,,False
30,phrase_line,a,a2,-2,ντας,False,False,True,,,True
31,martyria,a,,,,,,,,,True
32,phrase_line,b,o,1,πνευ,False,False,False,,,False
33,phrase_line,b,0,0,μα,False,False,False,,,False
34,phrase_line,c,p,1,τι,False,False,False,,,False
35,phrase_line,a,a2,-2,κόν,True,False,True,,,False
36,phrase_line,G,a,-1,στε,False,False,False,,,False
37,phrase_line,c,p3,3,ρέ,True,False,False,,,False
38,phrase_line,c,0,0,ω,False,True,False,v,v,False
39,phrase_line,b,a,-1,-,False,True,False,v,,False
40,phrase_line,b,p0,0,-,False,True,False,,,False
41,phrase_line,a,a,-1,-,False,False,False,,,False
42,phrase_line,a,0,0,σον,False,False,True,ap,,True
43,martyria,a,,,,,,,,,True
44,phrase_line,G,a,-1,και,False,False,True,,,False
45,phrase_line,a,o,1,εν,False,False,True,,,False
46,phrase_line,b,o,1,τη,False,False,True,,,False
47,phrase_line,c,p,1,θεί,True,False,False,,,False
48,phrase_line,b,a,-1,α,False,False,True,,,False
49,phrase_line,d,p2,2,δό,True,False,False,,,False
50,phrase_line,c,a,-1,ξη,False,False,True,,,False
51,phrase_line,d,o,1,σου,False,False,True,ap,,True
52,phrase_line,f,p2,2,στε,False,False,False,,,False
53,phrase_line,d,a2,-2,φά,True,False,False,,,False
54,phrase_line,c,a,-1,νων,False,False,True,,,False
55,phrase_line,d,p,1,δό,True,True,False,,,False
56,phrase_line,c,a,-1,-,True,True,False,,,False
57,phrase_line,b,a,-1,-,True,False,False,,,False
58,phrase_line,a,aa,-1,ξης,False,False,True,,,False
59,phrase_line,b,o,1,α,False,False,False,,,False
60,phrase_line,c,p,1,ξί,True,False,False,,,False
61,phrase_line,a,e,-2,ω,False,False,False,v,,False
62,phrase_line,b,o,1,σον,False,False,True,ap,,True
