,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,d,,,,,,,,,True
1,phrase_line,b,a2,-2,ά,True,False,False,,,False
2,phrase_line,b,p0,0,πας,False,False,True,,,False
3,phrase_line,G,a2,-2,γη,False,False,False,,,False
4,phrase_line,a,o,1,γε,False,False,False,,,False
5,phrase_line,b,o,1,νής,True,False,True,ap,,True
6,martyria,b,,,,,,,,,True
7,phrase_line,b,0,0,σκιρ,False,False,False,,,False
8,phrase_line,f,o4,4,τά,True,False,False,,,False
9,phrase_line,f,p0,0,τω,False,False,True,,,False
10,phrase_line,e,a,-1,τω,False,False,True,,,False
11,phrase_line,g,oo2,2,πνεύ,True,False,False,,,False
12,phrase_line,f,a,-1,μα,False,False,False,,,False
13,phrase_line,d,pe,-2,τι,False,False,True,,,True
14,phrase_line,b,a2,-2,λα,False,False,False,,,False
15,phrase_line,b,0,0,μπα,False,False,False,,,False
16,phrase_line,d,o2,2,δου,False,False,False,,,False
17,phrase_line,e,oo,1,χού,True,False,False,,,False
18,phrase_line,d,a,-1,με,False,False,False,,,False
19,phrase_line,b,a2,-2,νος,False,False,True,ap,,True
20,phrase_line,b,p0,0,πα,False,False,False,,,False
21,phrase_line,a,a,-1,νη,False,True,False,v,v,False
22,phrase_line,G,a,-1,-,False,False,False,v,,False
23,phrase_line,a,o,1,γυ,False,False,False,,,False
24,phrase_line,b,o,1,ρι,False,False,False,,,False
25,phrase_line,c,p,1,ζέ,True,False,False,,,False
26,phrase_line,a,a2,-2,τω,False,False,True,,,False
27,phrase_line,b,o,1,δέ,True,False,True,ap,,True
28,martyria,b,,,,,,,,,True
29,phrase_line,G,a2,-2,α,False,False,False,,,False
30,phrase_line,b,o2,2,ΰ,True,False,False,,,False
31,phrase_line,c,o,1,λων,False,False,True,,,False
32,phrase_line,d,o,1,νό,True,False,False,,,False
33,phrase_line,d,p0,0,ων,False,False,True,,,True
34,phrase_line,b,a2,-2,φύ,True,False,False,,,False
35,phrase_line,b,0,0,σις,False,False,True,,,False
36,phrase_line,d,o2,2,γε,False,False,False,,,False
37,phrase_line,e,oo,1,ραί,True,False,False,,,False
38,phrase_line,d,a,-1,ρου,False,False,False,,,False
39,phrase_line,b,a2,-2,σα,False,False,True,ap,,True
40,phrase_line,G,a2,-2,την,False,False,True,,,False
41,phrase_line,a,o,1,ι,False,False,False,,,False
42,phrase_line,b,o,1,ε,False,False,False,,,False
43,phrase_line,c,p,1,ράν,True,False,True,,,False
44,phrase_line,b,a,-1,πα,False,False,False,,,False
45,phrase_line,d,o2,2,νή,True,False,False,,,False
46,phrase_line,d,0,0,γυ,False,False,False,,,False
47,phrase_line,e,p,1,ριν,False,False,True,,,True
48,phrase_line,d,a,-1,τής,True,False,True,,,False
49,phrase_line,e,o,1,θε,False,False,False,,,False
50,phrase_line,f,o,1,ο,False,False,False,,,False
51,phrase_line,g,p,1,μή,True,True,False,,,False
52,phrase_line,f,a,-1,-,True,False,False,,,False
53,phrase_line,f,0,0,το,False,True,False,v,v,False
54,phrase_line,e,a,-1,-,False,True,False,v,,False
55,phrase_line,e,0,0,-,False,True,False,v,v,False
56,phrase_line,d,a,-1,-,False,False,False,v,,False
57,phrase_line,d,0,0,ρος,False,False,True,ap,,True
58,martyria,d,,,,,,,,,True
59,phrase_line,c,a,-1,και,False,False,True,,,False
60,phrase_line,f,o3,3,βο,False,False,False,,,False
61,phrase_line,f,0,0,ά,True,True,False,v,v,False
62,phrase_line,e,a,-1,-,True,True,False,v,,False
63,phrase_line,e,p0,0,-,True,True,False,,,False
64,phrase_line,d,a,-1,-,True,False,False,,,False
65,phrase_line,d,0,0,τω,False,False,True,dd,,True
66,phrase_line,d,p0,0,χαί,True,False,False,,,False
67,phrase_line,a,a3,-3,ροις,False,False,True,,,False
68,phrase_line,b,o,1,παμ,False,False,False,,,False
69,phrase_line,d,o2,2,μα,False,False,False,,,False
70,phrase_line,e,oo,1,κά,True,False,False,,,False
71,phrase_line,d,a,-1,ρι,False,False,False,,,False
72,phrase_line,b,a2,-2,στε,False,False,True,ap,,True
73,phrase_line,b,0,0,θε,False,False,False,,,False
74,phrase_line,b,0,0,ο,False,False,False,,,False
75,phrase_line,f,p4,4,τό,True,False,False,,,False
76,phrase_line,e,a,-1,κε,False,False,True,,,False
77,phrase_line,d,a,-1,α,False,True,False,v,v,False
78,phrase_line,c,a,-1,-,False,False,False,v,,False
79,phrase_line,d,o,1,γνή,True,True,True,v,v,False
80,phrase_line,"c,b",s,"-1,-1",-,True,True,True,v,,False
81,phrase_line,a,a,-1,-,True,False,True,,,False
82,phrase_line,a,0,0,α,False,False,False,,,False
83,phrase_line,b,o,1,ει,False,False,False,,,False
84,phrase_line,c,p,1,πάρ,True,False,False,,,False
85,phrase_line,a,e,-2,θε,False,False,False,v,,False
86,phrase_line,b,o,1,νε,False,False,True,ap,,True
