,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,d,,,,,,,,,True
1,phrase_line,"e,f",ookk,"1,1",λύ,True,False,False,,,False
2,phrase_line,e,a,-1,ει,False,False,True,,,False
3,phrase_line,d,a,-1,τά,True,False,True,,,False
4,phrase_line,d,0,0,δε,False,False,False,,,False
5,phrase_line,e,oo,1,σμά,True,False,True,,,False
6,phrase_line,d,a,-1,καί,True,False,True,,,False
7,phrase_line,c,a,-1,δρο,False,False,False,,,False
8,phrase_line,d,o,1,σί,True,False,False,,,False
9,phrase_line,e,o,1,ζει,False,True,True,dd,,False
10,phrase_line,f,oo,1,-,False,False,True,kl,,False
11,phrase_line,d,a2,-2,τήν,True,False,True,,,False
12,phrase_line,e,o,1,φλό,True,False,False,,,False
13,phrase_line,e,0,0,γα,False,False,True,dd,,True
14,phrase_line,e,0,0,ο,False,False,True,,,False
15,phrase_line,e,0,0,τρισ,False,False,False,,,False
16,phrase_line,e,0,0,σο,False,False,False,,,False
17,phrase_line,e,0,0,φεγ,False,False,False,,,False
18,phrase_line,g,oo2,2,γής,True,False,True,,,False
19,phrase_line,f,a,-1,τής,True,False,True,,,False
20,phrase_line,e,a,-1,θε,False,False,False,,,False
21,phrase_line,f,p,1,αρ,False,False,False,,,False
22,phrase_line,e,a,-1,χί,True,False,False,,,False
23,phrase_line,d,a,-1,ας,False,False,True,kl,,False
24,phrase_line,c,aa,-1,τύ,True,True,False,,,False
25,phrase_line,d,oo,1,-,True,False,False,,,False
26,phrase_line,d,0,0,πος,False,False,True,dd,,True
27,phrase_line,G,a4,-4,υ,False,False,False,,,False
28,phrase_line,d,o4,4,μνού,True,False,False,,,False
29,phrase_line,d,0,0,σι,False,False,True,,,False
30,phrase_line,"e,f",ookk,"1,1",παί,True,False,False,,,False
31,phrase_line,e,a,-1,δες,False,False,True,,,False
32,phrase_line,d,a,-1,ευ,False,False,False,kl,,False
33,phrase_line,c,a,-1,λο,False,False,False,,,False
34,phrase_line,d,o,1,γεί,True,False,True,,,False
35,phrase_line,e,o,1,δέ,True,True,True,dd,,False
36,phrase_line,f,oo,1,-,True,False,True,kl,,False
37,phrase_line,d,a2,-2,τόν,True,False,True,,,False
38,phrase_line,e,o,1,μό,True,False,False,,,False
39,phrase_line,e,0,0,νον,False,False,True,dd,,True
40,phrase_line,e,0,0,σω,False,False,False,,,False
41,phrase_line,g,oo2,2,τή,True,False,False,,,False
42,phrase_line,f,a,-1,ρα,False,False,True,,,False
43,phrase_line,e,a,-1,καί,True,False,True,,,False
44,phrase_line,e,0,0,παν,False,False,False,,,False
45,phrase_line,e,0,0,τουρ,False,False,False,,,False
46,phrase_line,e,0,0,γόν,True,False,True,,,False
47,phrase_line,f,p,1,ως,False,False,True,,,False
48,phrase_line,e,a,-1,ευ,False,False,False,,,False
49,phrase_line,d,a,-1,ε,False,False,False,kl,,False
50,phrase_line,c,aa,-1,ργέ,True,True,False,,,False
51,phrase_line,d,oo,1,-,True,False,False,,,False
52,phrase_line,d,0,0,την,False,False,True,dd,,True
53,phrase_line,G,a4,-4,η,False,False,True,,,False
54,phrase_line,d,o4,4,δη,False,False,False,,,False
55,phrase_line,d,0,0,μι,False,False,False,,,False
56,phrase_line,d,0,0,ουρ,False,False,False,,,False
57,phrase_line,f,p2,2,γη,False,False,False,,,False
58,phrase_line,e,a,-1,θεί,True,True,False,om,om,False
59,phrase_line,f,oo,1,-,True,True,False,om,om,False
60,phrase_line,e,a,-1,-,True,True,False,om,om,False
61,phrase_line,d,a,-1,-,True,False,False,om,,False
62,phrase_line,c,a,-1,σα,False,False,True,,,True
63,phrase_line,d,o,1,σύ,True,False,False,,,False
64,phrase_line,f,oo2,2,μπα,False,False,False,,,False
65,phrase_line,e,a,-1,σα,False,False,True,,,False
66,phrase_line,d,aa,-1,κτί,True,False,False,,,False
67,phrase_line,d,0,0,σις,False,False,True,,,True
