,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,b,,,,,,,,,True
1,phrase_line,d,o2,2,λύ,True,False,False,,,False
2,phrase_line,d,0,0,ει,False,False,True,,,False
3,phrase_line,d,0,0,τά,True,False,True,,,False
4,phrase_line,d,0,0,δε,False,False,False,,,False
5,phrase_line,d,oo0,0,σμά,True,False,True,psr,,False
6,phrase_line,c,a,-1,καί,True,False,True,,,False
7,phrase_line,b,a,-1,δρο,False,False,False,"g,is",,False
8,phrase_line,d,o2,2,σί,True,False,False,,,False
9,phrase_line,d,0,0,ζει,False,True,True,"klr,l,v","klr,l,v",False
10,phrase_line,"c,b",s,"-1,-1",-,False,True,True,"klr,l,v",l,False
11,phrase_line,c,p,1,-,False,False,True,l,,False
12,phrase_line,a,a2,-2,τήν,True,False,True,,,False
13,phrase_line,b,o,1,φλό,True,False,False,"g,is",,False
14,phrase_line,b,0,0,γα,False,False,True,ap,,True
15,martyria,b,,,,,,,,,True
16,phrase_line,b,0,0,ο,False,False,True,,,False
17,phrase_line,b,0,0,τρισ,False,False,False,"g,is",,False
18,phrase_line,b,0,0,σο,False,False,False,,,False
19,phrase_line,b,0,0,φεγ,False,False,False,,,False
20,phrase_line,d,oo2,2,γής,True,False,True,psr,,True
21,phrase_line,c,a,-1,τής,True,False,True,kl,,False
22,phrase_line,a,a2,-2,θε,False,False,False,,,False
23,phrase_line,a,0,0,αρ,False,False,False,,,False
24,phrase_line,b,oo,1,χί,True,False,False,psr,,False
25,phrase_line,a,a,-1,ας,False,False,True,,,False
26,phrase_line,F,a2,-2,τύ,True,True,False,,,False
27,phrase_line,"G,a",kkoo,"1,1",-,True,False,False,"g,l",,False
28,phrase_line,a,0,0,πος,False,False,True,ap,,True
29,phrase_line,D,a4,-4,υ,False,False,False,,,False
30,phrase_line,a,o4,4,μνού,True,False,False,,,False
31,phrase_line,a,0,0,σι,False,False,True,,,True
32,phrase_line,d,oo3,3,παί,True,False,False,psr,,False
33,phrase_line,c,a,-1,δες,False,False,True,kl,,False
34,phrase_line,a,a2,-2,ευ,False,False,False,,,False
35,phrase_line,b,o,1,λο,False,False,False,,,False
36,phrase_line,d,p2,2,γεί,True,False,True,l,l,False
37,phrase_line,c,a,-1,δέ,True,True,True,"klr,l,v","klr,l,v",False
38,phrase_line,b,a,-1,-,True,True,True,"klr,l,v",l,False
39,phrase_line,c,p,1,-,True,False,True,l,,False
40,phrase_line,a,a2,-2,τόν,True,False,True,,,False
41,phrase_line,c,p2,2,μό,True,False,False,"g,l",l,False
42,phrase_line,b,a,-1,νον,False,False,True,"ap,l",,True
43,phrase_line,b,0,0,σω,False,False,False,,,False
44,phrase_line,e,p3,3,τή,True,False,False,anr,,False
45,phrase_line,d,a,-1,ρα,False,False,True,,,False
46,phrase_line,d,0,0,καί,True,False,True,,,False
47,phrase_line,d,oo0,0,παν,False,False,False,psr,,False
48,phrase_line,c,a,-1,τουρ,False,False,False,klr,,False
49,phrase_line,b,aa,-1,γόν,True,False,True,,,True
50,phrase_line,d,o2,2,ως,False,False,True,,,False
51,phrase_line,d,oo0,0,ευ,False,False,False,psr,,False
52,phrase_line,c,a,-1,ε,False,False,False,,,False
53,phrase_line,b,a,-1,ργέ,True,True,False,"klr,tr",tr,False
54,phrase_line,c,oo,1,-,True,True,False,"g,tr",tr,False
55,phrase_line,b,a,-1,-,True,True,False,tr,tr,False
56,phrase_line,a,a,-1,-,True,False,False,tr,,False
57,phrase_line,a,0,0,την,False,False,True,ap,,True
58,martyria,a,,,,,,,,,True
59,phrase_line,a,0,0,η,False,False,True,,,False
60,phrase_line,a,0,0,δη,False,False,False,,,False
61,phrase_line,a,0,0,μι,False,False,False,,,False
62,phrase_line,c,o2,2,ουρ,False,False,False,g,,False
63,phrase_line,d,o,1,γη,False,False,False,,,False
64,phrase_line,e,p,1,θεί,True,False,False,l,l,False
65,phrase_line,c,a2,-2,σα,False,False,True,l,,True
66,phrase_line,d,o,1,σύ,True,False,False,,,False
67,phrase_line,d,oo0,0,μπα,False,False,False,psr,,False
68,phrase_line,c,a,-1,σα,False,False,True,,,False
69,phrase_line,a,a2,-2,κτί,True,True,False,,,False
70,phrase_line,c,p2,2,-,True,False,False,"g,l",l,False
71,phrase_line,b,a,-1,σις,False,False,True,"ap,l",,True
