,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,D,,,,,,,,,True
1,phrase_line,a,o4,4,ορ,False,False,False,,,False
2,phrase_line,a,p0,0,θρί,True,False,False,,,False
3,phrase_line,G,a,-1,ζο,False,False,False,,,False
4,phrase_line,a,o,1,ντες,False,False,True,,,False
5,phrase_line,b,o,1,βο,False,False,False,,,False
6,phrase_line,"c,d",okk,"1,1",ώ,True,False,False,,,False
7,phrase_line,d,p0,0,μεν,False,False,True,,,False
8,phrase_line,c,a,-1,σοι,False,False,True,,,False
9,phrase_line,d,p,1,κύ,True,False,False,,,False
10,phrase_line,c,a,-1,ρι,False,True,False,v,v,False
11,phrase_line,b,a,-1,-,False,False,False,v,,False
12,phrase_line,c,o,1,ε,False,False,True,ap,,True
13,phrase_line,e,p2,2,σώ,True,False,False,,,False
14,phrase_line,c,a2,-2,σον,False,True,True,,,False
15,phrase_line,d,p,1,-,False,False,True,,,False
16,phrase_line,c,a,-1,η,False,True,False,v,v,False
17,phrase_line,b,a,-1,-,False,False,False,v,,False
18,phrase_line,c,o,1,μάς,True,False,True,ap,,True
19,phrase_line,c,p0,0,συ,False,False,True,,,False
20,phrase_line,a,a2,-2,γαρ,False,False,True,,,False
21,phrase_line,b,o,1,ει,False,False,True,,,False
22,phrase_line,"c,d",ookk,"1,1",θε,False,False,False,,,False
23,phrase_line,c,a,-1,ός,True,True,True,v,v,False
24,phrase_line,b,a,-1,-,True,False,True,v,,False
25,phrase_line,b,p0,0,η,False,True,False,,,False
26,phrase_line,a,a,-1,-,False,False,False,,,False
27,phrase_line,a,0,0,μών,True,False,True,dd,,True
28,phrase_line,G,a,-1,εκ,False,False,False,,,False
29,phrase_line,a,p,1,τός,True,False,True,,,False
30,phrase_line,G,a,-1,σου,False,False,True,,,False
31,phrase_line,a,p,1,άλ,True,False,False,,,False
32,phrase_line,F,a2,-2,λον,False,False,True,,,False
33,phrase_line,G,o,1,ουκ,False,False,True,,,False
34,phrase_line,a,o,1,οί,True,True,False,dd,,False
35,phrase_line,"b,c",kkoo,"1,1",-,True,True,False,,,False
36,phrase_line,d,oo,1,-,True,False,False,,,False
37,phrase_line,c,pa,-1,δα,False,True,False,,,False
38,phrase_line,"b,a",s,"-1,-1",-,False,True,False,,,False
39,phrase_line,G,a,-1,-,False,False,False,,,False
40,phrase_line,a,o,1,μεν,False,False,True,ap,,True
