,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,G,,,,,,,,,True
1,phrase_line,G,0,0,οι,False,False,True,,,False
2,phrase_line,c,o3,3,παί,True,False,False,,,False
3,phrase_line,b,a,-1,δες,False,False,True,,,False
4,phrase_line,a,a,-1,εν,False,False,True,,,False
5,phrase_line,b,o,1,βα,False,True,False,,,False
6,phrase_line,c,oo,1,-,False,True,False,,,False
7,phrase_line,b,a,-1,-,False,True,False,,,False
8,phrase_line,a,a,-1,-,False,False,False,,,False
9,phrase_line,G,aa,-1,βυ,False,False,False,,,False
10,phrase_line,a,p,1,λώ,True,False,False,,,False
11,phrase_line,G,a,-1,νι,False,False,True,ap,,True
12,phrase_line,G,0,0,κα,False,False,False,,,False
13,phrase_line,a,p,1,μί,True,False,False,,,False
14,phrase_line,G,a,-1,νου,False,False,True,,,False
15,phrase_line,a,o,1,φλό,True,True,False,v,v,False
16,phrase_line,G,a,-1,-,True,False,False,v,,False
17,phrase_line,a,o,1,γα,False,False,True,,,False
18,phrase_line,b,o,1,ουκ,False,False,True,,,False
19,phrase_line,c,oo,1,έπ,True,False,False,,,False
20,phrase_line,b,a,-1,τη,False,False,False,,,False
21,phrase_line,G,a2,-2,ξαν,False,False,True,ap,,True
22,martyria,G,,,,,,,,,True
23,phrase_line,G,0,0,αλλ,False,False,True,,,False
24,phrase_line,G,0,0,εν,False,False,True,,,False
25,phrase_line,G,0,0,μέ,True,True,False,dd,,False
26,phrase_line,"a,b",kkoo,"1,1",-,True,True,False,,,False
27,phrase_line,c,oo,1,-,True,False,False,,,False
28,phrase_line,c,0,0,σω,False,False,True,,,False
29,phrase_line,c,0,0,φλο,False,False,False,,,False
30,phrase_line,c,0,0,γός,True,False,True,,,False
31,phrase_line,c,p0,0,εμ,False,False,False,,,False
32,phrase_line,b,a,-1,βλη,False,False,False,,,False
33,phrase_line,c,p,1,θέ,True,False,False,,,False
34,phrase_line,b,a,-1,ντες,False,False,True,,,True
35,phrase_line,c,oo,1,δρο,False,False,False,,,False
36,phrase_line,b,a,-1,σι,False,False,False,,,False
37,phrase_line,G,a2,-2,ζό,True,True,False,nenano,,False
38,phrase_line,c,oo3,3,-,True,False,False,,,False
39,phrase_line,a,a2,-2,με,False,False,False,,,False
40,phrase_line,c,k,2,νοι,False,True,True,v,v,False
41,phrase_line,a,e,-2,-,False,False,True,v,,False
42,phrase_line,b,o,1,έ,True,False,False,dd,,False
43,phrase_line,a,a,-1,ψαλ,False,True,False,ve,ve,False
44,phrase_line,G,a,-1,-,False,False,False,ve,,False
45,phrase_line,G,0,0,λον,False,False,True,dd,,True
46,martyria,G,,,,,,,,,True
47,phrase_line,G,0,0,ευ,False,False,False,,,False
48,phrase_line,G,0,0,λο,False,False,False,,,False
49,phrase_line,G,0,0,γη,False,False,False,,,False
50,phrase_line,d,p4,4,τός,True,False,True,,,False
51,phrase_line,c,a,-1,ει,False,False,True,,,False
52,phrase_line,d,oo,1,κύ,True,False,False,,,False
53,phrase_line,c,a,-1,ρι,False,False,False,,,False
54,phrase_line,b,aa,-1,ε,False,False,True,,,True
55,phrase_line,b,0,0,ο,False,False,True,,,False
56,phrase_line,b,0,0,θε,False,False,False,,,False
57,phrase_line,c,p,1,ός,True,False,True,,,False
58,phrase_line,b,a,-1,των,False,False,True,,,False
59,phrase_line,G,a2,-2,πα,False,False,False,,,False
60,phrase_line,"a,b",okk,"1,1",τέ,True,False,False,,,False
61,phrase_line,c,oo,1,ρων,False,False,True,,,False
62,phrase_line,b,a,-1,η,False,False,False,,,False
63,phrase_line,G,a2,-2,μών,True,False,True,ap,,True
