,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,G,,,,,,,,,True
1,phrase_line,G,0,0,προς,False,False,True,,,False
2,phrase_line,G,0,0,σε,False,False,True,,,False
3,phrase_line,G,0,0,ορ,False,False,False,,,False
4,phrase_line,a,p,1,θρί,True,False,False,,,False
5,phrase_line,G,a,-1,ζω,False,True,True,,,False
6,phrase_line,a,oo,1,-,False,True,True,,,False
7,phrase_line,G,a,-1,-,False,True,True,,,False
8,phrase_line,a,oo,1,-,False,True,True,,,False
9,phrase_line,b,o,1,-,False,False,True,ap,,True
10,phrase_line,a,a,-1,τον,False,False,True,,,False
11,phrase_line,b,p,1,δι,False,False,False,,,False
12,phrase_line,a,a,-1,ευ,False,False,False,,,False
13,phrase_line,b,o,1,σπλαγ,False,False,False,,,False
14,phrase_line,b,0,0,χνί,True,True,False,v,v,False
15,phrase_line,"a,G",s,"-1,-1",-,True,True,False,v,,False
16,phrase_line,a,p,1,-,True,True,False,,,False
17,phrase_line,G,a,-1,-,True,False,False,,,False
18,phrase_line,G,0,0,αν,False,False,True,ap,,True
19,martyria,G,,,,,,,,,True
20,phrase_line,G,0,0,σε,False,False,False,,,False
21,phrase_line,G,0,0,αυ,False,False,False,,,False
22,phrase_line,a,o,1,τόν,True,False,True,,,False
23,phrase_line,a,0,0,τω,False,False,True,,,False
24,phrase_line,a,0,0,πε,False,False,False,,,False
25,phrase_line,a,0,0,σό,True,True,False,v,v,False
26,phrase_line,F,e,-2,-,True,False,False,v,,False
27,phrase_line,G,o,1,ντι,False,True,True,,,False
28,phrase_line,a,oo,1,-,False,True,True,,,False
29,phrase_line,G,a,-1,-,False,True,True,,,False
30,phrase_line,a,oo,1,-,False,True,True,,,False
31,phrase_line,b,o,1,-,False,False,True,dd,,True
32,phrase_line,a,a,-1,κε,False,False,False,,,False
33,phrase_line,b,p,1,νώ,True,False,False,,,False
34,phrase_line,a,a,-1,σα,False,False,False,,,False
35,phrase_line,b,o,1,ντα,False,True,True,,,False
36,phrase_line,c,oo,1,-,False,True,True,,,False
37,phrase_line,b,a,-1,-,False,True,True,,,False
38,phrase_line,a,a,-1,-,False,False,True,,,False
39,phrase_line,G,a,-1,α,False,False,False,,,False
40,phrase_line,a,p,1,τρέ,True,False,False,,,False
41,phrase_line,G,aa,-1,πτως,False,False,True,ap,,True
42,martyria,G,,,,,,,,,True
43,phrase_line,G,0,0,και,False,False,True,,,False
44,phrase_line,a,p,1,μέ,True,False,False,,,False
45,phrase_line,G,a,-1,χρι,False,False,True,,,False
46,phrase_line,a,o,1,πα,False,True,False,v,v,False
47,phrase_line,F,e,-2,-,False,False,False,v,,False
48,phrase_line,G,o,1,θών,True,True,True,,,False
49,phrase_line,a,oo,1,-,True,True,True,,,False
50,phrase_line,G,a,-1,-,True,True,True,,,False
51,phrase_line,a,oo,1,-,True,True,True,,,False
52,phrase_line,b,p,1,-,True,True,True,,,False
53,phrase_line,a,a,-1,-,True,True,True,,,False
54,phrase_line,"G,F",s,"-1,-1",-,True,True,True,,,False
55,phrase_line,G,o,1,-,True,True,True,kr,,False
56,phrase_line,E,a2,-2,-,True,True,True,,,False
57,phrase_line,F,oo,1,-,True,True,True,,,False
58,phrase_line,E,a,-1,-,True,True,True,,,False
59,phrase_line,D,aa,-1,-,True,False,True,,,True
60,phrase_line,b,o5,5,α,False,False,False,,,False
61,phrase_line,b,0,0,πα,False,False,False,,,False
62,phrase_line,d,p2,2,θώς,True,False,True,,,False
63,phrase_line,c,a,-1,υ,False,False,False,,,False
64,phrase_line,b,a,-1,πο,False,False,False,,,False
65,phrase_line,G,a2,-2,κύ,True,True,False,,,False
66,phrase_line,c,oo3,3,-,True,False,False,,,False
67,phrase_line,a,a2,-2,ψα,False,False,False,,,False
68,phrase_line,c,k,2,ντα,False,True,True,v,v,False
69,phrase_line,a,e,-2,-,False,False,True,v,,False
70,phrase_line,b,o,1,λό,True,False,False,dd,,False
71,phrase_line,a,a,-1,γε,False,False,True,,,False
72,phrase_line,G,a,-1,θε,False,False,False,,,False
73,phrase_line,b,k,2,ού,True,True,True,v,v,False
74,phrase_line,a,a,-1,-,True,True,True,v,,False
75,phrase_line,b,p,1,-,True,False,True,,,True
76,phrase_line,G,a2,-2,την,False,False,True,,,False
77,phrase_line,a,o,1,ει,False,False,False,,,False
78,phrase_line,"b,c",okk,"1,1",ρή,True,False,False,,,False
79,phrase_line,d,p,1,νην,False,False,True,,,False
80,phrase_line,G,a4,-4,πα,False,False,False,,,False
81,phrase_line,a,p,1,ρά,True,False,False,,,False
82,phrase_line,G,a,-1,σχου,False,False,True,,,False
83,phrase_line,a,o,1,μοι,False,False,True,,,False
84,phrase_line,b,o,1,φι,False,False,False,,,False
85,phrase_line,c,oo,1,λάν,True,False,False,,,False
86,phrase_line,b,a,-1,θρω,False,False,False,,,False
87,phrase_line,G,a2,-2,πε,False,False,True,ap,,True
