,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,E,,,,,,,,,True
1,phrase_line,G,o2,2,θε,False,False,False,,,False
2,phrase_line,a,o,1,όν,True,False,True,kr,,False
3,phrase_line,G,a,-1,αν,False,False,False,,,False
4,phrase_line,a,p,1,θρώ,True,False,False,,,False
5,phrase_line,G,a,-1,ποις,False,False,True,,,True
6,phrase_line,G,0,0,ι,False,False,False,,,False
7,phrase_line,a,p,1,δείν,True,False,True,,,False
8,phrase_line,G,a,-1,α,False,False,False,,,False
9,phrase_line,G,oo0,0,δύ,True,False,False,,,False
10,phrase_line,F,a,-1,να,False,False,False,,,False
11,phrase_line,E,a,-1,τον,False,False,True,,,True
12,phrase_line,G,o2,2,ον,False,False,True,,,False
13,phrase_line,G,0,0,ου,False,False,True,,,False
14,phrase_line,G,0,0,τολ,False,False,False,,,False
15,phrase_line,a,o,1,μά,True,False,True,kr,,False
16,phrase_line,G,a,-1,αγ,False,False,False,,,False
17,phrase_line,a,p,1,γέ,True,False,False,,,False
18,phrase_line,G,a,-1,λων,False,False,True,,,False
19,phrase_line,G,0,0,α,False,False,False,,,False
20,phrase_line,G,0,0,τε,False,False,False,,,False
21,phrase_line,a,p,1,νί,True,False,False,,,False
22,phrase_line,E,a3,-3,σαι,False,False,True,,,False
23,phrase_line,F,o,1,τα,False,True,True,"kl,v","kl,v",False
24,phrase_line,E,a,-1,-,False,False,True,"kl,v",,False
25,phrase_line,D,aa,-1,τάγ,True,True,False,,,False
26,phrase_line,"E,F",ookk,"1,1",-,True,False,False,,,False
27,phrase_line,E,a,-1,μα,False,False,False,dd,,False
28,phrase_line,E,0,0,τα,False,True,True,dd,,False
29,phrase_line,F,oo,1,-,False,False,True,kl,,True
30,phrase_line,D,a2,-2,δι,False,False,False,,,False
31,phrase_line,G,o3,3,ά,True,False,True,,,False
32,phrase_line,a,p,1,σου,False,False,True,,,False
33,phrase_line,G,a,-1,δε,False,False,True,,,False
34,phrase_line,G,oo0,0,πα,False,False,False,,,False
35,phrase_line,F,a,-1,να,False,False,False,,,False
36,phrase_line,E,a,-1,γνε,False,False,True,,,True
37,phrase_line,F,o,1,ω,False,True,False,"kl,v","kl,v",False
38,phrase_line,E,a,-1,-,False,False,False,"kl,v",,False
39,phrase_line,D,aa,-1,ρά,True,True,False,,,False
40,phrase_line,"E,F",ookk,"1,1",-,True,False,False,,,False
41,phrase_line,E,a,-1,θη,False,False,True,,,False
42,phrase_line,E,0,0,βρο,False,False,False,,,False
43,phrase_line,E,0,0,τοίς,True,True,True,dd,,False
44,phrase_line,F,oo,1,-,True,False,True,kl,,True
45,phrase_line,D,a2,-2,λό,True,False,False,,,False
46,phrase_line,G,o3,3,γος,False,False,True,,,False
47,phrase_line,G,0,0,σε,False,False,False,,,False
48,phrase_line,a,p,1,σαρ,False,False,False,,,False
49,phrase_line,G,a,-1,κω,False,False,False,,,False
50,phrase_line,a,o,1,μέ,True,False,False,,,False
51,phrase_line,b,o,1,νος,False,False,True,dd,,True
52,phrase_line,b,0,0,όν,True,True,True,dd,,False
53,phrase_line,c,p,1,-,True,False,True,,,False
54,phrase_line,a,a2,-2,με,False,False,False,,,False
55,phrase_line,c,k,2,γα,False,True,False,v,v,False
56,phrase_line,a,e,-2,-,False,False,False,v,,False
57,phrase_line,b,oo,1,λύ,True,False,False,,,False
58,phrase_line,a,a,-1,νο,False,False,False,,,False
59,phrase_line,G,aa,-1,ντες,False,False,True,,,True
60,phrase_line,b,o2,2,συν,False,False,True,,,False
61,phrase_line,b,0,0,ταις,False,False,True,,,False
62,phrase_line,b,0,0,ου,False,False,False,,,False
63,phrase_line,b,0,0,ρα,False,False,False,,,False
64,phrase_line,b,oo0,0,νί,True,False,False,,,False
65,phrase_line,a,a,-1,αις,False,False,True,,,False
66,phrase_line,G,a,-1,στρα,False,False,False,,,False
67,phrase_line,a,o,1,τι,False,False,False,,,False
68,phrase_line,a,0,0,αίς,True,False,True,ap,,True
69,phrase_line,b,p,1,σε,False,False,True,,,False
70,phrase_line,a,a,-1,μα,False,True,False,,,False
71,phrase_line,b,kk,1,-,False,False,False,,,False
72,phrase_line,G,a2,-2,κα,False,False,False,,,False
73,phrase_line,a,o,1,ρί,True,True,False,dd,,False
74,phrase_line,G,a,-1,-,True,False,False,,,False
75,phrase_line,F,a,-1,ζο,False,True,False,ve,ve,False
76,phrase_line,E,a,-1,-,False,False,False,ve,,False
77,phrase_line,E,0,0,μεν,False,False,True,,,True
