,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,G,,,,,,,,,True
1,phrase_line,a,o,1,προ,False,False,False,"g,is",,False
2,phrase_line,c,p2,2,κα,False,False,False,klr,,False
3,phrase_line,b,a,-1,τι,False,False,False,,,False
4,phrase_line,b,0,0,δών,True,True,True,"l,v","l,v",False
5,phrase_line,G,e,-2,-,True,False,True,"l,v",l,False
6,phrase_line,a,o,1,ο,False,True,True,l,,False
7,phrase_line,b,p,1,-,False,False,True,klr,,False
8,phrase_line,G,a2,-2,προ,False,False,False,trr,,False
9,phrase_line,a,p,1,φή,True,False,False,"g,l",l,False
10,phrase_line,G,a,-1,της,False,False,True,"ap,l",,True
11,phrase_line,b,o2,2,του,False,False,True,,,False
12,phrase_line,c,oo,1,μυ,False,False,False,psr,,False
13,phrase_line,b,a,-1,στη,False,False,False,,,False
14,phrase_line,a,a,-1,ρί,True,False,False,"anr,kl",,False
15,phrase_line,F,a2,-2,ου,False,True,True,,,False
16,phrase_line,G,kk,1,-,False,False,True,g,,False
17,phrase_line,a,o,1,σου,False,True,True,"anr,kl,v","anr,kl,v",False
18,phrase_line,G,a,-1,-,False,False,True,"anr,kl,v",,False
19,phrase_line,a,o,1,το,False,False,True,,,False
20,phrase_line,b,o,1,α,False,False,False,,,False
21,phrase_line,b,oo0,0,πόρ,True,False,False,psr,,False
22,phrase_line,a,a,-1,ρη,False,False,False,klr,,False
23,phrase_line,G,aa,-1,τον,False,False,True,,,True
24,phrase_line,G,0,0,χρι,False,False,False,"g,is",,False
25,phrase_line,c,o3,3,στέ,True,False,True,,,False
26,phrase_line,c,0,0,προ,False,False,False,"g,is",,False
27,phrase_line,c,p0,0,α,False,False,False,anr,,False
28,phrase_line,b,a,-1,νε,False,False,False,,,False
29,phrase_line,d,oo2,2,φώ,True,False,False,psr,,False
30,phrase_line,c,a,-1,νει,False,False,True,klr,,False
31,phrase_line,b,aa,-1,σοι,False,False,True,,,True
32,phrase_line,b,oo0,0,έ,True,False,False,psr,,False
33,phrase_line,a,a,-1,θου,False,False,True,,,False
34,phrase_line,G,a,-1,κρα,False,False,False,"g,is",,False
35,phrase_line,a,o,1,ται,False,True,False,"klr,v","klr,v",False
36,phrase_line,F,e,-2,-,False,False,False,"klr,v",,False
37,phrase_line,G,o,1,άν,True,False,True,ap,,True
38,phrase_line,a,o,1,α,False,False,False,,,False
39,phrase_line,c,p2,2,γά,True,False,False,l,l,False
40,phrase_line,b,a,-1,πη,False,False,False,"g,l",,False
41,phrase_line,b,0,0,σιν,False,False,True,ap,,True
42,phrase_line,b,0,0,ι,False,False,False,,,False
43,phrase_line,c,p,1,σχύ,True,False,False,klr,,False
44,phrase_line,b,a,-1,ος,False,False,True,,,False
45,phrase_line,b,0,0,πά,True,True,False,"klr,l,v","klr,l,v",False
46,phrase_line,G,e,-2,-,True,False,False,"klr,l,v",l,False
47,phrase_line,a,o,1,τερ,False,True,True,l,,False
48,phrase_line,b,p,1,-,False,False,True,trr,trr,False
49,phrase_line,G,a2,-2,οι,False,False,False,trr,,False
50,phrase_line,a,p,1,κτίρ,True,False,False,"g,is",,False
51,phrase_line,G,a,-1,μων,False,False,True,ap,,True
52,martyria,G,,,,,,,,,True
53,phrase_line,b,o2,2,τον,False,False,True,,,False
54,phrase_line,b,0,0,μο,False,False,False,,,False
55,phrase_line,c,p,1,νο,False,False,False,anr,,False
56,phrase_line,G,a3,-3,γε,False,False,False,,,False
57,phrase_line,a,o,1,νή,True,False,True,,,False
58,phrase_line,c,k,2,υι,False,True,False,"klr,v","klr,v",False
59,phrase_line,a,e,-2,-,False,False,False,"klr,v",,False
60,phrase_line,b,oo,1,όν,True,False,True,psr,,False
61,phrase_line,a,a,-1,γαρ,False,False,True,klr,,False
62,phrase_line,G,a,-1,α,False,False,False,,,False
63,phrase_line,a,o,1,γα,False,True,False,"klr,v","klr,v",False
64,phrase_line,F,e,-2,-,False,False,False,"klr,v",,False
65,phrase_line,G,o,1,θέ,True,False,True,ap,,True
66,martyria,G,,,,,,,,,True
67,phrase_line,G,0,0,ι,False,False,False,,,False
68,phrase_line,G,0,0,λα,False,False,False,,,False
69,phrase_line,c,p3,3,σμόν,True,False,True,anr,,False
70,phrase_line,a,a2,-2,εις,False,False,True,"g,vv",vv,False
71,phrase_line,F,e,-2,τον,False,True,True,,,False
72,phrase_line,G,kk,1,-,False,False,True,g,,False
73,phrase_line,a,o,1,κό,True,True,False,"klr,v","klr,v",False
74,phrase_line,G,a,-1,-,True,False,False,"klr,v",,False
75,phrase_line,a,o,1,σμον,False,False,True,,,False
76,phrase_line,b,o,1,α,False,False,False,,,False
77,phrase_line,b,oo0,0,πέ,True,False,False,psr,,False
78,phrase_line,a,a,-1,στει,False,False,False,klr,,False
79,phrase_line,G,aa,-1,λας,False,False,True,ap,,True
