,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,F,,,,,,,,,True
1,phrase_line,a,p2,2,νεύ,True,False,False,,,False
2,phrase_line,G,a,-1,σει,False,False,True,,,False
3,phrase_line,G,0,0,σου,False,False,True,dd,,True
4,phrase_line,G,p0,0,προς,False,False,True,,,False
5,phrase_line,F,a,-1,γε,False,True,False,v,v,False
6,phrase_line,E,a,-1,-,False,False,False,v,,False
7,phrase_line,F,o,1,ώ,True,True,False,,,False
8,phrase_line,G,oo,1,-,True,True,False,,,False
9,phrase_line,F,a,-1,-,True,True,False,,,False
10,phrase_line,E,a,-1,-,True,False,False,,,False
11,phrase_line,D,aa,-1,δη,False,False,True,,,True
12,phrase_line,G,o3,3,α,False,False,False,,,False
13,phrase_line,G,0,0,ντι,False,True,False,v,v,False
14,phrase_line,"F,E",s,"-1,-1",-,False,True,False,v,,False
15,phrase_line,F,p,1,-,False,False,False,,,False
16,phrase_line,D,a2,-2,τυ,False,False,False,,,False
17,phrase_line,F,oo2,2,πί,True,False,False,,,False
18,phrase_line,E,a,-1,αν,False,False,True,,,False
19,phrase_line,C,a2,-2,με,False,False,False,,,False
20,phrase_line,D,o,1,τή,True,True,False,dd,,False
21,phrase_line,"E,F",kkoo,"1,1",-,True,False,False,,,False
22,phrase_line,F,0,0,χθη,False,False,True,dd,,True
23,martyria,F,,,,,,,,,True
24,phrase_line,F,0,0,η,False,False,True,,,False
25,phrase_line,a,o2,2,πρίν,True,False,True,,,False
26,phrase_line,a,0,0,ευ,False,False,False,,,False
27,phrase_line,a,0,0,δι,False,False,False,,,False
28,phrase_line,b,oo,1,ά,True,False,False,,,False
29,phrase_line,a,a,-1,χυ,False,False,False,,,False
30,phrase_line,G,aa,-1,τος,False,False,True,ap,,True
31,phrase_line,G,0,0,υ,False,False,False,,,False
32,phrase_line,G,p0,0,δά,True,False,False,,,False
33,phrase_line,F,a,-1,των,False,False,True,,,False
34,phrase_line,G,o,1,φύ,True,False,False,,,False
35,phrase_line,b,p2,2,σις,False,True,True,,,False
36,phrase_line,a,a,-1,-,False,False,True,,,False
37,phrase_line,a,0,0,κύ,True,True,False,v,v,False
38,phrase_line,G,a,-1,-,True,False,False,v,,False
39,phrase_line,G,0,0,ρι,False,True,False,v,v,False
40,phrase_line,F,a,-1,-,False,False,False,v,,False
41,phrase_line,F,0,0,ε,False,False,True,ap,,True
42,martyria,F,,,,,,,,,True
43,phrase_line,G,o,1,ό,True,False,False,,,False
44,phrase_line,G,0,0,θεν,False,True,True,v,v,False
45,phrase_line,"F,E",s,"-1,-1",-,False,True,True,v,,False
46,phrase_line,F,p,1,-,False,False,True,,,False
47,phrase_line,D,a2,-2,α,False,False,False,,,False
48,phrase_line,F,oo2,2,βρό,True,False,False,,,False
49,phrase_line,E,a,-1,χως,False,False,True,,,False
50,phrase_line,C,a2,-2,πε,False,False,False,,,False
51,phrase_line,D,o,1,ζεύ,True,True,False,dd,,False
52,phrase_line,"E,F",kkoo,"1,1",-,True,False,False,,,False
53,phrase_line,F,0,0,σας,False,False,True,ap,,True
54,phrase_line,b,oo3,3,ά,True,False,False,,,False
55,phrase_line,a,a,-1,δει,False,False,True,,,False
56,phrase_line,a,p0,0,ισ,False,False,False,,,False
57,phrase_line,G,a,-1,ρα,False,False,False,,,False
58,phrase_line,a,p,1,ήλ,True,False,True,,,False
59,phrase_line,G,a,-1,σοι,False,False,True,,,True
60,phrase_line,G,0,0,ω,False,False,False,,,False
61,phrase_line,G,p0,0,δήν,True,True,True,,,False
62,phrase_line,F,a,-1,-,True,False,True,,,False
63,phrase_line,E,a,-1,ε,False,False,False,,,False
64,phrase_line,D,a,-1,πι,False,False,False,,,False
65,phrase_line,a,p4,4,νί,True,False,False,,,False
66,phrase_line,F,e,-2,κι,False,True,False,v,,False
67,phrase_line,E,a,-1,-,False,False,False,v,,False
68,phrase_line,F,o,1,ον,False,False,True,ap,,True
