,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,F,,,,,,,,,True
1,phrase_line,F,0,0,ο,False,False,True,,,False
2,phrase_line,F,0,0,πα,False,False,False,,,False
3,phrase_line,F,0,0,τρι,False,True,False,v,v,False
4,phrase_line,E,a,-1,-,False,False,False,v,,False
5,phrase_line,F,o,1,κούς,True,True,True,dd,,False
6,phrase_line,"G,a",kkoo,"1,1",-,True,False,True,,,False
7,phrase_line,b,oo,1,κόλ,True,False,False,,,False
8,phrase_line,a,a,-1,πους,False,False,True,,,False
9,phrase_line,G,a,-1,μή,True,False,True,,,False
10,phrase_line,F,a,-1,λι,False,False,False,,,False
11,phrase_line,G,o,1,πών,True,False,True,ap,,True
12,phrase_line,G,0,0,και,False,True,True,v,v,False
13,phrase_line,"F,E",s,"-1,-1",-,False,True,True,v,,False
14,phrase_line,F,p,1,-,False,False,True,,,False
15,phrase_line,D,a2,-2,κα,False,False,False,,,False
16,phrase_line,F,oo2,2,τα,False,False,False,,,False
17,phrase_line,E,a,-1,βάς,True,False,True,,,False
18,phrase_line,C,a2,-2,ε,False,False,False,,,False
19,phrase_line,D,o,1,πί,True,False,True,,,False
20,phrase_line,E,o,1,της,False,False,True,,,False
21,phrase_line,F,o,1,γής,True,False,True,ap,,True
22,phrase_line,F,0,0,χρι,False,False,False,,,False
23,phrase_line,G,o,1,στέ,True,True,True,dd,,False
24,phrase_line,b,p2,2,-,True,True,True,,,False
25,phrase_line,a,a,-1,-,True,False,True,,,False
26,phrase_line,a,0,0,ο,False,True,True,v,v,False
27,phrase_line,G,a,-1,-,False,False,True,v,,False
28,phrase_line,G,0,0,θε,False,True,False,v,v,False
29,phrase_line,F,a,-1,-,False,False,False,v,,False
30,phrase_line,F,0,0,ός,True,False,True,ap,,True
31,phrase_line,F,0,0,το,False,False,True,,,False
32,phrase_line,F,0,0,μυ,False,False,False,,,False
33,phrase_line,b,p3,3,στή,True,False,False,,,False
34,phrase_line,a,a,-1,ρι,False,False,False,,,False
35,phrase_line,a,p0,0,ον,False,False,True,,,False
36,phrase_line,G,a,-1,α,False,False,False,,,False
37,phrase_line,a,p,1,κή,True,False,False,,,False
38,phrase_line,F,e,-2,κο,False,False,False,v,,False
39,phrase_line,G,o,1,α,False,False,True,ap,,True
40,phrase_line,G,p0,0,της,False,False,True,,,False
41,phrase_line,F,a,-1,οι,False,False,False,,,False
42,phrase_line,G,o,1,κο,False,False,False,,,False
43,phrase_line,b,p2,2,νο,False,True,False,,,False
44,phrase_line,a,a,-1,-,False,False,False,,,False
45,phrase_line,a,0,0,μί,True,True,False,v,v,False
46,phrase_line,G,a,-1,-,True,False,False,v,,False
47,phrase_line,G,0,0,ας,False,True,True,v,v,False
48,phrase_line,F,a,-1,-,False,False,True,v,,False
49,phrase_line,F,0,0,σου,False,False,True,ap,,True
50,phrase_line,G,o,1,και,False,False,True,,,False
51,phrase_line,G,p0,0,ε,False,False,False,,,False
52,phrase_line,E,a2,-2,δό,True,False,False,,,False
53,phrase_line,F,o,1,ξα,False,False,False,,,False
54,phrase_line,G,o,1,σά,True,False,True,,,False
55,phrase_line,G,0,0,σε,False,False,True,,,False
56,phrase_line,G,p0,0,μό,True,True,False,,,False
57,phrase_line,F,a,-1,-,True,False,False,kl,kl,False
58,phrase_line,E,a,-1,νε,False,False,True,kl,,False
59,phrase_line,D,aa,-1,φι,False,False,False,,,False
60,phrase_line,a,p4,4,λάν,True,False,False,,,False
61,phrase_line,F,e,-2,θρω,False,True,False,v,v,False
62,phrase_line,E,a,-1,-,False,False,False,v,,False
63,phrase_line,F,o,1,πε,False,False,True,ap,,True
