,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,F,,,,,,,,,True
1,phrase_line,F,p0,0,νυξ,False,False,True,,,False
2,phrase_line,E,a,-1,α,False,False,False,,,False
3,phrase_line,F,o,1,φεγ,False,False,False,,,False
4,phrase_line,a,p2,2,γής,True,False,True,,,False
5,phrase_line,G,a,-1,τοις,False,False,True,kl,,False
6,phrase_line,E,a2,-2,α,False,False,False,,,False
7,phrase_line,F,o,1,πί,True,True,False,"kl,v","kl,v",False
8,phrase_line,E,a,-1,-,True,False,False,"kl,v",,False
9,phrase_line,D,a,-1,στοις,False,False,True,,,False
10,phrase_line,F,k,2,χρι,False,True,False,v,v,False
11,phrase_line,E,a,-1,-,False,False,False,v,,False
12,phrase_line,F,o,1,στέ,True,False,True,ap,,True
13,phrase_line,D,a2,-2,τοις,False,False,True,,,False
14,phrase_line,E,o,1,δε,False,False,True,,,False
15,phrase_line,F,o,1,πι,False,False,False,,,False
16,phrase_line,G,o,1,στοις,False,True,True,dd,,False
17,phrase_line,a,oo,1,-,False,False,True,,,False
18,phrase_line,a,0,0,φω,False,False,False,,,False
19,phrase_line,a,0,0,τι,False,False,False,,,False
20,phrase_line,a,0,0,σμός,True,False,True,,,True
21,phrase_line,c,p2,2,εν,False,False,True,,,False
22,phrase_line,b,a,-1,τη,False,True,True,"di,kl","di,kl",False
23,phrase_line,a,a,-1,-,False,False,True,"di,kl",,False
24,phrase_line,G,a,-1,τρυ,False,False,False,,,False
25,phrase_line,a,o,1,φή,True,False,True,,,False
26,phrase_line,a,0,0,των,False,False,True,,,False
27,phrase_line,b,oo,1,λό,True,False,False,,,False
28,phrase_line,a,a,-1,γων,False,False,True,,,False
29,phrase_line,G,aa,-1,σου,False,True,True,,,False
30,phrase_line,b,p2,2,-,False,False,True,,,True
31,phrase_line,G,e,-2,και,False,True,True,om,om,False
32,phrase_line,a,oo,1,-,False,True,True,om,om,False
33,phrase_line,G,a,-1,-,False,True,True,om,om,False
34,phrase_line,F,a,-1,-,False,False,True,om,,False
35,phrase_line,E,a,-1,δι,False,False,False,,,False
36,phrase_line,F,o,1,ά,True,False,True,,,False
37,phrase_line,G,o,1,τού,True,True,False,dd,,False
38,phrase_line,a,oo,1,-,True,False,False,,,False
39,phrase_line,a,0,0,το,False,False,True,dd,,True
40,phrase_line,a,0,0,προς,False,False,True,,,False
41,phrase_line,c,p2,2,σε,False,False,True,,,False
42,phrase_line,b,a,-1,ορ,False,False,False,,,False
43,phrase_line,c,oo,1,θρί,True,False,False,,,False
44,phrase_line,b,a,-1,ζω,False,False,True,,,False
45,phrase_line,a,a,-1,και,False,False,True,,,False
46,phrase_line,a,0,0,α,False,False,False,,,False
47,phrase_line,c,p2,2,νυ,False,False,False,,,False
48,phrase_line,b,a,-1,μνώ,True,True,True,"di,kl","di,kl",False
49,phrase_line,a,a,-1,-,True,False,True,"di,kl",,False
50,phrase_line,G,a,-1,σου,False,False,True,,,False
51,phrase_line,"a,b",okk,"1,1",την,False,False,True,,,False
52,phrase_line,c,o,1,θε,False,True,False,"kl,v","kl,v",False
53,phrase_line,G,a3,-3,-,False,False,False,"kl,v",,False
54,phrase_line,a,o,1,ό,True,False,False,dd,,False
55,phrase_line,G,a,-1,τη,False,True,False,ve,ve,False
56,phrase_line,F,a,-1,-,False,False,False,ve,,False
57,phrase_line,F,0,0,τα,False,False,True,,,True
