,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,F,,,,,,,,,True
1,phrase_line,F,p0,0,μη,False,False,True,,,False
2,phrase_line,E,a,-1,της,False,False,True,,,False
3,phrase_line,F,o,1,φθο,False,False,False,,,False
4,phrase_line,a,o2,2,ράς,True,False,True,,,True
5,phrase_line,a,0,0,δι,False,False,False,,,False
6,phrase_line,a,0,0,α,False,False,True,,,False
7,phrase_line,c,p2,2,πεί,True,False,False,,,False
8,phrase_line,b,a,-1,ρα,False,True,True,"di,kl","di,kl",False
9,phrase_line,a,a,-1,-,False,False,True,"di,kl",,False
10,phrase_line,G,a,-1,κυ,False,False,False,,,False
11,phrase_line,a,o,1,ο,False,False,False,,,False
12,phrase_line,a,0,0,φο,False,False,False,,,False
13,phrase_line,b,oo,1,ρή,True,False,False,,,False
14,phrase_line,a,a,-1,σα,False,False,False,,,False
15,phrase_line,G,a,-1,σα,False,False,True,,,True
16,phrase_line,G,p0,0,και,False,False,True,,,False
17,phrase_line,E,a2,-2,πα,False,False,False,,,False
18,phrase_line,F,o,1,ντε,False,False,False,,,False
19,phrase_line,G,o,1,χνή,True,False,False,,,False
20,phrase_line,a,o,1,μο,False,False,False,,,False
21,phrase_line,a,0,0,νι,False,False,True,,,True
22,phrase_line,c,p2,2,λό,True,False,False,,,False
23,phrase_line,b,a,-1,γω,False,True,True,"di,kl","di,kl",False
24,phrase_line,a,a,-1,-,False,False,True,"di,kl",,False
25,phrase_line,G,a,-1,σάρ,True,False,False,,,False
26,phrase_line,a,o,1,κα,False,False,True,,,False
27,phrase_line,a,0,0,δα,False,False,False,,,False
28,phrase_line,b,oo,1,νεί,True,False,False,,,False
29,phrase_line,a,a,-1,σα,False,False,False,,,False
30,phrase_line,G,aa,-1,σα,False,False,True,,,True
31,phrase_line,c,o3,3,μή,True,True,False,dd,,False
32,phrase_line,d,p,1,-,True,False,False,,,False
33,phrase_line,c,a,-1,τερ,False,False,True,kl,,False
34,phrase_line,b,a,-1,α,False,False,False,,,False
35,phrase_line,c,oo,1,πεί,True,False,False,,,False
36,phrase_line,b,a,-1,ραν,False,False,False,,,False
37,phrase_line,a,aa,-1,δρε,False,False,True,,,True
38,phrase_line,a,0,0,παρ,False,False,False,dd,,False
39,phrase_line,a,0,0,θέ,True,False,False,,,False
40,phrase_line,b,oo,1,νε,False,False,True,,,False
41,phrase_line,a,a,-1,θε,False,False,False,,,False
42,phrase_line,G,a,-1,ο,False,False,False,,,False
43,phrase_line,a,o,1,τό,True,False,False,kr,,False
44,phrase_line,G,a,-1,κε,False,False,True,,,True
45,phrase_line,a,oo,1,δο,False,False,False,,,False
46,phrase_line,G,a,-1,χεί,True,False,False,,,False
47,phrase_line,F,a,-1,ον,False,False,True,kl,,False
48,phrase_line,E,a,-1,του,False,False,True,,,False
49,phrase_line,F,o,1,α,False,False,False,,,False
50,phrase_line,G,o,1,στέ,True,True,False,dd,,False
51,phrase_line,a,p,1,-,True,False,False,,,False
52,phrase_line,G,a,-1,κτου,False,False,True,,,True
53,phrase_line,a,oo,1,χω,False,False,False,,,False
54,phrase_line,G,a,-1,ρί,True,False,False,,,False
55,phrase_line,F,a,-1,ον,False,False,True,kl,,False
56,phrase_line,E,a,-1,του,False,False,True,,,False
57,phrase_line,F,o,1,α,False,False,False,,,False
58,phrase_line,G,o,1,πεί,True,True,False,dd,,False
59,phrase_line,a,oo,1,-,True,False,False,,,False
60,phrase_line,a,0,0,ρου,False,False,True,dd,,True
61,phrase_line,a,0,0,πλα,False,False,False,,,False
62,phrase_line,a,0,0,στουρ,False,False,False,,,False
63,phrase_line,a,0,0,γού,True,False,True,,,False
64,phrase_line,c,p2,2,σου,False,False,True,,,False
65,phrase_line,b,a,-1,σε,False,True,True,"kl,vv",vv,False
66,phrase_line,G,e,-2,-,False,False,True,vv,,False
67,phrase_line,"a,b",okk,"1,1",με,False,False,False,,,False
68,phrase_line,c,o,1,γα,False,True,False,"kl,v","kl,v",False
69,phrase_line,G,a3,-3,-,False,False,False,"kl,v",,False
70,phrase_line,a,o,1,λύ,True,False,False,dd,,False
71,phrase_line,G,a,-1,νο,False,True,False,ve,ve,False
72,phrase_line,F,a,-1,-,False,False,False,ve,,False
73,phrase_line,F,0,0,μεν,False,False,True,,,True
