,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,c,,,,,,,,,True
1,phrase_line,G,a3,-3,ι,False,False,False,,,False
2,phrase_line,c,o3,3,λά,True,False,False,,,False
3,phrase_line,c,0,0,σθη,False,False,False,,,False
4,phrase_line,d,p,1,τί,True,False,True,,,False
5,phrase_line,b,a2,-2,μοι,False,False,True,,,False
6,phrase_line,c,o,1,σω,False,False,False,,,False
7,phrase_line,d,o,1,τήρ,True,False,True,ap,,True
8,phrase_line,c,a,-1,πολ,False,False,False,,,False
9,phrase_line,d,o,1,λαί,True,False,True,,,False
10,phrase_line,e,o,1,γαρ,False,False,True,,,False
11,phrase_line,f,oo,1,αι,False,False,True,,,False
12,phrase_line,e,a,-1,α,False,False,False,,,False
13,phrase_line,c,a2,-2,νο,False,False,False,,,False
14,phrase_line,d,p,1,μί,True,False,False,,,False
15,phrase_line,c,a,-1,αι,False,True,True,v,v,False
16,phrase_line,b,a,-1,-,False,False,True,v,,False
17,phrase_line,c,o,1,μου,False,False,True,ap,,True
18,martyria,c,,,,,,,,,True
19,phrase_line,G,a3,-3,και,False,False,True,,,False
20,phrase_line,c,o3,3,εκ,False,False,True,,,False
21,phrase_line,c,0,0,βυ,False,False,False,,,False
22,phrase_line,d,p,1,θού,True,False,True,,,False
23,phrase_line,b,a2,-2,των,False,False,True,,,False
24,phrase_line,c,o,1,κα,False,False,False,,,False
25,phrase_line,d,o,1,κών,True,False,True,ap,,True
26,phrase_line,d,0,0,α,False,False,False,,,False
27,phrase_line,f,oo2,2,νά,True,False,False,,,False
28,phrase_line,e,a,-1,γα,False,False,False,,,False
29,phrase_line,d,a,-1,γε,False,False,True,,,False
30,phrase_line,e,p,1,δέ,True,False,False,,,False
31,phrase_line,c,a2,-2,ο,False,False,False,v,,False
32,phrase_line,d,o,1,μαι,False,False,True,ap,,True
33,martyria,d,,,,,,,,,True
34,phrase_line,d,0,0,προς,False,False,True,,,False
35,phrase_line,d,oo0,0,σε,False,True,True,,,False
36,phrase_line,e,kk,1,-,False,False,True,,,False
37,phrase_line,d,ooa,-1,γαρ,False,False,True,,,False
38,phrase_line,c,a,-1,ε,False,False,False,,,False
39,phrase_line,b,a,-1,βό,True,False,False,,,False
40,phrase_line,a,a,-1,η,False,False,False,,,False
41,phrase_line,G,aa,-1,σα,False,False,True,,,True
42,phrase_line,c,p3,3,και,False,False,True,,,False
43,phrase_line,a,a2,-2,ε,False,False,False,,,False
44,phrase_line,b,o,1,πά,True,False,False,,,False
45,phrase_line,c,o,1,κου,False,False,False,,,False
46,phrase_line,"d,e",okk,"1,1",σόν,True,False,True,,,False
47,phrase_line,e,0,0,μου,False,False,True,ap,,True
48,phrase_line,d,a,-1,ο,False,False,True,,,False
49,phrase_line,e,o,1,θε,False,False,False,,,False
50,phrase_line,f,p,1,ός,True,False,True,,,False
51,phrase_line,e,a,-1,της,False,False,True,,,False
52,phrase_line,d,a,-1,σω,False,False,False,,,False
53,phrase_line,c,a,-1,τη,False,False,False,,,False
54,phrase_line,d,p,1,ρί,True,False,False,,,False
55,phrase_line,c,a,-1,ας,False,True,True,v,v,False
56,phrase_line,b,a,-1,-,False,False,True,v,,False
57,phrase_line,c,o,1,μου,False,False,True,ap,,True
