,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,c,,,,,,,,,True
1,phrase_line,b,a,-1,ει,False,False,False,,,False
2,phrase_line,c,o,1,σα,False,False,False,,,False
3,phrase_line,d,p,1,κή,False,False,False,,,False
4,phrase_line,c,a,-1,κο,False,False,False,,,False
5,phrase_line,"d,e",okk,"1,1",α,False,False,True,,,False
6,phrase_line,e,p0,0,κύ,False,True,False,,,False
7,phrase_line,d,a,-1,-,False,False,False,,,False
8,phrase_line,c,a,-1,ρι,False,True,False,v,v,False
9,phrase_line,b,a,-1,-,False,False,False,v,,False
10,phrase_line,c,o,1,ε,False,False,True,ap,,True
11,phrase_line,c,p0,0,της,False,False,True,,,False
12,phrase_line,b,a,-1,οι,False,False,False,,,False
13,phrase_line,c,o,1,κο,False,False,False,,,False
14,phrase_line,d,o,1,νο,False,False,False,,,False
15,phrase_line,e,p,1,μί,False,False,False,,,False
16,phrase_line,c,a2,-2,ας,False,True,True,,,False
17,phrase_line,d,oo,1,-,False,True,True,,,False
18,phrase_line,c,a,-1,-,False,True,True,,,False
19,phrase_line,d,oo,1,-,False,False,True,,,False
20,phrase_line,e,o,1,σου,False,False,True,ap,,True
21,phrase_line,e,0,0,το,False,False,True,,,False
22,phrase_line,e,p0,0,μυ,False,False,False,,,False
23,phrase_line,c,a2,-2,στή,False,False,False,,,False
24,phrase_line,d,o,1,ρι,False,False,False,,,False
25,phrase_line,e,o,1,ον,False,False,True,ap,,True
26,phrase_line,d,a,-1,κα,False,False,False,,,False
27,phrase_line,e,o,1,τε,False,False,False,,,False
28,phrase_line,f,o,1,νό,False,False,False,,,False
29,phrase_line,g,o,1,η,False,False,False,,,False
30,phrase_line,g,p0,0,σα,False,False,True,,,False
31,phrase_line,f,a,-1,τα,False,True,True,v,v,False
32,phrase_line,e,a,-1,-,False,False,True,v,,False
33,phrase_line,f,oo,1,έρ,True,False,False,,,False
34,phrase_line,e,a,-1,γα,False,False,True,,,False
35,phrase_line,d,a,-1,σου,False,False,True,ap,,True
36,phrase_line,d,0,0,και,False,False,True,,,False
37,phrase_line,e,o,1,ε,False,False,False,,,False
38,phrase_line,f,oo,1,δό,False,False,False,,,False
39,phrase_line,e,a,-1,ξα,False,False,False,,,False
40,phrase_line,d,a,-1,σά,False,False,True,,,False
41,phrase_line,e,p,1,σου,False,False,True,,,False
42,phrase_line,d,a,-1,την,False,False,True,,,False
43,phrase_line,c,a,-1,θε,False,False,False,,,False
44,phrase_line,d,p,1,ό,False,False,False,,,False
45,phrase_line,c,a,-1,τη,False,True,False,v,v,False
46,phrase_line,b,a,-1,-,False,False,False,v,,False
47,phrase_line,c,o,1,τα,False,False,True,ap,,True
