,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,d,,,,,,,,,True
1,phrase_line,d,0,0,αρ,False,False,False,,,False
2,phrase_line,d,0,0,μα,False,False,False,,,False
3,phrase_line,d,0,0,τη,False,False,False,,,False
4,phrase_line,e,oo,1,λά,True,False,False,psr,,False
5,phrase_line,d,a,-1,την,False,False,True,kl,,False
6,phrase_line,b,a2,-2,φα,False,False,False,,,False
7,phrase_line,c,o,1,ρα,False,False,False,g,,False
8,phrase_line,d,o,1,ώ,True,False,True,ap,,True
9,phrase_line,d,0,0,ε,False,False,False,,,False
10,phrase_line,e,oo,1,βύ,True,False,False,psr,,False
11,phrase_line,d,a,-1,θι,False,False,False,,,False
12,phrase_line,c,a,-1,σε,False,False,True,"anr,kl",,True
13,phrase_line,b,a,-1,τε,False,False,False,,,False
14,phrase_line,c,o,1,ρα,False,False,False,,,False
15,phrase_line,d,o,1,τουρ,False,False,False,,,False
16,phrase_line,"e,f",okk,"1,1",γού,True,False,False,g,,False
17,phrase_line,f,p0,0,σα,False,False,True,l,l,False
18,phrase_line,e,a,-1,πο,False,False,False,"g,l",,False
19,phrase_line,e,0,0,τέ,True,False,True,ap,,True
20,phrase_line,e,0,0,μω,False,False,False,,,False
21,phrase_line,e,0,0,σα,False,False,False,,,False
22,phrase_line,e,0,0,ϊ,False,False,False,,,False
23,phrase_line,e,p0,0,κή,True,False,True,l,l,False
24,phrase_line,d,aa,-1,ρά,True,True,False,l,,False
25,phrase_line,e,oo,1,-,True,False,False,g,,False
26,phrase_line,e,0,0,βδος,False,False,True,ap,,True
27,martyria,e,,,,,,,,,True
28,phrase_line,d,a,-1,σταυ,False,False,False,,,False
29,phrase_line,e,o,1,ρο,False,False,False,,,False
30,phrase_line,f,p,1,τύ,True,False,False,anr,,False
31,phrase_line,e,a,-1,πως,False,False,True,,,False
32,phrase_line,f,oo,1,πλή,True,False,False,"g,is,psr",,False
33,phrase_line,e,a,-1,ξα,False,False,False,klr,klr,False
34,phrase_line,d,aa,-1,σα,False,False,True,klr,,True
35,phrase_line,c,a,-1,και,False,False,True,"anr,kl","anr,kl",False
36,phrase_line,b,a,-1,δι,False,False,False,"anr,kl",,False
37,phrase_line,c,o,1,ε,False,False,False,,,False
38,phrase_line,d,o,1,λού,True,False,False,,,False
39,phrase_line,d,0,0,σα,False,False,True,,,False
40,phrase_line,e,oo,1,θά,True,False,False,psr,,False
41,phrase_line,d,a,-1,λασ,False,False,False,klr,klr,False
42,phrase_line,c,aa,-1,σαν,False,False,True,klr,,True
43,phrase_line,c,0,0,ισ,False,False,False,,,False
44,phrase_line,c,0,0,ρα,False,False,False,"g,is",,False
45,phrase_line,f,oo3,3,ήλ,True,False,True,psr,,False
46,phrase_line,e,a,-1,δέ,True,False,True,klr,,False
47,phrase_line,d,a,-1,φυ,False,False,False,,,False
48,phrase_line,d,oo0,0,γά,True,False,False,psr,,False
49,phrase_line,c,a,-1,δα,False,False,True,klr,,True
50,phrase_line,a,a2,-2,πε,False,False,False,,,False
51,phrase_line,b,o,1,ζόν,True,False,True,,,False
52,phrase_line,c,o,1,ο,False,False,False,,,False
53,phrase_line,d,o,1,δί,True,True,False,"kl,l,v","kl,l,v",False
54,phrase_line,c,a,-1,-,True,False,False,"kl,l,v",l,False
55,phrase_line,d,o,1,την,False,False,True,l,,False
56,phrase_line,e,o,1,δι,False,False,False,,,False
57,phrase_line,f,p,1,έ,True,False,False,l,l,False
58,phrase_line,e,a,-1,σω,False,False,False,l,l,False
59,phrase_line,e,0,0,σεν,False,False,True,"ap,l",,True
60,phrase_line,e,0,0,ά,True,False,False,,,False
61,phrase_line,e,p0,0,σμα,False,False,True,anr,,False
62,phrase_line,d,a,-1,τώ,True,False,True,,,True
63,phrase_line,d,0,0,θε,False,False,False,,,False
64,phrase_line,e,o,1,ώ,True,False,True,ap,,False
65,phrase_line,e,p0,0,α,False,False,False,anr,,False
66,phrase_line,d,a,-1,να,False,False,False,,,False
67,phrase_line,e,oo,1,μέλ,True,False,False,psr,,False
68,phrase_line,d,a,-1,πο,False,False,False,klr,klr,False
69,phrase_line,c,aa,-1,ντα,False,False,True,klr,,True
