,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,G,,,,,,,,,True
1,phrase_line,G,0,0,νο,False,False,False,,,False
2,phrase_line,c,o3,3,τί,True,False,False,,,False
3,phrase_line,c,0,0,ου,False,False,True,,,False
4,phrase_line,c,0,0,θη,False,False,False,,,False
5,phrase_line,c,p0,0,ρός,True,False,True,,,False
6,phrase_line,a,a2,-2,εν,False,False,True,"trr,xkl","trr,xkl",False
7,phrase_line,c,oo2,2,σπλά,True,True,False,"trr,xkl","trr,xkl",False
8,phrase_line,b,a,-1,-,True,True,False,"trr,xkl","trr,xkl",False
9,phrase_line,a,a,-1,-,True,False,False,"trr,xkl",,False
10,phrase_line,G,aa,-1,χνοις,False,False,True,,,True
11,phrase_line,G,0,0,πα,False,False,False,,,False
12,phrase_line,e,p5,5,λά,True,False,False,anr,,False
13,phrase_line,d,a,-1,μας,False,False,True,,,False
14,phrase_line,d,0,0,ι,False,False,False,,,False
15,phrase_line,d,0,0,ω,False,False,False,,,False
16,phrase_line,f,oo2,2,νάς,True,False,True,psr,,False
17,phrase_line,e,a,-1,σταυ,False,False,False,,,False
18,phrase_line,d,a,-1,ρο,False,False,False,anr,,False
19,phrase_line,c,a,-1,ει,False,False,False,kl,,False
20,phrase_line,b,a,-1,δώς,True,False,True,,,False
21,phrase_line,b,0,0,δι,False,False,False,,,False
22,phrase_line,b,0,0,εκ,False,True,False,,,False
23,phrase_line,c,p,1,-,False,False,False,l,l,False
24,phrase_line,a,a2,-2,πε,False,False,False,l,,False
25,phrase_line,b,p,1,τά,True,False,False,,,False
26,phrase_line,G,a2,-2,σας,False,False,True,,,True
27,phrase_line,b,o2,2,το,False,False,True,,,False
28,phrase_line,c,o,1,σω,False,False,False,g,,False
29,phrase_line,d,p,1,τή,True,False,False,,,False
30,phrase_line,b,a2,-2,ρι,False,False,False,,,False
31,phrase_line,c,o,1,ον,False,False,True,,,False
32,phrase_line,d,p,1,πά,True,False,False,,,False
33,phrase_line,b,a2,-2,θος,False,False,True,,,True
34,phrase_line,b,oo0,0,προ,False,False,False,"g,is,psr",,False
35,phrase_line,a,a,-1,δι,False,False,False,klr,,False
36,phrase_line,G,a,-1,ε,False,True,False,,,False
37,phrase_line,a,kk,1,-,False,False,False,g,,False
38,phrase_line,b,o,1,τύ,True,True,False,dd,,False
39,phrase_line,c,oo,1,-,True,False,False,"kl,para_",para_,False
40,phrase_line,a,e,-2,που,False,False,True,"dd,para_",,False
41,phrase_line,G,a,-1,σα,False,False,False,anr,anr,False
42,phrase_line,G,0,0,φώς,True,False,True,"anr,ap",,True
43,martyria,G,,,,,,,,,True
44,phrase_line,d,o4,4,ό,True,False,False,,,False
45,phrase_line,d,0,0,θεν,False,False,True,,,False
46,phrase_line,d,0,0,τρι,False,False,False,"g,is",,False
47,phrase_line,d,oo0,0,ή,True,False,False,psr,,False
48,phrase_line,c,a,-1,με,False,False,False,klr,,False
49,phrase_line,a,a2,-2,ρος,False,False,True,,,False
50,phrase_line,"b,c",okk,"1,1",εκ,False,False,False,g,,False
51,phrase_line,d,o,1,δύς,True,False,True,ap,,True
52,phrase_line,d,0,0,τήν,True,False,True,,,False
53,phrase_line,d,0,0,υ,False,False,False,,,False
54,phrase_line,d,0,0,περ,False,False,False,,,False
55,phrase_line,f,oo2,2,κό,True,False,False,psr,,False
56,phrase_line,e,a,-1,σμι,False,False,False,klr,klr,False
57,phrase_line,d,aa,-1,ον,False,False,True,klr,,True
58,phrase_line,c,a,-1,α,False,False,False,,,False
59,phrase_line,d,oo,1,νά,True,False,False,psr,,False
60,phrase_line,c,a,-1,στα,False,False,False,klr,klr,False
61,phrase_line,b,aa,-1,σιν,False,False,True,klr,,True
62,phrase_line,b,p0,0,υ,False,False,False,,,False
63,phrase_line,a,a,-1,πε,False,True,False,vv,vv,False
64,phrase_line,b,kk,1,-,False,False,False,vv,,False
65,phrase_line,G,e,-2,ζω,False,True,False,,,False
66,phrase_line,a,kk,1,-,False,False,False,g,,False
67,phrase_line,b,o,1,γρά,True,True,False,"dd,g,is",,False
68,phrase_line,c,oo,1,-,True,False,False,"kl,ll",ll,False
69,phrase_line,a,e,-2,φι,False,False,False,"dd,ll",,False
70,phrase_line,G,aa,-1,σε,False,False,True,,,True
71,martyria,G,,,,,,,,,True
72,phrase_line,b,o2,2,τού,True,False,True,,,False
73,phrase_line,c,o,1,σαρ,False,False,False,,,False
74,phrase_line,d,p,1,κί,True,False,True,l,l,False
75,phrase_line,b,a2,-2,προ,False,False,False,l,,False
76,phrase_line,c,o,1,σπα,False,False,False,,,False
77,phrase_line,d,o,1,γέ,True,False,False,g,,False
78,phrase_line,d,0,0,ντος,False,False,True,ap,,True
79,phrase_line,d,0,0,χρι,False,False,False,"g,is",,False
80,phrase_line,"e,f",ookk,"1,1",στού,True,False,True,psr,,False
81,phrase_line,e,a,-1,τού,True,False,True,klr,klr,False
82,phrase_line,d,a,-1,θε,False,False,False,klr,,False
83,phrase_line,d,0,0,ού,True,False,True,ap,,True
84,phrase_line,d,0,0,καί,True,False,True,,,False
85,phrase_line,d,0,0,τρι,False,False,False,"g,is",,False
86,phrase_line,d,0,0,η,False,True,False,"anr,kl,v","anr,kl,v",False
87,phrase_line,c,a,-1,-,False,False,False,"anr,kl,v",,False
88,phrase_line,d,o,1,μέ,True,False,False,,,False
89,phrase_line,f,p2,2,ρω,False,False,True,,,False
90,phrase_line,e,a,-1,ε,False,False,False,,,False
91,phrase_line,f,oo,1,γέρ,True,False,False,"klr,para_",para_,False
92,phrase_line,d,a2,-2,σει,False,False,True,para_,,True
93,phrase_line,f,p2,2,τόν,True,False,True,,,False
94,phrase_line,d,a2,-2,κό,True,True,False,ps,,False
95,phrase_line,c,a,-1,-,True,False,False,"anr,kl",,False
96,phrase_line,b,aa,-1,σμον,False,False,True,,,False
97,phrase_line,b,0,0,φω,False,False,False,,,False
98,phrase_line,c,p,1,τί,True,False,False,psr,,False
99,phrase_line,a,e,-2,σα,False,True,False,"anr,v","anr,v",False
100,phrase_line,G,a,-1,-,False,False,False,"anr,v",,False
101,phrase_line,G,0,0,ντος,False,False,True,ap,,True
